channel,coefficient,std_err,effect_size,t_statistic,p_value,p_corrected,significant,converged,method_used,marker,formula,z_scored,fdr_alpha,fdr_method
AF3,-0.0006399956063454343,0.003448986459709424,-0.18556048677539713,-0.18556048677539713,0.8527894423097052,0.9814950042934633,False,True,lbfgs,alpha_beta_ratio,mean ~ onoff_label,False,0.05,indep
AF4,0.0012931820726701435,0.003695639231050368,0.3499210804466424,0.3499210804466424,0.7263979260678566,0.9814950042934633,False,True,lbfgs,alpha_beta_ratio,mean ~ onoff_label,False,0.05,indep
AF7,-0.0008906602220214061,0.004270427523457686,-0.208564650056455,-0.208564650056455,0.8347881088186446,0.9814950042934633,False,True,lbfgs,alpha_beta_ratio,mean ~ onoff_label,False,0.05,indep
AF8,-0.0011749349842057623,0.003917959181905828,-0.29988443719166935,-0.29988443719166935,0.7642653056439547,0.9814950042934633,False,True,lbfgs,alpha_beta_ratio,mean ~ onoff_label,False,0.05,indep
AFz,8.235863223768698e-05,0.0035507595073486675,0.023194652317972308,0.023194652317972308,0.9814950042934633,0.9814950042934633,False,True,lbfgs,alpha_beta_ratio,mean ~ onoff_label,False,0.05,indep
C1,0.00363719776551414,0.0021336754040334254,1.7046631172850886,1.7046631172850886,0.08825727236307711,0.9814950042934633,False,True,lbfgs,alpha_beta_ratio,mean ~ onoff_label,False,0.05,indep
C2,0.003952150596353003,0.002097392712867877,1.8843159757854868,1.8843159757854868,0.05952224771976393,0.9814950042934633,False,True,lbfgs,alpha_beta_ratio,mean ~ onoff_label,False,0.05,indep
C3,0.0039054752116131765,0.0016270864122349903,2.4002875214528756,2.4002875214528756,0.016382198475752043,0.9814950042934633,False,False,nm,alpha_beta_ratio,mean ~ onoff_label,False,0.05,indep
C4,0.0026703050375207027,0.0020998212383581336,1.2716820788081156,1.2716820788081156,0.20348610057439076,0.9814950042934633,False,True,lbfgs,alpha_beta_ratio,mean ~ onoff_label,False,0.05,indep
C5,0.0011713604641877494,0.0016889170735796214,0.6935571216087463,0.6935571216087463,0.487959991721731,0.9814950042934633,False,True,lbfgs,alpha_beta_ratio,mean ~ onoff_label,False,0.05,indep
C6,0.0013179607086309703,0.0019437832302964437,0.6780389336057653,0.6780389336057653,0.4977470078345627,0.9814950042934633,False,True,lbfgs,alpha_beta_ratio,mean ~ onoff_label,False,0.05,indep
CP1,0.00023543801731533724,0.0028249606112374552,0.08334205311705396,0.08334205311705396,0.9335795630321508,0.9814950042934633,False,True,lbfgs,alpha_beta_ratio,mean ~ onoff_label,False,0.05,indep
