channel,coefficient,std_err,effect_size,t_statistic,p_value,p_corrected,significant,converged,method_used,marker,formula,z_scored,fdr_alpha,fdr_method
AF3,9.581793265821446e-13,5.707517166450224e-13,1.6788023559779879,1.6788023559779879,0.09319056930763678,0.5964196435688753,False,True,lbfgs,g,mean ~ onoff_label,False,0.05,indep
AF4,1.973014939959868e-12,8.877075713130259e-13,2.222595597603772,2.222595597603772,0.026243081343066643,0.37471727553287565,False,True,lbfgs,g,mean ~ onoff_label,False,0.05,indep
AF7,6.181238302216982e-12,4.062313125062863e-12,1.521605575917127,1.521605575917127,0.12810793958203992,0.6924444910770572,False,True,lbfgs,g,mean ~ onoff_label,False,0.05,indep
AF8,1.545874173329032e-12,1.428868481563479e-12,1.0818869568999974,1.0818869568999974,0.27930276118651776,0.7380107417660297,False,True,lbfgs,g,mean ~ onoff_label,False,0.05,indep
AFz,3.5639468533617437e-13,2.90720282851241e-13,1.2259023754408578,1.2259023754408578,0.2202354147924579,0.6924444910770572,False,True,lbfgs,g,mean ~ onoff_label,False,0.05,indep
C1,2.373428734127408e-13,2.289128823117018e-13,1.0368261978788953,1.0368261978788953,0.29981686384244954,0.7380107417660297,False,False,nm,g,mean ~ onoff_label,False,0.05,indep
C2,-4.7274030370947e-13,7.045414797997292e-13,-0.6709900229633743,-0.6709900229633743,0.5022268853885221,0.9067385797806247,False,False,nm,g,mean ~ onoff_label,False,0.05,indep
C3,6.887833021616182e-13,5.495201628740375e-13,1.2534268052317181,1.2534268052317181,0.21005042132797958,0.6924444910770572,False,True,lbfgs,g,mean ~ onoff_label,False,0.05,indep
C4,-8.665014952191101e-13,1.5249840815638504e-12,-0.5682036328736787,-0.5682036328736787,0.5698967049550542,0.9067385797806247,False,True,lbfgs,g,mean ~ onoff_label,False,0.05,indep
C5,-4.91689610105012e-13,7.209224356657839e-13,-0.6820284482489832,-0.6820284482489832,0.4952209625259648,0.9067385797806247,False,False,nm,g,mean ~ onoff_label,False,0.05,indep
C6,-1.0189135846097443e-14,7.018512689834713e-13,-0.01451751431732098,-0.01451751431732098,0.9884171063314166,0.9922599574393811,False,True,lbfgs,g,mean ~ onoff_label,False,0.05,indep
CP1,5.4994732969823843e-14,1.1745445340668245e-13,0.46822177767416157,0.46822177767416157,0.6396260000398006,0.9303650909669827,False,True,lbfgs,g,mean ~ onoff_label,False,0.05,indep
CP2,-9.804118583729015e-14,2.9152903957920906e-13,-0.33629989650019804,-0.33629989650019804,0.736644727967608,0.9801272502220384,False,True,lbfgs,g,mean ~ onoff_label,False,0.05,indep
CP3,1.91618203493632e-13,3.1181835584805756e-13,0.614518676979374,0.614518676979374,0.5388726350038447,0.9067385797806247,False,True,lbfgs,g,mean ~ onoff_label,False,0.05,indep
CP4,-5.243799355945756e-13,8.302723588974605e-13,-0.631575807595128,-0.631575807595128,0.5276640989946105,0.9067385797806247,False,False,nm,g,mean ~ onoff_label,False,0.05,indep
CP5,1.5205785611749569e-13,2.999164103938504e-13,0.5070007870453411,0.5070007870453411,0.6121542663375082,0.9256172272124363,False,False,nm,g,mean ~ onoff_label,False,0.05,indep
CP6,2.197010923511203e-13,3.7445765021038616e-13,0.5867181301481834,0.5867181301481834,0.5573930292913976,0.9067385797806247,False,True,lbfgs,g,mean ~ onoff_label,False,0.05,indep
