channel,coefficient,std_err,effect_size,t_statistic,p_value,p_corrected,significant,converged,method_used,marker,formula,z_scored,fdr_alpha,fdr_method
AF3,-0.6003081614215175,0.29198714319611646,-2.0559403912463154,-2.0559403912463154,0.039788262204293684,0.21743159509565071,False,False,nm,mean_amp,mean ~ onoff_label,False,0.05,indep
AF4,-0.3702738015918955,0.2686752692561384,-1.3781462008656231,-1.3781462008656231,0.16815815362181408,0.23576782092311896,False,True,nm,mean_amp,mean ~ onoff_label,False,0.05,indep
AF7,-0.6394074022105909,0.2831531326455247,-2.25816820826438,-2.25816820826438,0.023935174498082672,0.21743159509565071,False,True,lbfgs,mean_amp,mean ~ onoff_label,False,0.05,indep
AF8,-0.48246238818744447,0.29917666568592016,-1.6126337496318655,-1.6126337496318655,0.10682410162751632,0.219210851591921,False,False,nm,mean_amp,mean ~ onoff_label,False,0.05,indep
AFz,-0.41664736889881393,0.3111195869103106,-1.3391872014117994,-1.3391872014117994,0.18050973789426294,0.23576782092311896,False,True,lbfgs,mean_amp,mean ~ onoff_label,False,0.05,indep
C1,-0.4126234183824779,0.2800539392958764,-1.4733712349125077,-1.4733712349125077,0.14065096219324144,0.23576782092311896,False,True,lbfgs,mean_amp,mean ~ onoff_label,False,0.05,indep
C2,-0.40902041929131133,0.2901399449205411,-1.4097349449877619,-1.4097349449877619,0.1586179621835211,0.23576782092311896,False,True,lbfgs,mean_amp,mean ~ onoff_label,False,0.05,indep
C3,-0.3904355871896042,0.2821377666475479,-1.383847302078293,-1.383847302078293,0.16640521566369448,0.23576782092311896,False,True,lbfgs,mean_amp,mean ~ onoff_label,False,0.05,indep
C4,-0.5125174394411595,0.30215309220502273,-1.6962177540562657,-1.6962177540562657,0.08984464939942301,0.21743159509565071,False,False,nm,mean_amp,mean ~ onoff_label,False,0.05,indep
C5,-0.4423670389420162,0.28250424692915,-1.5658774823762511,-1.5658774823762511,0.11737730235969912,0.219210851591921,False,True,lbfgs,mean_amp,mean ~ onoff_label,False,0.05,indep
C6,-0.488981407941844,0.2602828906256138,-1.8786536708829855,-1.8786536708829855,0.060291797609542556,0.21743159509565071,False,True,lbfgs,mean_amp,mean ~ onoff_label,False,0.05,indep
CP1,-0.47851942287937543,0.27861519948192404,-1.717492167581549,-1.717492167581549,0.08588928430985969,0.21743159509565071,False,True,lbfgs,mean_amp,mean ~ onoff_label,False,0.05,indep
CP2,-0.5589562116930099,0.29395568506429093,-1.9014982192664884,-1.9014982192664884,0.05723678552628404,0.21743159509565071,False,True,lbfgs,mean_amp,mean ~ onoff_label,False,0.05,indep
CP3,-0.4818571371782146,0.3341010146686541,-1.44224984667017,-1.44224984667017,0.14923190313088586,0.23576782092311896,False,True,lbfgs,mean_amp,mean ~ onoff_label,False,0.05,indep
CP4,-0.5153700444276139,0.2654604792208153,-1.9414190991455225,-1.9414190991455225,0.052207463522938,0.21743159509565071,False,True,lbfgs,mean_amp,mean ~ onoff_label,False,0.05,indep
CP5,-0.25039028364547367,0.25038183926278595,-1.0000337260190777,-1.0000337260190777,0.31729418671959964,0.3760523694454514,False,True,lbfgs,mean_amp,mean ~ onoff_label,False,0.05,indep
CP6,-0.44534873612831394,0.2526383812721148,-1.7627912824878036,-1.7627912824878036,0.07793569824605476,0.21743159509565071,False,False,nm,mean_amp,mean ~ onoff_label,False,0.05,indep
CPz,-0.5699809130184997,0.3215558071764916,-1.7725722885348345,-1.7725722885348345,0.07629960699126168,0.21743159509565071,False,True,lbfgs,mean_amp,mean ~ onoff_label,False,0.05,indep
Cz,-0.5148525453786942,0.31224775780137026,-1.6488590630847912,-1.6488590630847912,0.09917651146099545,0.21743159509565071,False,True,lbfgs,mean_amp,mean ~ onoff_label,False,0.05,indep
F1,-0.5883428274034934,0.30208979025276583,-1.947576006826357,-1.947576006826357,0.05146571697603574,0.21743159509565071,False,True,lbfgs,mean_amp,mean ~ onoff_label,False,0.05,indep
F2,-0.4758649960058398,0.22745101850536173,-2.092164718069276,-2.092164718069276,0.03642378343756394,0.21743159509565071,False,True,lbfgs,mean_amp,mean ~ onoff_label,False,0.05,indep
F3,-0.4528929511649947,0.2759332334086972,-1.6413135365039355,-1.6413135365039355,0.10073234759850212,0.21743159509565071,False,True,lbfgs,mean_amp,mean ~ onoff_label,False,0.05,indep
F4,-0.5040476382564828,0.2537545672685136,-1.9863588808753083,-1.9863588808753083,0.046993488957260215,0.21743159509565071,False,True,lbfgs,mean_amp,mean ~ onoff_label,False,0.05,indep
F5,-0.39874619919370197,0.23751489562143285,-1.6788260717308878,-1.6788260717308878,0.0931859458650709,0.21743159509565071,False,False,nm,mean_amp,mean ~ onoff_label,False,0.05,indep
F6,-0.272116330014961,0.2607894954923082,-1.0434328633569787,-1.0434328633569787,0.296747859666446,0.3583370380877839,False,False,nm,mean_amp,mean ~ onoff_label,False,0.05,indep
F7,-0.3283023000016602,0.2081040699746859,-1.5775871180299137,-1.5775871180299137,0.11466049371572615,0.219210851591921,False,False,nm,mean_amp,mean ~ onoff_label,False,0.05,indep
F8,-0.512106342675865,0.2302412792177269,-2.2242160242325326,-2.2242160242325326,0.02613391343658376,0.21743159509565071,False,False,nm,mean_amp,mean ~ onoff_label,False,0.05,indep
FC1,-0.5734052199005644,0.32572798649642054,-1.760380574196886,-1.760380574196886,0.07834330079102342,0.21743159509565071,False,False,nm,mean_amp,mean ~ onoff_label,False,0.05,indep
FC2,-0.5772591656731348,0.30692149801914187,-1.8808039495399984,-1.8808039495399984,0.05999859271714445,0.21743159509565071,False,True,lbfgs,mean_amp,mean ~ onoff_label,False,0.05,indep
FC3,-0.5936162553480163,0.30888827491896476,-1.921783063807613,-1.921783063807613,0.054633060255148316,0.21743159509565071,False,True,lbfgs,mean_amp,mean ~ onoff_label,False,0.05,indep
FC4,-0.38143952670988046,0.2639151727770711,-1.4453110925611012,-1.4453110925611012,0.14837052350968297,0.23576782092311896,False,True,lbfgs,mean_amp,mean ~ onoff_label,False,0.05,indep
FC5,-0.3523503647006468,0.26188496891288193,-1.3454394353494143,-1.3454394353494143,0.1784833673960965,0.23576782092311896,False,False,nm,mean_amp,mean ~ onoff_label,False,0.05,indep
