channel,coefficient,std_err,effect_size,t_statistic,p_value,p_corrected,significant,converged,method_used,marker,formula,z_scored,fdr_alpha,fdr_method
AF3,0.5853153492693969,0.40871530249451077,1.4320857224993624,1.4320857224993624,0.1521192899989806,0.7344144507685755,False,True,lbfgs,msf,mean ~ onoff_label,False,0.05,indep
AF4,0.8061239824516035,0.49480168125506646,1.62918602137096,1.62918602137096,0.10327364524568076,0.7344144507685755,False,True,lbfgs,msf,mean ~ onoff_label,False,0.05,indep
AF7,0.7212767953625603,0.5207938942126277,1.3849563202983333,1.3849563202983333,0.1660658239549374,0.7344144507685755,False,True,lbfgs,msf,mean ~ onoff_label,False,0.05,indep
AF8,0.561696617485625,0.41051647797256346,1.3682681393441303,1.3682681393441303,0.1712281597952835,0.7344144507685755,False,True,lbfgs,msf,mean ~ onoff_label,False,0.05,indep
AFz,0.12864528469168815,0.08107567212815656,1.586731029356601,1.586731029356601,0.11257357548707773,0.7344144507685755,False,True,lbfgs,msf,mean ~ onoff_label,False,0.05,indep
C1,0.005631148064013659,0.06194365938833645,0.09090757826738864,0.09090757826738864,0.9275660285427985,0.9275660285427985,False,False,nm,msf,mean ~ onoff_label,False,0.05,indep
C2,-0.10994801016292874,0.15510111147461683,-0.7088795761526335,-0.7088795761526335,0.4783992103384881,0.8503331272648699,False,False,nm,msf,mean ~ onoff_label,False,0.05,indep
C3,0.1454761255114147,0.2162259273695475,0.6727968624353929,0.6727968624353929,0.5010765341224508,0.8503331272648699,False,True,lbfgs,msf,mean ~ onoff_label,False,0.05,indep
C4,0.06061694669906008,0.17663404168752825,0.34317816724305933,0.34317816724305933,0.7314644284653915,0.8533751665429568,False,True,lbfgs,msf,mean ~ onoff_label,False,0.05,indep
C5,-0.151868230487998,0.20099809861160273,-0.7555704831887963,-0.7555704831887963,0.4499067585787102,0.8503331272648699,False,False,nm,msf,mean ~ onoff_label,False,0.05,indep
C6,-0.07497009135423831,0.1911836168352316,-0.3921365888733553,-0.3921365888733553,0.694957294080869,0.8503331272648699,False,True,lbfgs,msf,mean ~ onoff_label,False,0.05,indep
CP1,-0.02185541533797656,0.055766419575910095,-0.3919099613025476,-0.3919099613025476,0.6951247425294677,0.8503331272648699,False,True,lbfgs,msf,mean ~ onoff_label,False,0.05,indep
CP2,-0.07387050066711993,0.10690279508763492,-0.6910062604683409,-0.6910062604683409,0.4895616067944587,0.8503331272648699,False,False,nm,msf,mean ~ onoff_label,False,0.05,indep
CP3,0.09081566264431357,0.16121278709330678,0.5633279114004229,0.5633279114004229,0.5732116153975667,0.8503331272648699,False,True,lbfgs,msf,mean ~ onoff_label,False,0.05,indep
CP4,-0.0673436275199813,0.15757784683841206,-0.42736735442919654,-0.42736735442919654,0.6691117813429825,0.8503331272648699,False,False,nm,msf,mean ~ onoff_label,False,0.05,indep
CP5,0.09157624590094945,0.14586444999847634,0.6278174421656959,0.6278174421656959,0.5301235385700936,0.8503331272648699,False,True,lbfgs,msf,mean ~ onoff_label,False,0.05,indep
CP6,0.014634587690065924,0.13631182096446373,0.10736110475613951,0.10736110475613951,0.9145025100171633,0.9275660285427985,False,False,nm,msf,mean ~ onoff_label,False,0.05,indep
CPz,-0.013302560561567424,0.04512484182537489,-0.2947946191821783,-0.2947946191821783,0.7681507771461941,0.8710470898346803,False,False,nm,msf,mean ~ onoff_label,False,0.05,indep
Cz,0.006639056381809159,0.04104854390338978,0.1617367085525513,0.1617367085525513,0.871513195857859,0.9275660285427985,False,True,lbfgs,msf,mean ~ onoff_label,False,0.05,indep
F1,0.0602134867079739,0.14120324565222228,0.42643132195613415,0.42643132195613415,0.6697935819597676,0.8503331272648699,False,True,lbfgs,msf,mean ~ onoff_label,False,0.05,indep
F2,0.12073901298567531,0.12394572781231424,0.9741280729619441,0.9741280729619441,0.32999295226571956,0.8503331272648699,False,True,lbfgs,msf,mean ~ onoff_label,False,0.05,indep
F3,0.7001486886171764,0.48044980542743904,1.4572774943561047,1.4572774943561047,0.14503979664772165,0.7344144507685755,False,True,lbfgs,msf,mean ~ onoff_label,False,0.05,indep
F4,0.25576484678768685,0.7137668873577975,0.35833106202848675,0.35833106202848675,0.7200955752044065,0.8533751665429568,False,True,lbfgs,msf,mean ~ onoff_label,False,0.05,indep
F5,0.6036227117196803,0.3308792711836729,1.8242989642727,1.8242989642727,0.06810688692756971,0.7344144507685755,False,True,lbfgs,msf,mean ~ onoff_label,False,0.05,indep
F6,1.1881895076394953,0.39719878249915297,2.9914228340869324,2.9914228340869324,0.002776807078644794,0.17493884595462203,False,True,lbfgs,msf,mean ~ onoff_label,False,0.05,indep
F7,0.9739095628235543,0.4438042509735354,2.1944574904074767,2.1944574904074767,0.028202536780799755,0.5922532723967949,False,True,lbfgs,msf,mean ~ onoff_label,False,0.05,indep
F8,0.312169604488716,0.45355712077784144,0.6882696581928894,0.6882696581928894,0.49128298513673985,0.8503331272648699,False,True,lbfgs,msf,mean ~ onoff_label,False,0.05,indep
FC1,0.08245153836162333,0.18686207785676565,0.4412427567289734,0.4412427567289734,0.6590372624748497,0.8503331272648699,False,True,lbfgs,msf,mean ~ onoff_label,False,0.05,indep
FC2,0.06292816248872786,0.14719391883821523,0.4275187656216551,0.4275187656216551,0.6690015199191515,0.8503331272648699,False,True,lbfgs,msf,mean ~ onoff_label,False,0.05,indep
FC3,0.59570765671399,0.24446457708482305,2.4367851727953798,2.4367851727953798,0.01481847996329296,0.4667821188437283,False,True,lbfgs,msf,mean ~ onoff_label,False,0.05,indep
FC4,0.3570501470204499,0.6406155493256713,0.5573547932083295,0.5573547932083295,0.5772850458736618,0.8503331272648699,False,True,lbfgs,msf,mean ~ onoff_label,False,0.05,indep
FC5,-0.1836019835106236,0.2977305262035333,-0.616671679091147,-0.616671679091147,0.5374513050577818,0.8503331272648699,False,True,lbfgs,msf,mean ~ onoff_label,False,0.05,indep
FC6,-0.34008777562271564,0.2777070146139577,-1.224627963018773,-1.224627963018773,0.22071542713622883,0.7725039949768009,False,True,lbfgs,msf,mean ~ onoff_label,False,0.05,indep
FT10,0.10925830474350116,0.8172447490059892,0.13369104527914252,0.13369104527914252,0.8936468864268381,0.9275660285427985,False,True,lbfgs,msf,mean ~ onoff_label,False,0.05,indep
FT7,0.672518510575123,0.49568335517333906,1.3567502389503179,1.3567502389503179,0.1748605835163275,0.7344144507685755,False,True,lbfgs,msf,mean ~ onoff_label,False,0.05,indep
FT8,0.22685195823403334,0.44366382298609003,0.5113149787764997,0.5113149787764997,0.6091305181336091,0.8503331272648699,False,True,lbfgs,msf,mean ~ onoff_label,False,0.05,indep
FT9,0.9832205105966692,0.5374021308664695,1.8295805954684128,1.8295805954684128,0.06731267752915247,0.7344144507685755,False,True,lbfgs,msf,mean ~ onoff_label,False,0.05,indep
Fp1,1.1075666302618101,0.7500506470164541,1.4766557894023298,1.4766557894023298,0.13976792877380673,0.7344144507685755,False,True,lbfgs,msf,mean ~ onoff_label,False,0.05,indep
Fp2,1.1287872215268244,0.6368716733575939,1.7723935115151956,1.7723935115151956,0.07632925811911852,0.7344144507685755,False,True,lbfgs,msf,mean ~ onoff_label,False,0.05,indep
Fz,0.08092090534397282,0.10009882905352757,0.8084101093800068,0.8084101093800068,0.41885453421999974,0.8503331272648699,False,True,lbfgs,msf,mean ~ onoff_label,False,0.05,indep
Iz,0.3270867895579672,0.20748577041646601,1.5764299831330009,1.5764299831330009,0.1149267430078631,0.7344144507685755,False,True,lbfgs,msf,mean ~ onoff_label,False,0.05,indep
O1,0.20312553399156022,0.1904867748171746,1.0663497987538297,1.0663497987538297,0.28626554594647546,0.8503331272648699,False,True,lbfgs,msf,mean ~ onoff_label,False,0.05,indep
O2,0.04727426509745593,0.1648325222227732,0.2868018062210088,0.2868018062210088,0.7742640798530491,0.8710470898346803,False,True,lbfgs,msf,mean ~ onoff_label,False,0.05,indep
Oz,0.04425863407905688,0.0970424787859419,0.4560748512688283,0.4560748512688283,0.6483361538290788,0.8503331272648699,False,True,lbfgs,msf,mean ~ onoff_label,False,0.05,indep
P1,-0.08197367681661465,0.0899143594742113,-0.9116861566491596,-0.9116861566491596,0.3619339533897066,0.8503331272648699,False,True,lbfgs,msf,mean ~ onoff_label,False,0.05,indep
P2,0.047370761570138496,0.0788549503838348,0.6007328815699751,0.6007328815699751,0.548017914575913,0.8503331272648699,False,True,lbfgs,msf,mean ~ onoff_label,False,0.05,indep
P3,-0.23524344701070182,0.2520165752821144,-0.9334443448704266,-0.9334443448704266,0.3505905934405964,0.8503331272648699,False,True,lbfgs,msf,mean ~ onoff_label,False,0.05,indep
P4,-0.015750246607849346,0.12493843431712955,-0.12606406262360154,-0.12606406262360154,0.8996812143432333,0.9275660285427985,False,True,lbfgs,msf,mean ~ onoff_label,False,0.05,indep
P5,15.098754626557984,,,,,,False,False,nm,msf,mean ~ onoff_label,False,0.05,indep
P6,-0.019373433791093506,0.12304005045239719,-0.15745632190380862,-0.15745632190380862,0.8748852285105236,0.9275660285427985,False,True,lbfgs,msf,mean ~ onoff_label,False,0.05,indep
P7,0.09018885247980521,0.11938824340248542,0.7554249054134895,0.7554249054134895,0.4499940743188412,0.8503331272648699,False,True,lbfgs,msf,mean ~ onoff_label,False,0.05,indep
P8,0.1399669429311522,0.13115825025475134,1.067160797428233,1.067160797428233,0.2858992316722402,0.8503331272648699,False,True,nm,msf,mean ~ onoff_label,False,0.05,indep
PO3,0.11669599012259023,0.147144909478908,0.793068482870742,0.793068482870742,0.42773792420471024,0.8503331272648699,False,True,lbfgs,msf,mean ~ onoff_label,False,0.05,indep
PO4,0.07616604009683259,0.15404671277671866,0.49443469921510513,0.49443469921510513,0.6209992133050384,0.8503331272648699,False,True,lbfgs,msf,mean ~ onoff_label,False,0.05,indep
PO7,0.14624948225992143,0.14718725306041258,0.9936287227256952,0.9936287227256952,0.32040365531247694,0.8503331272648699,False,True,lbfgs,msf,mean ~ onoff_label,False,0.05,indep
PO8,0.18860253881137148,0.1467277738266438,1.2853908560911036,1.2853908560911036,0.19865573490436816,0.7725039949768009,False,False,nm,msf,mean ~ onoff_label,False,0.05,indep
POz,-0.07089229579116811,0.07997060794954039,-0.8864793904768051,-0.8864793904768051,0.37535925509890866,0.8503331272648699,False,True,lbfgs,msf,mean ~ onoff_label,False,0.05,indep
Pz,0.038508473771808646,0.0525980088198531,0.7321279766254885,0.7321279766254885,0.4640904593866376,0.8503331272648699,False,True,lbfgs,msf,mean ~ onoff_label,False,0.05,indep
T7,0.38422744362577477,0.37277076397924075,1.0307338470545186,1.0307338470545186,0.3026656477589894,0.8503331272648699,False,True,lbfgs,msf,mean ~ onoff_label,False,0.05,indep
T8,0.2175852623724731,0.2767771123694016,0.7861389278535146,0.7861389278535146,0.43178610052455224,0.8503331272648699,False,True,lbfgs,msf,mean ~ onoff_label,False,0.05,indep
TP10,0.11373525352408964,0.6185999217124711,0.18385914632713848,0.18385914632713848,0.8541239548836526,0.9275660285427985,False,True,lbfgs,msf,mean ~ onoff_label,False,0.05,indep
TP7,0.057155080003448225,0.14930489191644358,0.3828078187514062,0.3828078187514062,0.7018622637741783,0.8503331272648699,False,True,lbfgs,msf,mean ~ onoff_label,False,0.05,indep
TP8,0.17312806278851306,0.19167588519416504,0.9032334068165994,0.9032334068165994,0.36640203124670456,0.8503331272648699,False,True,lbfgs,msf,mean ~ onoff_label,False,0.05,indep
TP9,0.8730025341355836,0.7001838566750356,1.2468189973433725,1.2468189973433725,0.21246387311685178,0.7725039949768009,False,True,lbfgs,msf,mean ~ onoff_label,False,0.05,indep
