channel,coefficient,std_err,effect_size,t_statistic,p_value,p_corrected,significant,converged,method_used,marker,formula,z_scored,fdr_alpha,fdr_method
AF3,-0.8476951918184228,0.28099107759207914,-3.0168046582925325,-3.0168046582925325,0.0025545437256047545,0.02928269260685233,True,True,lbfgs,n1,mean ~ onoff_label,False,0.05,indep
AF4,-0.7026706655826449,0.2619880294925457,-2.682071646340765,-2.682071646340765,0.007316778774621678,0.03902282013131562,True,True,lbfgs,n1,mean ~ onoff_label,False,0.05,indep
AF7,-0.7944952714396957,0.27843264734309164,-2.8534558681284916,-2.8534558681284916,0.004324653419452992,0.03902282013131562,True,True,lbfgs,n1,mean ~ onoff_label,False,0.05,indep
CPz,-0.739730595085177,0.27096896071519655,-2.7299458695664964,-2.7299458695664964,0.006334472563443309,0.03902282013131562,True,True,lbfgs,n1,mean ~ onoff_label,False,0.05,indep
F5,-0.750351422873336,0.2788663545045492,-2.6907205216866537,-2.6907205216866537,0.007129789616539943,0.03902282013131562,True,True,lbfgs,n1,mean ~ onoff_label,False,0.05,indep
F7,-0.6887470568705236,0.20322075308467077,-3.389157093535428,-3.389157093535428,0.0007010783355618367,0.027197161114567336,True,True,lbfgs,n1,mean ~ onoff_label,False,0.05,indep
F8,-0.6226276688834433,0.19840208238700138,-3.1382113604480786,-3.1382113604480786,0.0016998225696604585,0.027197161114567336,True,False,nm,n1,mean ~ onoff_label,False,0.05,indep
FC6,-0.6495007514408445,0.20323502491038212,-3.1958111143846706,-3.1958111143846706,0.0013943836282126248,0.027197161114567336,True,True,lbfgs,n1,mean ~ onoff_label,False,0.05,indep
FT8,-0.536524074505338,0.20608582657266244,-2.6034011335377714,-2.6034011335377714,0.009230388560448808,0.04544191291297875,True,True,lbfgs,n1,mean ~ onoff_label,False,0.05,indep
Fp1,-0.9216552500899506,0.27752099140555697,-3.3210289622491445,-3.3210289622491445,0.0008968623000404702,0.027197161114567336,True,False,nm,n1,mean ~ onoff_label,False,0.05,indep
O2,-0.5448143371358409,0.19857807813535924,-2.7435774494930523,-2.7435774494930523,0.006077371015014223,0.03902282013131562,True,True,lbfgs,n1,mean ~ onoff_label,False,0.05,indep
P4,-0.6457292336104989,0.2156088473114155,-2.9949106526126794,-2.9949106526126794,0.002745252431892406,0.02928269260685233,True,True,lbfgs,n1,mean ~ onoff_label,False,0.05,indep
Pz,-0.6038553467751522,0.22311411607551634,-2.7064865163922134,-2.7064865163922134,0.006799934373082132,0.03902282013131562,True,False,nm,n1,mean ~ onoff_label,False,0.05,indep
