channel,coefficient,std_err,effect_size,t_statistic,p_value,p_corrected,significant,converged,method_used,marker,formula,z_scored,fdr_alpha,fdr_method
AF3,,,,,,,False,False,,p1_amp,mean ~ onoff_label,False,0.05,indep
AF4,,,,,,,False,False,,p1_amp,mean ~ onoff_label,False,0.05,indep
AF7,,,,,,,False,False,,p1_amp,mean ~ onoff_label,False,0.05,indep
AF8,,,,,,,False,False,,p1_amp,mean ~ onoff_label,False,0.05,indep
AFz,,,,,,,False,False,,p1_amp,mean ~ onoff_label,False,0.05,indep
C1,,,,,,,False,False,,p1_amp,mean ~ onoff_label,False,0.05,indep
C2,,,,,,,False,False,,p1_amp,mean ~ onoff_label,False,0.05,indep
C3,,,,,,,False,False,,p1_amp,mean ~ onoff_label,False,0.05,indep
C4,,,,,,,False,False,,p1_amp,mean ~ onoff_label,False,0.05,indep
C5,,,,,,,False,False,,p1_amp,mean ~ onoff_label,False,0.05,indep
C6,,,,,,,False,False,,p1_amp,mean ~ onoff_label,False,0.05,indep
CP1,,,,,,,False,False,,p1_amp,mean ~ onoff_label,False,0.05,indep
CP2,,,,,,,False,False,,p1_amp,mean ~ onoff_label,False,0.05,indep
CP3,,,,,,,False,False,,p1_amp,mean ~ onoff_label,False,0.05,indep
CP4,,,,,,,False,False,,p1_amp,mean ~ onoff_label,False,0.05,indep
CP5,,,,,,,False,False,,p1_amp,mean ~ onoff_label,False,0.05,indep
CP6,,,,,,,False,False,,p1_amp,mean ~ onoff_label,False,0.05,indep
CPz,,,,,,,False,False,,p1_amp,mean ~ onoff_label,False,0.05,indep
Cz,0.2879085933500406,0.3766857860716418,0.7643203008867536,0.7643203008867536,0.4446763904377583,0.8237610530898389,False,True,lbfgs,p1_amp,mean ~ onoff_label,False,0.05,indep
F1,0.40828955636453035,0.44395950723092314,0.9196549453600522,0.9196549453600522,0.3577531039500925,0.8237610530898389,False,True,lbfgs,p1_amp,mean ~ onoff_label,False,0.05,indep
F2,,,,,,,False,False,,p1_amp,mean ~ onoff_label,False,0.05,indep
F3,,,,,,,False,False,,p1_amp,mean ~ onoff_label,False,0.05,indep
F4,,,,,,,False,False,,p1_amp,mean ~ onoff_label,False,0.05,indep
F5,,,,,,,False,False,,p1_amp,mean ~ onoff_label,False,0.05,indep
F6,0.6586743337696122,0.4778937074546621,1.3782862663704372,1.3782862663704372,0.1681149217126997,0.8237610530898389,False,True,lbfgs,p1_amp,mean ~ onoff_label,False,0.05,indep
F7,-0.08746719187096298,0.3254302473333681,-0.26877400791009537,-0.26877400791009537,0.7881035962507126,0.9501844220666088,False,True,lbfgs,p1_amp,mean ~ onoff_label,False,0.05,indep
F8,-0.012676350779889094,0.25935811931736,-0.04887585865155758,-0.04887585865155758,0.9610182278683392,0.9610182278683392,False,True,lbfgs,p1_amp,mean ~ onoff_label,False,0.05,indep
FC1,,,,,,,False,False,,p1_amp,mean ~ onoff_label,False,0.05,indep
FC2,,,,,,,False,False,,p1_amp,mean ~ onoff_label,False,0.05,indep
FC3,0.3424845617131444,0.48150843785663017,0.7112742680848299,0.7112742680848299,0.4769142938941173,0.8237610530898389,False,True,lbfgs,p1_amp,mean ~ onoff_label,False,0.05,indep
FC4,,,,,,,False,False,,p1_amp,mean ~ onoff_label,False,0.05,indep
FC5,-0.16902794636130936,0.44990217916994346,-0.37569932795871547,-0.37569932795871547,0.7071404375607462,0.9501844220666088,False,True,lbfgs,p1_amp,mean ~ onoff_label,False,0.05,indep
FC6,,,,,,,False,False,,p1_amp,mean ~ onoff_label,False,0.05,indep
FT10,,,,,,,False,False,,p1_amp,mean ~ onoff_label,False,0.05,indep
FT7,-0.40502430603001116,0.29573712005296526,-1.3695416590162,-1.3695416590162,0.17083002201123199,0.8237610530898389,False,True,lbfgs,p1_amp,mean ~ onoff_label,False,0.05,indep
FT8,,,,,,,False,False,,p1_amp,mean ~ onoff_label,False,0.05,indep
FT9,,,,,,,False,False,,p1_amp,mean ~ onoff_label,False,0.05,indep
Fp1,,,,,,,False,False,,p1_amp,mean ~ onoff_label,False,0.05,indep
Fp2,,,,,,,False,False,,p1_amp,mean ~ onoff_label,False,0.05,indep
Fz,,,,,,,False,False,,p1_amp,mean ~ onoff_label,False,0.05,indep
Iz,0.07230830362650581,0.3091585952107136,0.23388741166074503,0.23388741166074503,0.8150723862399143,0.9501844220666088,False,True,lbfgs,p1_amp,mean ~ onoff_label,False,0.05,indep
O1,-0.185146147489059,0.3128350275607672,-0.5918331746054075,-0.5918331746054075,0.5539623059370757,0.8771069844003699,False,True,lbfgs,p1_amp,mean ~ onoff_label,False,0.05,indep
O2,-0.28824922054473845,0.3616225469635444,-0.7970996912805804,-0.7970996912805804,0.42539313564805536,0.8237610530898389,False,True,lbfgs,p1_amp,mean ~ onoff_label,False,0.05,indep
Oz,-0.1130417805716093,0.2946407850687868,-0.3836596503271554,-0.3836596503271554,0.7012307224358654,0.9501844220666088,False,True,lbfgs,p1_amp,mean ~ onoff_label,False,0.05,indep
P1,,,,,,,False,False,,p1_amp,mean ~ onoff_label,False,0.05,indep
P2,,,,,,,False,False,,p1_amp,mean ~ onoff_label,False,0.05,indep
P3,,,,,,,False,False,,p1_amp,mean ~ onoff_label,False,0.05,indep
P4,,,,,,,False,False,,p1_amp,mean ~ onoff_label,False,0.05,indep
P5,,,,,,,False,False,,p1_amp,mean ~ onoff_label,False,0.05,indep
P6,-0.424368814700605,0.395602013059903,-1.0727165198634772,-1.0727165198634772,0.2833983260056908,0.8237610530898389,False,True,lbfgs,p1_amp,mean ~ onoff_label,False,0.05,indep
P7,,,,,,,False,False,,p1_amp,mean ~ onoff_label,False,0.05,indep
P8,,,,,,,False,False,,p1_amp,mean ~ onoff_label,False,0.05,indep
PO3,,,,,,,False,False,,p1_amp,mean ~ onoff_label,False,0.05,indep
PO4,-0.42400671854490224,0.3662051398028334,-1.1578393431976117,-1.1578393431976117,0.2469296045663194,0.8237610530898389,False,True,lbfgs,p1_amp,mean ~ onoff_label,False,0.05,indep
PO7,-0.04721617158562474,0.3764025068570693,-0.12544064060538804,-0.12544064060538804,0.9001747156420504,0.9501844220666088,False,True,lbfgs,p1_amp,mean ~ onoff_label,False,0.05,indep
PO8,-0.7255171624574153,0.3708475607782676,-1.956375716574302,-1.956375716574302,0.050420910612984565,0.8237610530898389,False,True,lbfgs,p1_amp,mean ~ onoff_label,False,0.05,indep
POz,,,,,,,False,False,,p1_amp,mean ~ onoff_label,False,0.05,indep
Pz,,,,,,,False,False,,p1_amp,mean ~ onoff_label,False,0.05,indep
T7,-0.2150661686210161,0.27005422058185896,-0.7963814383557288,-0.7963814383557288,0.4258103635691016,0.8237610530898389,False,True,lbfgs,p1_amp,mean ~ onoff_label,False,0.05,indep
T8,,,,,,,False,False,,p1_amp,mean ~ onoff_label,False,0.05,indep
TP10,,,,,,,False,False,,p1_amp,mean ~ onoff_label,False,0.05,indep
TP7,,,,,,,False,False,,p1_amp,mean ~ onoff_label,False,0.05,indep
TP8,-0.06118622417154846,0.32630546065484145,-0.1875121061374755,-0.1875121061374755,0.8512591327075709,0.9501844220666088,False,True,lbfgs,p1_amp,mean ~ onoff_label,False,0.05,indep
TP9,0.2511602603266555,0.20797924013176597,1.2076217807485596,1.2076217807485596,0.2271927773411494,0.8237610530898389,False,True,lbfgs,p1_amp,mean ~ onoff_label,False,0.05,indep
