channel,coefficient,std_err,effect_size,t_statistic,p_value,p_corrected,significant,converged,method_used,marker,formula,z_scored,fdr_alpha,fdr_method
AF3,-0.00018082900924929477,0.0004152841568866078,-0.4354344037705961,-0.4354344037705961,0.6632471427244793,0.9790274028937799,False,True,lbfgs,p2_lat,mean ~ onoff_label,False,0.05,indep
AF4,-0.0002889731569623893,0.00041501838908039606,-0.6962900068180119,-0.6962900068180119,0.4862472301694951,0.9790274028937799,False,True,lbfgs,p2_lat,mean ~ onoff_label,False,0.05,indep
AF7,0.0005702683664973474,0.0004141994906227288,1.3767963974073862,1.3767963974073862,0.1685752049902266,0.8968125931081025,False,False,nm,p2_lat,mean ~ onoff_label,False,0.05,indep
AF8,9.204790380752036e-06,0.0004691729701541576,0.019619183044001,0.019619183044001,0.9843471609218957,0.9856112325898668,False,True,lbfgs,p2_lat,mean ~ onoff_label,False,0.05,indep
AFz,7.728764968303798e-05,0.0003849115218420396,0.20079328702131022,0.20079328702131022,0.8408602122134072,0.9790274028937799,False,False,nm,p2_lat,mean ~ onoff_label,False,0.05,indep
C1,-0.0003157244845219835,0.0004129504623544874,-0.7645577697669639,-0.7645577697669639,0.444534924111582,0.9790274028937799,False,True,nm,p2_lat,mean ~ onoff_label,False,0.05,indep
C2,-0.00037534203196465095,0.00044144928052336377,-0.8502495043590538,-0.8502495043590538,0.3951863840735508,0.9790274028937799,False,False,nm,p2_lat,mean ~ onoff_label,False,0.05,indep
C3,-0.0009418954000170282,0.0003934221456988768,-2.3941087463285555,-2.3941087463285555,0.016660808232695366,0.35543057563083447,False,False,nm,p2_lat,mean ~ onoff_label,False,0.05,indep
C4,-0.0005257652426716295,0.0004102580321534899,-1.2815477125745216,-1.2815477125745216,0.20000135238298267,0.9142918966079208,False,False,nm,p2_lat,mean ~ onoff_label,False,0.05,indep
C5,-0.00026829848121030157,0.00038021599769964376,-0.7056475341215054,-0.7056475341215054,0.4804073559338822,0.9790274028937799,False,True,lbfgs,p2_lat,mean ~ onoff_label,False,0.05,indep
C6,6.407028044947721e-05,0.0005226759370095175,0.12258127055944905,0.12258127055944905,0.902438686504438,0.9790274028937799,False,True,lbfgs,p2_lat,mean ~ onoff_label,False,0.05,indep
CP1,-0.000734829138081299,0.00038196544647192964,-1.9238105039831164,-1.9238105039831164,0.05437834031893403,0.7168345854233585,False,False,nm,p2_lat,mean ~ onoff_label,False,0.05,indep
CP2,-0.00014684610060190228,0.0004218905328039739,-0.34806683057316307,-0.34806683057316307,0.7277899940026529,0.9790274028937799,False,True,lbfgs,p2_lat,mean ~ onoff_label,False,0.05,indep
CP3,-1.1192273327730224e-05,0.0006205992336225031,-0.01803462318572285,-0.01803462318572285,0.9856112325898668,0.9856112325898668,False,True,lbfgs,p2_lat,mean ~ onoff_label,False,0.05,indep
CP4,-0.0003105811121953429,0.0004483341793144934,-0.6927446679845466,-0.6927446679845466,0.48846980186395217,0.9790274028937799,False,False,nm,p2_lat,mean ~ onoff_label,False,0.05,indep
CP5,-0.00031099609573081777,0.000375466618690957,-0.8282922642100328,-0.8282922642100328,0.4075050027636411,0.9790274028937799,False,True,nm,p2_lat,mean ~ onoff_label,False,0.05,indep
CP6,-0.000995873321234971,0.00039448177407391046,-2.52451034923703,-2.52451034923703,0.011585959346959737,0.35543057563083447,False,True,nm,p2_lat,mean ~ onoff_label,False,0.05,indep
CPz,-0.0004276805435952747,0.0005859708615096454,-0.729866571340143,-0.729866571340143,0.4654717474851917,0.9790274028937799,False,True,lbfgs,p2_lat,mean ~ onoff_label,False,0.05,indep
Cz,-0.00015116861744547217,0.00040823994555880987,-0.3702935469446736,-0.3702935469446736,0.7111637814377362,0.9790274028937799,False,True,lbfgs,p2_lat,mean ~ onoff_label,False,0.05,indep
F1,-0.0002872872603575316,0.0004217641308021424,-0.6811562183136516,-0.6811562183136516,0.49577264775834884,0.9790274028937799,False,False,nm,p2_lat,mean ~ onoff_label,False,0.05,indep
F2,-0.00034272444556099775,0.00040174019533353633,-0.8530997135510874,-0.8530997135510874,0.39360401026991165,0.9790274028937799,False,False,nm,p2_lat,mean ~ onoff_label,False,0.05,indep
F3,0.00011285877303100266,0.0005244820759001929,0.2151813726661639,0.2151813726661639,0.8296259132238395,0.9790274028937799,False,True,lbfgs,p2_lat,mean ~ onoff_label,False,0.05,indep
F4,-0.0006793647607158791,0.00042022632147546956,-1.6166639879447355,-1.6166639879447355,0.10595083140763208,0.7534281344542726,False,False,nm,p2_lat,mean ~ onoff_label,False,0.05,indep
F5,-0.00014455847856752326,0.0005596933911495771,-0.2582815535316733,-0.2582815535316733,0.7961896215611424,0.9790274028937799,False,True,lbfgs,p2_lat,mean ~ onoff_label,False,0.05,indep
F6,-0.0005156196146033634,0.0005035195185699434,-1.0240310367069496,-1.0240310367069496,0.30582061560229334,0.9790274028937799,False,True,nm,p2_lat,mean ~ onoff_label,False,0.05,indep
F7,-2.456535688498967e-05,0.00038755557927717385,-0.06338537799096139,-0.06338537799096139,0.9494596305096382,0.9800873605260781,False,True,lbfgs,p2_lat,mean ~ onoff_label,False,0.05,indep
F8,0.00031244864371690525,0.00047149673049203065,0.6626740410073455,0.6626740410073455,0.5075393388176512,0.9790274028937799,False,False,nm,p2_lat,mean ~ onoff_label,False,0.05,indep
FC1,-0.00026700570040818827,0.0004270690667112701,-0.625204963834816,-0.625204963834816,0.531836544453185,0.9790274028937799,False,True,lbfgs,p2_lat,mean ~ onoff_label,False,0.05,indep
FC2,-0.0003413597312439866,0.00045797599536500646,-0.7453659901364987,-0.7453659901364987,0.45605049800384223,0.9790274028937799,False,True,lbfgs,p2_lat,mean ~ onoff_label,False,0.05,indep
FC3,5.8683756545452e-05,0.00042995621179878554,0.13648775139203084,0.13648775139203084,0.8914357069102369,0.9790274028937799,False,True,nm,p2_lat,mean ~ onoff_label,False,0.05,indep
FC4,-0.00016130172938101368,0.0005108120879015745,-0.31577508285609324,-0.31577508285609324,0.7521732321408686,0.9790274028937799,False,True,lbfgs,p2_lat,mean ~ onoff_label,False,0.05,indep
FC5,-0.00015196072502380377,0.0004212030594194081,-0.36077782823626314,-0.36077782823626314,0.7182655386016498,0.9790274028937799,False,True,lbfgs,p2_lat,mean ~ onoff_label,False,0.05,indep
FC6,-0.00021481593373889811,0.0003765529623555445,-0.5704799994006344,-0.5704799994006344,0.5683521837033352,0.9790274028937799,False,False,nm,p2_lat,mean ~ onoff_label,False,0.05,indep
FT10,3.3972384017044346e-05,0.0003801106880156182,0.08937497704786578,0.08937497704786578,0.9287839092958394,0.9800873605260781,False,False,nm,p2_lat,mean ~ onoff_label,False,0.05,indep
FT7,-0.000942878485290014,0.0003527320869269321,-2.6730726243380567,-2.6730726243380567,0.007515997706149956,0.35543057563083447,False,True,nm,p2_lat,mean ~ onoff_label,False,0.05,indep
FT8,-0.00021584109117520832,0.00047245542029134344,-0.4568496452895136,-0.4568496452895136,0.6477791194556364,0.9790274028937799,False,True,lbfgs,p2_lat,mean ~ onoff_label,False,0.05,indep
FT9,-0.0005436130109196286,0.0003749344325241018,-1.4498882038119656,-1.4498882038119656,0.14708969735786948,0.8968125931081025,False,True,nm,p2_lat,mean ~ onoff_label,False,0.05,indep
Fp1,0.00011809093464191424,0.0005880528484300437,0.20081687378470822,0.20081687378470822,0.8408417683263847,0.9790274028937799,False,True,lbfgs,p2_lat,mean ~ onoff_label,False,0.05,indep
Fp2,-0.0007194709175527695,0.0004314929232962368,-1.667399112960248,-1.667399112960248,0.09543507014467854,0.7534281344542726,False,True,lbfgs,p2_lat,mean ~ onoff_label,False,0.05,indep
Fz,-0.00017828330482388044,0.0004334738339610008,-0.411289657774177,-0.411289657774177,0.6808601522333338,0.9790274028937799,False,False,nm,p2_lat,mean ~ onoff_label,False,0.05,indep
Iz,-0.00027867953632892305,0.0003989606656971151,-0.6985138142427613,-0.6985138142427613,0.484855921751693,0.9790274028937799,False,True,lbfgs,p2_lat,mean ~ onoff_label,False,0.05,indep
O1,0.00010259721801542721,0.0005004162732977246,0.20502374421062564,0.20502374421062564,0.837553573862686,0.9790274028937799,False,True,lbfgs,p2_lat,mean ~ onoff_label,False,0.05,indep
O2,0.0003591319471030405,0.0004161521318742987,0.8629823557206203,0.8629823557206203,0.38814716808798866,0.9790274028937799,False,False,nm,p2_lat,mean ~ onoff_label,False,0.05,indep
Oz,-0.00010899940113012767,0.00040270854685553925,-0.270665725823863,-0.270665725823863,0.7866481399341088,0.9790274028937799,False,False,nm,p2_lat,mean ~ onoff_label,False,0.05,indep
P1,-0.0001196062258070636,0.0004220935081979431,-0.2833642865480262,-0.2833642865480262,0.7768976021047195,0.9790274028937799,False,True,lbfgs,p2_lat,mean ~ onoff_label,False,0.05,indep
P2,-0.00011790637773900062,0.0005574347158457598,-0.21151602938849773,-0.21151602938849773,0.8324846255094375,0.9790274028937799,False,True,lbfgs,p2_lat,mean ~ onoff_label,False,0.05,indep
P3,-8.238259464385987e-05,0.00037854952203691055,-0.2176269942188096,-0.2176269942188096,0.8277197502087761,0.9790274028937799,False,False,nm,p2_lat,mean ~ onoff_label,False,0.05,indep
P4,0.0002253307286092001,0.0004141755943798086,0.5440463698654504,0.5440463698654504,0.5864095641754404,0.9790274028937799,False,True,lbfgs,p2_lat,mean ~ onoff_label,False,0.05,indep
P5,-0.0006824371743908342,0.00037886424174951914,-1.8012710073652665,-1.8012710073652665,0.07166017521288313,0.7168345854233585,False,False,nm,p2_lat,mean ~ onoff_label,False,0.05,indep
P6,3.191045121530432e-05,0.000414252896909728,0.07703132905853424,0.07703132905853424,0.9385986220208499,0.9800873605260781,False,True,lbfgs,p2_lat,mean ~ onoff_label,False,0.05,indep
P7,-4.718742474194787e-05,0.00038535378284464215,-0.12245221623001891,-0.12245221623001891,0.9025408870427033,0.9790274028937799,False,True,nm,p2_lat,mean ~ onoff_label,False,0.05,indep
