channel,coefficient,std_err,effect_size,t_statistic,p_value,p_corrected,significant,converged,method_used,marker,formula,z_scored,fdr_alpha,fdr_method
AF3,0.0001269796250988179,0.00048651247935819033,0.26099972865306564,0.26099972865306564,0.7940927165091067,0.9951000610551283,False,True,nm,p3a_lat,mean ~ onoff_label,False,0.05,indep
AF4,-0.00041940889103457096,0.0005177523216123044,-0.8100569973853763,-0.8100569973853763,0.41790741794787145,0.9951000610551283,False,False,nm,p3a_lat,mean ~ onoff_label,False,0.05,indep
AF7,0.0002944960749789817,0.0005909170416322795,0.49837126742105875,0.49837126742105875,0.6182223845807708,0.9951000610551283,False,True,lbfgs,p3a_lat,mean ~ onoff_label,False,0.05,indep
AF8,2.7943976555865534e-05,0.0005003101021504362,0.05585331264700942,0.05585331264700942,0.9554586638423079,0.9951000610551283,False,False,nm,p3a_lat,mean ~ onoff_label,False,0.05,indep
AFz,-0.0006035770079051125,0.0004975805579920049,-1.2130236967876282,-1.2130236967876282,0.2251207606928034,0.9951000610551283,False,True,nm,p3a_lat,mean ~ onoff_label,False,0.05,indep
C1,0.00041127389789981627,0.0007427808388825225,0.5536948132891496,0.5536948132891496,0.5797877255260135,0.9951000610551283,False,True,lbfgs,p3a_lat,mean ~ onoff_label,False,0.05,indep
C2,0.0006084004143783671,0.000580391446911574,1.0482587529775578,1.0482587529775578,0.2945194078174532,0.9951000610551283,False,False,nm,p3a_lat,mean ~ onoff_label,False,0.05,indep
C3,0.0002770882366020042,0.0005384631525683165,0.5145908968522208,0.5145908968522208,0.6068389276337218,0.9951000610551283,False,True,lbfgs,p3a_lat,mean ~ onoff_label,False,0.05,indep
C4,-0.0001675593931222293,0.0005339819920264964,-0.3137922170115335,-0.3137922170115335,0.753678855976608,0.9951000610551283,False,False,nm,p3a_lat,mean ~ onoff_label,False,0.05,indep
C5,0.00037984818337533717,0.0005008696604144881,0.7583773053073305,0.7583773053073305,0.4482251401273075,0.9951000610551283,False,True,lbfgs,p3a_lat,mean ~ onoff_label,False,0.05,indep
