channel,coefficient,std_err,effect_size,t_statistic,p_value,p_corrected,significant,converged,method_used,marker,formula,z_scored,fdr_alpha,fdr_method
AF3,-1.7830846602296104e-05,0.0014910893111712191,-0.01195826867559687,-0.01195826867559687,0.9904589094466438,0.9965051017444562,False,False,nm,p3b_lat,mean ~ onoff_label,False,0.05,indep
AF4,0.001151185971284529,0.0014057259820049893,0.8189262957511751,0.8189262957511751,0.4128284660846653,0.8830990897177061,False,False,nm,p3b_lat,mean ~ onoff_label,False,0.05,indep
AF7,0.0007921349029744359,0.001447471231164798,0.5472543328802433,0.5472543328802433,0.5842040131978671,0.8830990897177061,False,True,lbfgs,p3b_lat,mean ~ onoff_label,False,0.05,indep
AF8,0.0012265637707401275,0.0013447334896942048,0.9121240603735173,0.9121240603735173,0.3617034138788693,0.8830990897177061,False,True,lbfgs,p3b_lat,mean ~ onoff_label,False,0.05,indep
AFz,0.0005607792549591869,0.0014863941811849141,0.3772749261653786,0.3772749261653786,0.705969303813828,0.9965051017444562,False,True,lbfgs,p3b_lat,mean ~ onoff_label,False,0.05,indep
C1,0.0016934139975871892,0.0015449777742743904,1.0960766075631818,1.0960766075631818,0.27304525071306873,0.8830990897177061,False,False,nm,p3b_lat,mean ~ onoff_label,False,0.05,indep
C2,0.0013466767407865191,0.0016770611711713773,0.8029979847699327,0.8029979847699327,0.42197589935141266,0.8830990897177061,False,True,lbfgs,p3b_lat,mean ~ onoff_label,False,0.05,indep
C3,0.0021087455512603694,0.0018057354846832976,1.1678042377453837,1.1678042377453837,0.24288573835436278,0.8830990897177061,False,True,lbfgs,p3b_lat,mean ~ onoff_label,False,0.05,indep
C4,-0.0010412369197927709,0.00142540838154439,-0.730483230823029,-0.730483230823029,0.46509485953578755,0.8830990897177061,False,False,nm,p3b_lat,mean ~ onoff_label,False,0.05,indep
C5,-0.0020700696049635353,0.00129495696318337,-1.598562472589606,-1.598562472589606,0.10991785379689716,0.8830990897177061,False,True,nm,p3b_lat,mean ~ onoff_label,False,0.05,indep
C6,-0.00025264733535141417,0.0014130586340457831,-0.1787946581013767,-0.1787946581013767,0.8580989399147437,0.9965051017444562,False,True,lbfgs,p3b_lat,mean ~ onoff_label,False,0.05,indep
CP1,0.0020804349415420136,0.002012787395437362,1.0336088879819085,1.0336088879819085,0.3013190426196233,0.8830990897177061,False,True,lbfgs,p3b_lat,mean ~ onoff_label,False,0.05,indep
CP2,0.00013931253485347745,0.001477611460009829,0.09428225120327013,0.09428225120327013,0.9248849485934443,0.9965051017444562,False,True,lbfgs,p3b_lat,mean ~ onoff_label,False,0.05,indep
CP3,0.00013463472795099702,0.0015514091640953128,0.08678221778424765,0.08678221778424765,0.9308446224436323,0.9965051017444562,False,True,lbfgs,p3b_lat,mean ~ onoff_label,False,0.05,indep
CP4,0.0001765674496979942,0.001656891067179413,0.1065655148944532,0.1065655148944532,0.9151336778778126,0.9965051017444562,False,True,lbfgs,p3b_lat,mean ~ onoff_label,False,0.05,indep
CP5,0.0004018668885785038,0.00120740185630352,0.3328360698473876,0.3328360698473876,0.7392580292537628,0.9965051017444562,False,True,lbfgs,p3b_lat,mean ~ onoff_label,False,0.05,indep
CP6,0.003086960103619078,0.0014635872347488717,2.1091739735956025,2.1091739735956025,0.034929567555862545,0.8830990897177061,False,True,lbfgs,p3b_lat,mean ~ onoff_label,False,0.05,indep
CPz,0.0023143313426746523,0.0014423005830359428,1.60461097353448,1.60461097353448,0.10857944494967586,0.8830990897177061,False,False,nm,p3b_lat,mean ~ onoff_label,False,0.05,indep
Cz,0.0019397949853585904,0.0016668077637550175,1.1637784677631822,1.1637784677631822,0.2445138003427353,0.8830990897177061,False,True,nm,p3b_lat,mean ~ onoff_label,False,0.05,indep
F1,0.0015924718186947928,0.0015132682290324483,1.0523394254520135,1.0523394254520135,0.29264384941915567,0.8830990897177061,False,True,lbfgs,p3b_lat,mean ~ onoff_label,False,0.05,indep
F2,0.002210689125457498,0.00254565395363259,0.8684169827178966,0.8684169827178966,0.38516610115148886,0.8830990897177061,False,True,lbfgs,p3b_lat,mean ~ onoff_label,False,0.05,indep
F3,0.0016450935683453107,0.0016125763767169826,1.020164745123285,1.020164745123285,0.3076503346448225,0.8830990897177061,False,True,lbfgs,p3b_lat,mean ~ onoff_label,False,0.05,indep
F4,-6.016335432416518e-06,0.0013735237632218301,-0.004380219398828744,-0.004380219398828744,0.9965051017444562,0.9965051017444562,False,False,nm,p3b_lat,mean ~ onoff_label,False,0.05,indep
F5,0.0004033614080390628,0.0016412356312482878,0.2457669090039649,0.2457669090039649,0.8058626742905917,0.9965051017444562,False,True,lbfgs,p3b_lat,mean ~ onoff_label,False,0.05,indep
F6,-0.0009547352577695476,0.0013593669912517602,-0.7023381205471149,-0.7023381205471149,0.48246832537079054,0.8830990897177061,False,False,nm,p3b_lat,mean ~ onoff_label,False,0.05,indep
F7,0.0014889518191290054,0.002632386928987084,0.5656280247911499,0.5656280247911499,0.5716466726646148,0.8830990897177061,False,True,lbfgs,p3b_lat,mean ~ onoff_label,False,0.05,indep
F8,0.001012770010183238,0.002048133126933577,0.4944844633705703,0.4944844633705703,0.6209640761730183,0.9173332943465042,False,True,lbfgs,p3b_lat,mean ~ onoff_label,False,0.05,indep
FC1,0.0019382645177981428,0.0018035344808415915,1.0747033330317486,1.0747033330317486,0.28250757103883284,0.8830990897177061,False,True,nm,p3b_lat,mean ~ onoff_label,False,0.05,indep
FC2,0.0011127140880130022,0.0014744563694655136,0.7546605725718137,0.7546605725718137,0.4504526692048162,0.8830990897177061,False,False,nm,p3b_lat,mean ~ onoff_label,False,0.05,indep
FC3,0.001418351866471282,0.0017992808827914965,0.7882881878180011,0.7882881878180011,0.4305281553678988,0.8830990897177061,False,True,lbfgs,p3b_lat,mean ~ onoff_label,False,0.05,indep
FC4,-0.002539270599549227,0.0014764931643552214,-1.7197984121098968,-1.7197984121098968,0.08546909136452888,0.8830990897177061,False,False,nm,p3b_lat,mean ~ onoff_label,False,0.05,indep
FC5,0.0005659988120480545,0.0029663649881301823,0.19080551931838505,0.19080551931838505,0.8486779643417817,0.9965051017444562,False,True,lbfgs,p3b_lat,mean ~ onoff_label,False,0.05,indep
FC6,-6.599596488679116e-05,0.0016004154691492487,-0.041236770175605335,-0.041236770175605335,0.9671071402304606,0.9965051017444562,False,True,lbfgs,p3b_lat,mean ~ onoff_label,False,0.05,indep
FCz,0.002051321002346996,0.001896631055569127,1.0815603785056924,1.0815603785056924,0.2794479181445908,0.8830990897177061,False,True,lbfgs,p3b_lat,mean ~ onoff_label,False,0.05,indep
FT10,-0.0011696902013821346,0.0013606034379390222,-0.8596848786108655,-0.8596848786108655,0.3899627724502954,0.8830990897177061,False,True,lbfgs,p3b_lat,mean ~ onoff_label,False,0.05,indep
FT7,-0.0013026322800288438,0.001392368806321534,-0.9355511802007667,-0.9355511802007667,0.3495043204440207,0.8830990897177061,False,False,nm,p3b_lat,mean ~ onoff_label,False,0.05,indep
FT8,-0.0014117069939218534,0.0014311958880955551,-0.986382790548934,-0.986382790548934,0.3239453067887865,0.8830990897177061,False,True,lbfgs,p3b_lat,mean ~ onoff_label,False,0.05,indep
FT9,-0.002299077143676284,0.0014252397786219688,-1.6131160371479445,-1.6131160371479445,0.10671930030464662,0.8830990897177061,False,True,lbfgs,p3b_lat,mean ~ onoff_label,False,0.05,indep
Fp1,0.0010718829023308354,0.001329264090818571,0.8063731727461033,0.8063731727461033,0.4200277106708561,0.8830990897177061,False,False,nm,p3b_lat,mean ~ onoff_label,False,0.05,indep
Fp2,-0.00045364740005525916,0.0013340153316645964,-0.3400616089540694,-0.3400616089540694,0.733810132292483,0.9965051017444562,False,True,lbfgs,p3b_lat,mean ~ onoff_label,False,0.05,indep
Fz,0.0017239455918692242,0.001599279051065978,1.077951712504551,1.077951712504551,0.2810553059074077,0.8830990897177061,False,True,lbfgs,p3b_lat,mean ~ onoff_label,False,0.05,indep
Iz,0.0022008126149674254,0.0015598937775869522,1.4108733854762407,1.4108733854762407,0.1582819510167679,0.8830990897177061,False,True,lbfgs,p3b_lat,mean ~ onoff_label,False,0.05,indep
O1,0.0010747023626614908,0.0018113587416585832,0.5933128197882171,0.5933128197882171,0.5529718208537019,0.8830990897177061,False,True,lbfgs,p3b_lat,mean ~ onoff_label,False,0.05,indep
O2,-0.00017389368954635962,0.0017195831805021425,-0.10112548873360125,-0.10112548873360125,0.9194508446757306,0.9965051017444562,False,True,lbfgs,p3b_lat,mean ~ onoff_label,False,0.05,indep
Oz,0.00021104899327023695,0.0019761731996180386,0.10679680976901681,0.10679680976901681,0.9149501784370845,0.9965051017444562,False,True,nm,p3b_lat,mean ~ onoff_label,False,0.05,indep
P1,0.0010010815052136366,0.0015983556012232028,0.6263196402900084,0.6263196402900084,0.5311053065515873,0.8830990897177061,False,True,lbfgs,p3b_lat,mean ~ onoff_label,False,0.05,indep
P2,0.0011739077237755736,0.001965501761682149,0.5972560018317664,0.5972560018317664,0.5503364748427737,0.8830990897177061,False,True,lbfgs,p3b_lat,mean ~ onoff_label,False,0.05,indep
P3,-0.0012249945427881875,0.0018984370560840664,-0.6452647660149458,-0.6452647660149458,0.5187556215639892,0.8830990897177061,False,True,lbfgs,p3b_lat,mean ~ onoff_label,False,0.05,indep
