channel,coefficient,std_err,effect_size,t_statistic,p_value,p_corrected,significant,converged,method_used,marker,formula,z_scored,fdr_alpha,fdr_method
AF3,0.0005599388948681403,0.0013418138825811955,0.41729997143196,0.41729997143196,0.676459009407526,0.9685813895989311,False,True,lbfgs,t_n,mean ~ onoff_label,False,0.05,indep
AF4,0.00020654453386685607,0.001634467337909245,0.1263681011399474,0.1263681011399474,0.8994405513020469,0.9999999999079776,False,True,lbfgs,t_n,mean ~ onoff_label,False,0.05,indep
AF7,0.0003371641494220348,0.0011319779815160396,0.2978539820805316,0.2978539820805316,0.7658146115828492,0.969935459079018,False,True,lbfgs,t_n,mean ~ onoff_label,False,0.05,indep
AF8,0.0003900994779650102,0.0017582173625266988,0.2218721565827368,0.2218721565827368,0.8244134061596295,0.9829544458057121,False,True,lbfgs,t_n,mean ~ onoff_label,False,0.05,indep
AFz,0.0007370054968633183,0.0014795429158906935,0.4981305300087471,0.4981305300087471,0.6183920432228392,0.9685813895989311,False,True,lbfgs,t_n,mean ~ onoff_label,False,0.05,indep
C1,0.0008077380950280294,0.0009821301060261491,0.8224349198460712,0.8224349198460712,0.41082941199252243,0.9584664816415932,False,True,lbfgs,t_n,mean ~ onoff_label,False,0.05,indep
C2,0.001068197169777828,0.0009195140944185807,1.1616974402695386,1.1616974402695386,0.245358385842397,0.8451233290127007,False,True,lbfgs,t_n,mean ~ onoff_label,False,0.05,indep
C3,0.0003894852139072019,0.0006000986438632412,0.6490353175934909,0.6490353175934909,0.5163155484274967,0.9685813895989311,False,True,lbfgs,t_n,mean ~ onoff_label,False,0.05,indep
C4,0.0014327394285590896,0.0005389569215966088,2.6583561155773543,2.6583561155773543,0.007852287201840509,0.4868418065141116,False,False,nm,t_n,mean ~ onoff_label,False,0.05,indep
C5,-0.002923130989074707,,,,,,False,False,nm,t_n,mean ~ onoff_label,False,0.05,indep
C6,0.0009953652966449124,0.0006648605912807826,1.4971037683666106,1.4971037683666106,0.1343662593842211,0.8315148529641472,False,True,lbfgs,t_n,mean ~ onoff_label,False,0.05,indep
CP1,-0.17918014526367188,,,,,,False,False,nm,t_n,mean ~ onoff_label,False,0.05,indep
CP2,0.0016704013029293838,0.0007980133433098022,2.0931997151843436,2.0931997151843436,0.0363313301713602,0.8315148529641472,False,True,lbfgs,t_n,mean ~ onoff_label,False,0.05,indep
CP3,0.052478253841400146,,,,,,False,False,nm,t_n,mean ~ onoff_label,False,0.05,indep
CP4,-0.08214479684829712,73531.40249848065,-1.1171389917388621e-06,-1.1171389917388621e-06,0.9999991086520462,0.9999999999079776,False,False,nm,t_n,mean ~ onoff_label,False,0.05,indep
CP5,0.0007213193924075072,0.000692800280229149,1.0411649836067118,1.0411649836067118,0.2977989841283195,0.9584664816415932,False,True,lbfgs,t_n,mean ~ onoff_label,False,0.05,indep
CP6,0.0010348829268439583,0.0006853504670935141,1.510005430116314,1.510005430116314,0.13104203860299096,0.8315148529641472,False,True,lbfgs,t_n,mean ~ onoff_label,False,0.05,indep
CPz,0.0010219611712329148,0.0008548554526592257,1.1954783326863836,1.1954783326863836,0.23190019681028107,0.8451233290127007,False,True,lbfgs,t_n,mean ~ onoff_label,False,0.05,indep
Cz,0.0010878525574448423,0.0012275410819601847,0.8862046031956158,0.8862046031956158,0.3755072836035871,0.9584664816415932,False,True,lbfgs,t_n,mean ~ onoff_label,False,0.05,indep
F1,0.00011812932511719092,0.001135515521830448,0.1040314490168895,0.1040314490168895,0.9171443912620423,0.9999999999079776,False,True,lbfgs,t_n,mean ~ onoff_label,False,0.05,indep
F2,-0.0006329909680115872,0.0010306428810584094,-0.614170999135552,-0.614170999135552,0.5391023352471829,0.9685813895989311,False,True,lbfgs,t_n,mean ~ onoff_label,False,0.05,indep
