channel,coefficient,std_err,effect_size,t_statistic,p_value,p_corrected,significant,converged,method_used,marker,formula,random_formula,z_scored_pc1,z_scored_markers,fdr_alpha,fdr_method
AF3,7.41749041944017e-13,1.23354198694046e-12,0.6013164122477652,0.6013164122477652,0.5476292602403656,0.9877602784809891,False,False,nm,d,mean ~ PC1,~1 + PC1,True,False,0.05,indep
AF4,5.648419063370926e-13,1.2578776374834816e-12,0.44904360289536516,0.44904360289536516,0.6534002027756114,0.9877602784809891,False,False,nm,d,mean ~ PC1,~1 + PC1,True,False,0.05,indep
AF7,9.820865209800992e-13,1.3912866357271622e-12,0.7058836732567386,0.7058836732567386,0.480260481608772,0.9877602784809891,False,True,lbfgs,d,mean ~ PC1,~1 + PC1,True,False,0.05,indep
AF8,1.1167891077788435e-12,1.5636341017972724e-12,0.7142266253308134,0.7142266253308134,0.47508705543799346,0.9877602784809891,False,True,lbfgs,d,mean ~ PC1,~1 + PC1,True,False,0.05,indep
AFz,2.4314923907606184e-13,9.946092069005169e-13,0.24446711068941693,0.24446711068941693,0.8068690711805628,0.9877602784809891,False,True,lbfgs,d,mean ~ PC1,~1 + PC1,True,False,0.05,indep
C1,-1.226882227958681e-13,1.652476610568323e-13,-0.74245058605503,-0.74245058605503,0.4578143801596736,0.9877602784809891,False,True,lbfgs,d,mean ~ PC1,~1 + PC1,True,False,0.05,indep
C2,-4.746403768084075e-14,1.3587227193569638e-13,-0.3493283582047103,-0.3493283582047103,0.7268428110612148,0.9877602784809891,False,False,nm,d,mean ~ PC1,~1 + PC1,True,False,0.05,indep
C3,-3.079536515979483e-15,1.0384459846411115e-13,-0.02965524024866614,-0.02965524024866614,0.9763420093135384,0.9877602784809891,False,True,lbfgs,d,mean ~ PC1,~1 + PC1,True,False,0.05,indep
C4,1.0147177008095758e-14,1.29225888365595e-13,0.07852278778218354,0.07852278778218354,0.9374122041556885,0.9877602784809891,False,True,nm,d,mean ~ PC1,~1 + PC1,True,False,0.05,indep
C5,-1.7587146249957182e-13,2.3646636572902576e-13,-0.7437483210661276,-0.7437483210661276,0.457028750161219,0.9877602784809891,False,True,lbfgs,d,mean ~ PC1,~1 + PC1,True,False,0.05,indep
C6,3.1209699657901265e-14,1.5243756350128548e-13,0.20473759184453297,0.20473759184453297,0.8377771484355071,0.9877602784809891,False,True,lbfgs,d,mean ~ PC1,~1 + PC1,True,False,0.05,indep
CP1,-9.585612025022002e-15,2.5103214718313086e-13,-0.038184798770131964,-0.038184798770131964,0.9695403408812522,0.9877602784809891,False,True,lbfgs,d,mean ~ PC1,~1 + PC1,True,False,0.05,indep
