channel,coefficient,std_err,effect_size,t_statistic,p_value,p_corrected,significant,converged,method_used,marker,formula,random_formula,z_scored_pc1,z_scored_markers,fdr_alpha,fdr_method
AF3,-0.00010532310002030184,,,,,,False,False,nm,kurtosis,mean ~ PC1,~1 + PC1,True,False,0.05,indep
AF4,0.013187712653485747,0.019180024013972646,0.6875753984394649,0.6875753984394649,0.49172020496549695,0.8341639180435592,False,True,lbfgs,kurtosis,mean ~ PC1,~1 + PC1,True,False,0.05,indep
AF7,0.011443175168185674,0.01876971422897654,0.6096616617913014,0.6096616617913014,0.5420859558546893,0.8341639180435592,False,False,nm,kurtosis,mean ~ PC1,~1 + PC1,True,False,0.05,indep
AF8,0.0070539946141061505,0.021646344216316563,0.32587463932080485,0.32587463932080485,0.7445192041232216,0.892463868601935,False,True,lbfgs,kurtosis,mean ~ PC1,~1 + PC1,True,False,0.05,indep
AFz,0.017315699172465327,0.0201504268273683,0.8593217067217233,0.8593217067217233,0.3901630515589316,0.8341639180435592,False,True,lbfgs,kurtosis,mean ~ PC1,~1 + PC1,True,False,0.05,indep
C1,0.01422950801481617,0.013680807353358812,1.0401073304582893,1.0401073304582893,0.2982900383570606,0.8341639180435592,False,True,lbfgs,kurtosis,mean ~ PC1,~1 + PC1,True,False,0.05,indep
C2,0.027495721460141516,0.014778667009395088,1.8605007774153073,1.8605007774153073,0.06281470856808827,0.6865884363141099,False,False,nm,kurtosis,mean ~ PC1,~1 + PC1,True,False,0.05,indep
C3,0.01936031438986633,0.013563527467566219,1.4273804831495107,1.4273804831495107,0.15347025328204136,0.8341639180435592,False,True,lbfgs,kurtosis,mean ~ PC1,~1 + PC1,True,False,0.05,indep
C4,0.014169351279983736,0.016579833526002632,0.8546136037953296,0.8546136037953296,0.39276509395119774,0.8341639180435592,False,True,lbfgs,kurtosis,mean ~ PC1,~1 + PC1,True,False,0.05,indep
C5,-0.011753590159415033,0.014671946411759706,-0.8010927677594581,-0.8010927677594581,0.42307794278013655,0.8341639180435592,False,False,nm,kurtosis,mean ~ PC1,~1 + PC1,True,False,0.05,indep
C6,0.025169765277250983,0.01366001668000669,1.8425867161707343,1.8425867161707343,0.06538937488705808,0.6865884363141099,False,True,lbfgs,kurtosis,mean ~ PC1,~1 + PC1,True,False,0.05,indep
CP1,0.019835764749012653,0.015419544792071669,1.2864040421745582,1.2864040421745582,0.19830208843739316,0.8341639180435592,False,True,lbfgs,kurtosis,mean ~ PC1,~1 + PC1,True,False,0.05,indep
CP2,0.007573938289592295,0.01426509182153314,0.5309421337309195,0.5309421337309195,0.5954588792369631,0.8341639180435592,False,True,lbfgs,kurtosis,mean ~ PC1,~1 + PC1,True,False,0.05,indep
CP3,0.010298506475516056,0.014553182883005526,0.7076463312738366,0.7076463312738366,0.47916491343908274,0.8341639180435592,False,True,lbfgs,kurtosis,mean ~ PC1,~1 + PC1,True,False,0.05,indep
