channel,coefficient,std_err,effect_size,t_statistic,p_value,p_corrected,significant,converged,method_used,marker,formula,random_formula,z_scored_pc1,z_scored_markers,fdr_alpha,fdr_method
AF3,-3.196533203125,9660657.145351121,-3.3088154926015856e-07,-3.3088154926015856e-07,0.9999997359947204,0.9999999999241184,False,False,nm,mad,mean ~ PC1,~1 + PC1,True,False,0.05,indep
AF4,1.03759765625,5716420.896335105,1.8151176672718789e-07,1.8151176672718789e-07,0.9999998551745637,0.9999999999241184,False,False,nm,mad,mean ~ PC1,~1 + PC1,True,False,0.05,indep
AF7,0.06259205010275566,0.07974721840409882,0.7848806686345636,0.7848806686345636,0.4325235372385152,0.9999999999241184,False,True,lbfgs,mad,mean ~ PC1,~1 + PC1,True,False,0.05,indep
AF8,-0.004866107319726112,14413722.778022883,-3.3760239423680597e-10,-3.3760239423680597e-10,0.9999999997306322,0.9999999999241184,False,False,nm,mad,mean ~ PC1,~1 + PC1,True,False,0.05,indep
AFz,-0.017578125,13199379.46403806,-1.331738741801606e-09,-1.331738741801606e-09,0.9999999989374262,0.9999999999241184,False,False,nm,mad,mean ~ PC1,~1 + PC1,True,False,0.05,indep
C1,0.06368956843886725,0.05962608960475021,1.0681493430317677,1.0681493430317677,0.2854531510271865,0.9999999999241184,False,True,lbfgs,mad,mean ~ PC1,~1 + PC1,True,False,0.05,indep
C2,-0.031215364324374696,0.16826335388251656,-0.18551493004335112,-0.18551493004335112,0.852825171032811,0.9999999999241184,False,True,lbfgs,mad,mean ~ PC1,~1 + PC1,True,False,0.05,indep
C3,0.04093163681086473,0.1712894143752049,0.2389618585606526,0.2389618585606526,0.811135158469394,0.9999999999241184,False,True,lbfgs,mad,mean ~ PC1,~1 + PC1,True,False,0.05,indep
C4,4.3330078125,7584481.590262776,5.712991403476893e-07,5.712991403476893e-07,0.9999995441692363,0.9999999999241184,False,False,nm,mad,mean ~ PC1,~1 + PC1,True,False,0.05,indep
C5,-0.004094581629128886,16701181.693452518,-2.451671806393265e-10,-2.451671806393265e-10,0.9999999998043849,0.9999999999241184,False,False,nm,mad,mean ~ PC1,~1 + PC1,True,False,0.05,indep
C6,-0.45166015625,,,,,,False,False,nm,mad,mean ~ PC1,~1 + PC1,True,False,0.05,indep
CP1,0.06533083530396858,0.0501281322752742,1.3032768694674297,1.3032768694674297,0.1924802549421768,0.9999999999241184,False,True,lbfgs,mad,mean ~ PC1,~1 + PC1,True,False,0.05,indep
CP2,0.005415246670575127,0.05780768766115864,0.09367692930941547,0.09367692930941547,0.9253657974162621,0.9999999999241184,False,True,lbfgs,mad,mean ~ PC1,~1 + PC1,True,False,0.05,indep
CP3,0.009691317129100041,0.054964147875565,0.1763207018335026,0.1763207018335026,0.8600419991037954,0.9999999999241184,False,True,lbfgs,mad,mean ~ PC1,~1 + PC1,True,False,0.05,indep
CP4,1.581787109375,7400116.385988907,2.13751652929391e-07,2.13751652929391e-07,0.9999998294508563,0.9999999999241184,False,False,nm,mad,mean ~ PC1,~1 + PC1,True,False,0.05,indep
CP5,0.06618479907607035,0.04988914419223385,1.3266372904904071,1.3266372904904071,0.1846286941037174,0.9999999999241184,False,True,lbfgs,mad,mean ~ PC1,~1 + PC1,True,False,0.05,indep
CP6,-0.04053231565927568,0.08457723475827995,-0.4792343445031778,-0.4792343445031778,0.6317719239041505,0.9999999999241184,False,True,lbfgs,mad,mean ~ PC1,~1 + PC1,True,False,0.05,indep
CPz,0.03746715500462098,0.05886599082010991,0.6364821942625211,0.6364821942625211,0.5244621828734579,0.9999999999241184,False,True,lbfgs,mad,mean ~ PC1,~1 + PC1,True,False,0.05,indep
Cz,0.08509257523303738,0.0678077892442932,1.2549085611163602,1.2549085611163602,0.20951195579815285,0.9999999999241184,False,True,lbfgs,mad,mean ~ PC1,~1 + PC1,True,False,0.05,indep
F1,0.5009765625,12151051.001092738,4.1229072485577375e-08,4.1229072485577375e-08,0.9999999671039596,0.9999999999241184,False,False,nm,mad,mean ~ PC1,~1 + PC1,True,False,0.05,indep
F2,-0.005732469150393284,60276055.35450719,-9.510358826035277e-11,-9.510358826035277e-11,0.9999999999241184,0.9999999999241184,False,False,nm,mad,mean ~ PC1,~1 + PC1,True,False,0.05,indep
F3,0.0416782116181211,0.13749122217117796,0.30313361798639993,0.30313361798639993,0.7617880352609228,0.9999999999241184,False,True,lbfgs,mad,mean ~ PC1,~1 + PC1,True,False,0.05,indep
F4,-0.0063117729516871755,0.0930199714055968,-0.0678539549766773,-0.0678539549766773,0.9459018928327315,0.9999999999241184,False,True,lbfgs,mad,mean ~ PC1,~1 + PC1,True,False,0.05,indep
F5,-0.004667271392010443,14033486.01342752,-3.325810413424508e-10,-3.325810413424508e-10,0.9999999997346387,0.9999999999241184,False,False,nm,mad,mean ~ PC1,~1 + PC1,True,False,0.05,indep
F6,3.7890625,9281793.534410309,4.0822525150477036e-07,4.0822525150477036e-07,0.9999996742833744,0.9999999999241184,False,False,nm,mad,mean ~ PC1,~1 + PC1,True,False,0.05,indep
F7,-1.60400390625,,,,,,False,False,nm,mad,mean ~ PC1,~1 + PC1,True,False,0.05,indep
F8,0.03073590553998009,0.08636491132935145,0.35588417873514766,0.35588417873514766,0.7219273046869545,0.9999999999241184,False,True,lbfgs,mad,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FC1,0.06412096174869765,0.0579130235104678,1.1071941656975959,1.1071941656975959,0.2682099894786393,0.9999999999241184,False,True,lbfgs,mad,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FC2,-3.345703125,,,,,,False,False,nm,mad,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FC3,0.043809026646348344,0.14078752985077908,0.31117121447319657,0.31117121447319657,0.7556704650080339,0.9999999999241184,False,True,lbfgs,mad,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FC4,0.013328014267057021,0.09736293569725663,0.13689002053614702,0.13689002053614702,0.8911177270359766,0.9999999999241184,False,True,lbfgs,mad,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FC5,-0.004297896132090763,22925636.114317402,-1.8747118338001806e-10,-1.8747118338001806e-10,0.9999999998504197,0.9999999999241184,False,False,nm,mad,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FC6,-0.03532711169591292,0.050050604595718584,-0.7058278712368414,-0.7058278712368414,0.4802951872598613,0.9999999999241184,False,True,lbfgs,mad,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FCz,0.07626928085648028,0.07038054213608083,1.0836699823796976,1.0836699823796976,0.2785111495044563,0.9999999999241184,False,True,lbfgs,mad,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FT10,-0.8558349609375,4602740.425007123,-1.8594030553790693e-07,-1.8594030553790693e-07,0.999999851641101,0.9999999999241184,False,False,nm,mad,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FT7,0.02016133154790062,0.04824196486255604,0.4179210279958816,0.4179210279958816,0.6760048575943702,0.9999999999241184,False,True,lbfgs,mad,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FT8,-0.0018913030281889336,0.07874114298063359,-0.024019247836599224,-0.024019247836599224,0.9808372555821726,0.9999999999241184,False,True,lbfgs,mad,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FT9,-0.00342396490639502,,,,,,False,False,nm,mad,mean ~ PC1,~1 + PC1,True,False,0.05,indep
Fp1,0.06144762490190646,0.08853928550077553,0.6940153690461872,0.6940153690461872,0.4876725706583561,0.9999999999241184,False,True,lbfgs,mad,mean ~ PC1,~1 + PC1,True,False,0.05,indep
Fp2,-0.654296875,7900070.199126632,-8.282165329016111e-08,-8.282165329016111e-08,0.9999999339178816,0.9999999999241184,False,False,nm,mad,mean ~ PC1,~1 + PC1,True,False,0.05,indep
Fz,1.89794921875,11136795.191313678,1.7042148896033717e-07,1.7042148896033717e-07,0.9999998640233251,0.9999999999241184,False,False,nm,mad,mean ~ PC1,~1 + PC1,True,False,0.05,indep
Iz,0.006414070977379587,0.1080692028012028,0.05935151561336584,0.05935151561336584,0.9526721298731966,0.9999999999241184,False,True,lbfgs,mad,mean ~ PC1,~1 + PC1,True,False,0.05,indep
O1,-0.779052734375,5133029.330532288,-1.5177250785243678e-07,-1.5177250785243678e-07,0.9999998789030592,0.9999999999241184,False,False,nm,mad,mean ~ PC1,~1 + PC1,True,False,0.05,indep
O2,0.04923869563140693,0.04569660483042131,1.0775132160065328,1.0775132160065328,0.2812510497427554,0.9999999999241184,False,True,lbfgs,mad,mean ~ PC1,~1 + PC1,True,False,0.05,indep
Oz,0.06799023167051661,0.0433777391153723,1.5673991558131273,1.5673991558131273,0.11702142117304273,0.9999999999241184,False,True,lbfgs,mad,mean ~ PC1,~1 + PC1,True,False,0.05,indep
P1,0.08089612947889822,0.052539446464505084,1.5397217695003795,1.5397217695003795,0.12362818805047271,0.9999999999241184,False,True,lbfgs,mad,mean ~ PC1,~1 + PC1,True,False,0.05,indep
P2,0.019612126890485356,0.05062533701721314,0.38739745838762574,0.38739745838762574,0.6984619851074416,0.9999999999241184,False,True,lbfgs,mad,mean ~ PC1,~1 + PC1,True,False,0.05,indep
P3,0.0018619641742854643,0.05711129691064693,0.032602379476666186,0.032602379476666186,0.9739916722926448,0.9999999999241184,False,True,lbfgs,mad,mean ~ PC1,~1 + PC1,True,False,0.05,indep
P4,-0.017157464462142932,0.04640522361928885,-0.36973131738150355,-0.36973131738150355,0.7115826948636707,0.9999999999241184,False,True,lbfgs,mad,mean ~ PC1,~1 + PC1,True,False,0.05,indep
P5,-0.058835260769901476,0.10902526044422664,-0.5396479726824359,-0.5396479726824359,0.5894398262147515,0.9999999999241184,False,True,lbfgs,mad,mean ~ PC1,~1 + PC1,True,False,0.05,indep
P6,-0.013089001088055068,0.04398357889752365,-0.29758835947731394,-0.29758835947731394,0.7660173600663606,0.9999999999241184,False,True,lbfgs,mad,mean ~ PC1,~1 + PC1,True,False,0.05,indep
