channel,coefficient,std_err,effect_size,t_statistic,p_value,p_corrected,significant,converged,method_used,marker,formula,random_formula,z_scored_pc1,z_scored_markers,fdr_alpha,fdr_method
AF3,-0.11502802495665325,0.19869376838229327,-0.5789211503369124,-0.5789211503369124,0.5626423782616132,0.833663601216492,False,True,lbfgs,mean_amp,mean ~ PC1,~1 + PC1,True,False,0.05,indep
AF4,-0.05124093381709217,0.189619003993755,-0.27023100394926536,-0.27023100394926536,0.7869825419598017,0.9305929985986209,False,True,lbfgs,mean_amp,mean ~ PC1,~1 + PC1,True,False,0.05,indep
AF7,-0.11623092131770978,0.17156623205401272,-0.6774696857661232,-0.6774696857661232,0.49810799741604195,0.8332432207578637,False,True,lbfgs,mean_amp,mean ~ PC1,~1 + PC1,True,False,0.05,indep
AF8,-0.04053214585629705,0.1725341046436526,-0.23492251540651096,-0.23492251540651096,0.8142688737737933,0.9305929985986209,False,True,lbfgs,mean_amp,mean ~ PC1,~1 + PC1,True,False,0.05,indep
AFz,-0.11501774180021519,0.2112762831950248,-0.5443949508239155,-0.5443949508239155,0.5861697196053459,0.833663601216492,False,True,lbfgs,mean_amp,mean ~ PC1,~1 + PC1,True,False,0.05,indep
C1,0.19595384046788197,0.18199943594860335,1.076672789926774,1.076672789926774,0.2816264725904596,0.8332432207578637,False,True,lbfgs,mean_amp,mean ~ PC1,~1 + PC1,True,False,0.05,indep
C2,0.1147406157146541,0.17868247483838223,0.6421481223518795,0.6421481223518795,0.5207770129736649,0.8332432207578637,False,True,lbfgs,mean_amp,mean ~ PC1,~1 + PC1,True,False,0.05,indep
C3,0.14669184766874238,0.17557827970290865,0.8354783286233113,0.8354783286233113,0.40344844381805955,0.8332432207578637,False,True,lbfgs,mean_amp,mean ~ PC1,~1 + PC1,True,False,0.05,indep
C4,0.005322846231862163,24186808.0827371,2.2007228955776307e-10,2.2007228955776307e-10,0.9999999998244077,0.9999999998244077,False,False,nm,mean_amp,mean ~ PC1,~1 + PC1,True,False,0.05,indep
C5,0.19287239266545425,0.1543941313395519,1.2492210098405805,1.2492210098405805,0.21158424957537092,0.8332432207578637,False,True,lbfgs,mean_amp,mean ~ PC1,~1 + PC1,True,False,0.05,indep
C6,0.10275125904814428,0.12812533555928768,0.801958945899486,0.801958945899486,0.42257670661454483,0.8332432207578637,False,True,lbfgs,mean_amp,mean ~ PC1,~1 + PC1,True,False,0.05,indep
CP1,0.24800042326889335,0.21228301201159921,1.1682537425808832,1.1682537425808832,0.24270442814995108,0.8332432207578637,False,True,lbfgs,mean_amp,mean ~ PC1,~1 + PC1,True,False,0.05,indep
CP2,0.24436814560155995,0.1759075149105593,1.389185366672991,1.389185366672991,0.16477639029616176,0.8332432207578637,False,True,lbfgs,mean_amp,mean ~ PC1,~1 + PC1,True,False,0.05,indep
CP3,0.28744995597460254,0.1631969061774342,1.761368905254095,1.761368905254095,0.07817598440818412,0.8332432207578637,False,False,nm,mean_amp,mean ~ PC1,~1 + PC1,True,False,0.05,indep
CP4,0.17558253980859512,0.1540735087032237,1.1396023968455349,1.1396023968455349,0.2544519863371082,0.8332432207578637,False,False,nm,mean_amp,mean ~ PC1,~1 + PC1,True,False,0.05,indep
CP5,0.08993869886049771,0.1644854339637504,0.5467882273412645,0.5467882273412645,0.5845242320220115,0.833663601216492,False,True,lbfgs,mean_amp,mean ~ PC1,~1 + PC1,True,False,0.05,indep
CP6,0.10232306377349308,0.12716700116149535,0.8046353443811121,0.8046353443811121,0.42103013993227256,0.8332432207578637,False,True,lbfgs,mean_amp,mean ~ PC1,~1 + PC1,True,False,0.05,indep
CPz,0.3302743915965083,0.18380588048450014,1.7968652076088472,1.7968652076088472,0.07235702126000228,0.8332432207578637,False,True,lbfgs,mean_amp,mean ~ PC1,~1 + PC1,True,False,0.05,indep
Cz,0.131383134910804,0.19582113744810248,0.6709343874872744,0.6709343874872744,0.5022623287001289,0.8332432207578637,False,True,lbfgs,mean_amp,mean ~ PC1,~1 + PC1,True,False,0.05,indep
F1,0.09235963822932526,0.20067718245630894,0.4602398593543819,0.4602398593543819,0.6453440636130096,0.8450136766629762,False,True,lbfgs,mean_amp,mean ~ PC1,~1 + PC1,True,False,0.05,indep
F2,0.14376492333590005,0.17499927210870425,0.8215172646352359,0.8215172646352359,0.41135169417465023,0.8332432207578637,False,True,lbfgs,mean_amp,mean ~ PC1,~1 + PC1,True,False,0.05,indep
F3,-0.033998557167508714,0.18737342572611304,-0.1814481271063752,-0.1814481271063752,0.8560158457910019,0.9445692091486917,False,True,lbfgs,mean_amp,mean ~ PC1,~1 + PC1,True,False,0.05,indep
