channel,coefficient,std_err,effect_size,t_statistic,p_value,p_corrected,significant,converged,method_used,marker,formula,random_formula,z_scored_pc1,z_scored_markers,fdr_alpha,fdr_method
AF3,0.11223659033714498,0.14769784488150856,0.7599067571174611,0.7599067571174611,0.4473103222992514,0.9999999939398982,False,False,nm,msf,mean ~ PC1,~1 + PC1,True,False,0.05,indep
AF4,0.06868845612062316,0.14804745297521335,0.4639624305601747,0.4639624305601747,0.6426746626920913,0.9999999939398982,False,True,lbfgs,msf,mean ~ PC1,~1 + PC1,True,False,0.05,indep
AF7,0.06552772627650194,0.14447303472425302,0.45356371451302846,0.45356371451302846,0.6501428749919802,0.9999999939398982,False,True,lbfgs,msf,mean ~ PC1,~1 + PC1,True,False,0.05,indep
AF8,0.01994420435542865,0.14239176427945066,0.14006571557247646,0.14006571557247646,0.8886080685244566,0.9999999939398982,False,False,nm,msf,mean ~ PC1,~1 + PC1,True,False,0.05,indep
AFz,0.026744320732828918,0.13569525276653757,0.19709105652238457,0.19709105652238457,0.8437562820253403,0.9999999939398982,False,True,lbfgs,msf,mean ~ PC1,~1 + PC1,True,False,0.05,indep
C1,-0.046668595150790845,0.08362592867960685,-0.5580636997119713,-0.5580636997119713,0.5768008873030808,0.9999999939398982,False,False,nm,msf,mean ~ PC1,~1 + PC1,True,False,0.05,indep
C2,-0.06527690914894926,0.11349140031479776,-0.5751705324622559,-0.5751705324622559,0.5651759698541287,0.9999999939398982,False,True,lbfgs,msf,mean ~ PC1,~1 + PC1,True,False,0.05,indep
C3,0.011962376195099975,0.08263255607929137,0.1447658981239947,0.1447658981239947,0.8848957078924379,0.9999999939398982,False,True,lbfgs,msf,mean ~ PC1,~1 + PC1,True,False,0.05,indep
C4,-0.08203125,10800390.835193912,-7.595211252234948e-09,-7.595211252234948e-09,0.9999999939398982,0.9999999939398982,False,False,nm,msf,mean ~ PC1,~1 + PC1,True,False,0.05,indep
C5,-0.012669554114333167,0.08692135148614095,-0.14575882562471715,-0.14575882562471715,0.884111781066851,0.9999999939398982,False,False,nm,msf,mean ~ PC1,~1 + PC1,True,False,0.05,indep
C6,0.13333516847352228,0.19430941453478992,0.6862002481596147,0.6862002481596147,0.49258684132368136,0.9999999939398982,False,True,lbfgs,msf,mean ~ PC1,~1 + PC1,True,False,0.05,indep
CP1,0.03614107005345299,0.08620230455767541,0.4192587453305505,0.4192587453305505,0.6750270432715634,0.9999999939398982,False,True,lbfgs,msf,mean ~ PC1,~1 + PC1,True,False,0.05,indep
