channel,coefficient,std_err,effect_size,t_statistic,p_value,p_corrected,significant,converged,method_used,marker,formula,random_formula,z_scored_pc1,z_scored_markers,fdr_alpha,fdr_method
AF3,,,,,,,False,False,,n1_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
AF4,,,,,,,False,False,,n1_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
AF7,-0.0005290749995703645,0.0003236650526712207,-1.6346373981493745,-1.6346373981493745,0.10212508294247614,0.4425420260840633,False,False,nm,n1_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
AF8,,,,,,,False,False,,n1_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
AFz,,,,,,,False,False,,n1_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
C1,,,,,,,False,False,,n1_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
C2,,,,,,,False,False,,n1_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
C3,,,,,,,False,False,,n1_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
C4,,,,,,,False,False,,n1_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
C5,,,,,,,False,False,,n1_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
C6,,,,,,,False,False,,n1_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
CP1,,,,,,,False,False,,n1_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
CP2,,,,,,,False,False,,n1_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
CP3,,,,,,,False,False,,n1_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
CP4,,,,,,,False,False,,n1_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
CP5,,,,,,,False,False,,n1_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
CP6,,,,,,,False,False,,n1_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
CPz,,,,,,,False,False,,n1_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
Cz,,,,,,,False,False,,n1_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
F1,-0.00030569730106705183,0.0003224296103504342,-0.9481055438264594,-0.9481055438264594,0.343075726274638,0.6048808748565085,False,False,nm,n1_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
F2,,,,,,,False,False,,n1_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
F3,-0.00032452588731607087,0.0003251658731665577,-0.9980318172868067,-0.9980318172868067,0.3182639303889505,0.6048808748565085,False,True,lbfgs,n1_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
F4,-9.947041013140088e-05,0.00035927208459489175,-0.2768665153697143,-0.2768665153697143,0.7818826047283087,0.7818826047283087,False,True,lbfgs,n1_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
F5,-0.0005943886954532366,0.00032534393735109146,-1.8269548843991776,-1.8269548843991776,0.06770655303238086,0.44009259471047557,False,True,lbfgs,n1_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
F6,,,,,,,False,False,,n1_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
F7,-0.0004798465689689234,0.0003299581884883932,-1.4542647696279336,-1.4542647696279336,0.1458729139487868,0.4591610335850248,False,True,lbfgs,n1_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
F8,,,,,,,False,False,,n1_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FC1,-0.00047469593976041214,0.0003512891931804944,-1.3512967349283376,-1.3512967349283376,0.17660039753270185,0.4591610335850248,False,True,lbfgs,n1_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FC2,,,,,,,False,False,,n1_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FC3,,,,,,,False,False,,n1_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FC4,,,,,,,False,False,,n1_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FC5,,,,,,,False,False,,n1_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FC6,,,,,,,False,False,,n1_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FCz,,,,,,,False,False,,n1_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FT10,,,,,,,False,False,,n1_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FT7,,,,,,,False,False,,n1_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FT8,,,,,,,False,False,,n1_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FT9,,,,,,,False,False,,n1_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
Fp1,-0.00014455606091218334,0.00033575756374228387,-0.43053701992887844,-0.43053701992887844,0.6668050434059574,0.7818826047283087,False,True,nm,n1_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
Fp2,,,,,,,False,False,,n1_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
Fz,-8.620266549509013e-05,0.000304407758906737,-0.2831815647691835,-0.2831815647691835,0.7770376593918411,0.7818826047283087,False,False,nm,n1_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
Iz,,,,,,,False,False,,n1_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
O1,,,,,,,False,False,,n1_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
O2,,,,,,,False,False,,n1_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
Oz,,,,,,,False,False,,n1_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
P1,,,,,,,False,False,,n1_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
P2,,,,,,,False,False,,n1_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
P3,,,,,,,False,False,,n1_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
P4,,,,,,,False,False,,n1_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
P5,,,,,,,False,False,,n1_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
P6,,,,,,,False,False,,n1_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
P7,,,,,,,False,False,,n1_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
P8,,,,,,,False,False,,n1_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
PO3,,,,,,,False,False,,n1_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
PO4,,,,,,,False,False,,n1_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
PO7,,,,,,,False,False,,n1_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
PO8,0.00021966529108770376,0.000369888970805076,0.5938681832269688,0.5938681832269688,0.5526002808494828,0.7183803651043276,False,True,lbfgs,n1_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
POz,,,,,,,False,False,,n1_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
Pz,,,,,,,False,False,,n1_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
T7,-0.0005712896646342772,0.00016523751397127327,-3.457384772404628,-3.457384772404628,0.0005454454475043371,0.0070907908175563816,True,False,nm,n1_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
T8,-0.0002822585100553672,0.00031682952869194165,-0.8908844804355708,-0.8908844804355708,0.3729911469965609,0.6048808748565085,False,True,lbfgs,n1_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
TP10,,,,,,,False,False,,n1_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
TP7,0.0002442912548623178,0.00030212827806998385,0.8085679911290234,0.8085679911290234,0.4187636825929675,0.6048808748565085,False,True,nm,n1_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
TP8,,,,,,,False,False,,n1_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
TP9,,,,,,,False,False,,n1_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
