channel,coefficient,std_err,effect_size,t_statistic,p_value,p_corrected,significant,converged,method_used,marker,formula,random_formula,z_scored_pc1,z_scored_markers,fdr_alpha,fdr_method
AF3,0.004065813214337682,0.21504034754982562,0.018907210952101062,0.018907210952101062,0.9849151270621619,0.9999999999224422,False,True,nm,n1,mean ~ PC1,~1 + PC1,True,False,0.05,indep
AF4,0.005116420750607041,0.2208633588553029,0.023165548043480713,0.023165548043480713,0.9815182199068224,0.9999999999224422,False,True,lbfgs,n1,mean ~ PC1,~1 + PC1,True,False,0.05,indep
AF7,-0.0251918210579972,0.19370709821307103,-0.13005109926476252,-0.13005109926476252,0.8965259985768643,0.9999999999224422,False,True,lbfgs,n1,mean ~ PC1,~1 + PC1,True,False,0.05,indep
AF8,-0.03225753370833871,0.1968205909045498,-0.1638930843571257,-0.1638930843571257,0.8698153113691309,0.9999999999224422,False,True,lbfgs,n1,mean ~ PC1,~1 + PC1,True,False,0.05,indep
AFz,0.024352999438843212,0.2157982243053603,0.11285078696654641,0.11285078696654641,0.9101488533030679,0.9999999999224422,False,False,nm,n1,mean ~ PC1,~1 + PC1,True,False,0.05,indep
C1,0.25847292995659743,0.20242452127351185,1.2768854698554732,1.2768854698554732,0.2016426846707896,0.5377138257887722,False,True,lbfgs,n1,mean ~ PC1,~1 + PC1,True,False,0.05,indep
C2,0.18296779014894193,0.20513648423911318,0.8919319780077212,0.8919319780077212,0.3724293932073337,0.7463044374754982,False,True,lbfgs,n1,mean ~ PC1,~1 + PC1,True,False,0.05,indep
C3,0.2780059038342636,0.18309398595633408,1.5183781290367722,1.5183781290367722,0.12891910196885065,0.45545662892087246,False,True,nm,n1,mean ~ PC1,~1 + PC1,True,False,0.05,indep
C4,0.13238943711912413,0.18196189398960172,0.7275668230112485,0.7275668230112485,0.46687879595469073,0.7661600754128258,False,True,lbfgs,n1,mean ~ PC1,~1 + PC1,True,False,0.05,indep
C5,0.31573640204794756,0.17906495696270136,1.763250651626462,1.763250651626462,0.07785822433010993,0.3517951499674986,False,True,lbfgs,n1,mean ~ PC1,~1 + PC1,True,False,0.05,indep
C6,0.004241670589432241,0.14066237173973756,0.03015497703451531,0.03015497703451531,0.9759434553081577,0.9999999999224422,False,True,lbfgs,n1,mean ~ PC1,~1 + PC1,True,False,0.05,indep
CP1,0.3327340686639986,0.20358763845632033,1.6343530048627515,1.6343530048627515,0.10218474996393313,0.38469552927598355,False,True,lbfgs,n1,mean ~ PC1,~1 + PC1,True,False,0.05,indep
CP2,0.30174302445578566,0.21097574442282055,1.430226139413717,1.430226139413717,0.15265212549736873,0.46522552532531425,False,True,lbfgs,n1,mean ~ PC1,~1 + PC1,True,False,0.05,indep
CP3,0.3766452212379789,0.18561202516397693,2.02920700264563,2.02920700264563,0.04243721063006384,0.26985951543611497,False,True,nm,n1,mean ~ PC1,~1 + PC1,True,False,0.05,indep
CP4,0.0046945517054203115,15339672.262685537,3.060398960960871e-10,3.060398960960871e-10,0.9999999997558154,0.9999999999224422,False,False,nm,n1,mean ~ PC1,~1 + PC1,True,False,0.05,indep
CP5,0.407351083329299,0.15659124389985937,2.6013656522825848,2.6013656522825848,0.009285342619212034,0.21602170993696873,False,False,nm,n1,mean ~ PC1,~1 + PC1,True,False,0.05,indep
CP6,0.024267363893281848,0.14256363296974217,0.17022127865128392,0.17022127865128392,0.864836117977993,0.9999999999224422,False,True,lbfgs,n1,mean ~ PC1,~1 + PC1,True,False,0.05,indep
CPz,0.4128316346634044,0.20725527033168922,1.9918993326573209,1.9918993326573209,0.04638210421558226,0.26985951543611497,False,True,nm,n1,mean ~ PC1,~1 + PC1,True,False,0.05,indep
Cz,0.20354565300910815,0.22063868913400425,0.9225292889837888,0.9225292889837888,0.35625256012208073,0.7463044374754982,False,True,lbfgs,n1,mean ~ PC1,~1 + PC1,True,False,0.05,indep
F1,0.22672281855321205,0.2147583335035729,1.0557113889573002,1.0557113889573002,0.2911000922928353,0.6653716395264807,False,False,nm,n1,mean ~ PC1,~1 + PC1,True,False,0.05,indep
F2,0.23393789342884252,0.20704764785614496,1.1298746730577722,1.1298746730577722,0.25852903737141664,0.6363791689142564,False,True,lbfgs,n1,mean ~ PC1,~1 + PC1,True,False,0.05,indep
F3,0.12696317508136828,0.19699619568556198,0.6444955682495626,0.6444955682495626,0.5192541305057461,0.7912443893420893,False,True,lbfgs,n1,mean ~ PC1,~1 + PC1,True,False,0.05,indep
F4,0.17514306200787846,0.2017088086741446,0.8682965466858593,0.8682965466858593,0.3852320121727232,0.7463044374754982,False,True,lbfgs,n1,mean ~ PC1,~1 + PC1,True,False,0.05,indep
F5,0.10144911922267875,0.18385489640451844,0.5517890532513744,0.5517890532513744,0.5810928881105087,0.8331752807719033,False,True,lbfgs,n1,mean ~ PC1,~1 + PC1,True,False,0.05,indep
F6,0.09688727166690159,0.19094255694951887,0.5074158072184847,0.5074158072184847,0.6118630968168665,0.8331752807719033,False,True,lbfgs,n1,mean ~ PC1,~1 + PC1,True,False,0.05,indep
F7,0.11439017579778019,0.1710492111021628,0.6687559390698282,0.6687559390698282,0.5036511774344142,0.7912443893420893,False,True,lbfgs,n1,mean ~ PC1,~1 + PC1,True,False,0.05,indep
F8,-0.004670772696814073,0.16804203476260576,-0.027795263866047016,-0.027795263866047016,0.9778254433922006,0.9999999999224422,False,True,lbfgs,n1,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FC1,0.22177938472436864,0.2262449120904751,0.9802624186115589,0.9802624186115589,0.32695660050402375,0.7215593942157765,False,True,lbfgs,n1,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FC2,0.2693553609889919,0.20327952563699714,1.3250491417910355,1.3250491417910355,0.1851548528082817,0.5263590667058521,False,True,lbfgs,n1,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FC3,0.35888671875,16975800.26478529,2.114107807303064e-08,2.114107807303064e-08,0.9999999831318602,0.9999999999224422,False,False,nm,n1,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FC4,0.14630773603007957,0.19077109228289674,0.7669282294254419,0.7669282294254419,0.4431241885195054,0.7463144227696933,False,True,lbfgs,n1,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FC5,0.19667469532451234,0.16086078286749514,1.222639177918946,1.222639177918946,0.22146600875719047,0.5669529824184076,False,True,lbfgs,n1,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FC6,0.0821191946197278,0.15864910986483569,0.51761522450199,0.51761522450199,0.6047267573583974,0.8331752807719033,False,True,lbfgs,n1,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FCz,0.22863821518754932,0.2152860522361157,1.0620205666495737,1.0620205666495737,0.2882263485527854,0.6653716395264807,False,True,nm,n1,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FT10,-0.013389892266030089,0.16260214622589036,-0.08234757398237884,-0.08234757398237884,0.9343703242846298,0.9999999999224422,False,True,lbfgs,n1,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FT7,0.09923961977904543,0.15192719963944137,0.6532050877957611,0.6532050877957611,0.5136240706625257,0.7912443893420893,False,True,lbfgs,n1,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FT8,0.08079533737385787,0.15739573686241345,0.5133260848385279,0.5133260848385279,0.607723240319902,0.8331752807719033,False,True,lbfgs,n1,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FT9,0.0025921848348281866,21493819.82220638,1.2060140339271226e-10,1.2060140339271226e-10,0.999999999903774,0.9999999999224422,False,False,nm,n1,mean ~ PC1,~1 + PC1,True,False,0.05,indep
Fp1,-0.07221735053965381,0.22387109919699433,-0.3225845176027232,-0.3225845176027232,0.7470099205593108,0.9756864268529774,False,True,lbfgs,n1,mean ~ PC1,~1 + PC1,True,False,0.05,indep
Fp2,-0.09849927595978542,0.22032688653951216,-0.44705971888783136,-0.44705971888783136,0.6548319419541828,0.8731092559389104,False,True,nm,n1,mean ~ PC1,~1 + PC1,True,False,0.05,indep
Fz,0.17063281509000341,0.21800347272143314,0.782706866821519,0.782706866821519,0.43379926889015263,0.7463144227696933,False,False,nm,n1,mean ~ PC1,~1 + PC1,True,False,0.05,indep
Iz,0.26522611437535126,0.11682382539843113,2.270308419286817,2.270308419286817,0.023188876586513207,0.24734801692280753,False,True,nm,n1,mean ~ PC1,~1 + PC1,True,False,0.05,indep
O1,0.3834940290271129,0.1735480188992805,2.2097286472032596,2.2097286472032596,0.027124000334203088,0.24799086019842823,False,True,lbfgs,n1,mean ~ PC1,~1 + PC1,True,False,0.05,indep
O2,,,,,,,False,False,,n1,mean ~ PC1,~1 + PC1,True,False,0.05,indep
Oz,0.3784391827389139,0.152803571977961,2.476638326187143,2.476638326187143,0.013262622129836726,0.21602170993696873,False,True,lbfgs,n1,mean ~ PC1,~1 + PC1,True,False,0.05,indep
P1,0.34914686157469366,0.20471828890902607,1.7054991199630904,1.7054991199630904,0.08810137627101698,0.3524055050840679,False,True,lbfgs,n1,mean ~ PC1,~1 + PC1,True,False,0.05,indep
P2,0.34754753004179995,0.2001272288536013,1.736632901143306,1.736632901143306,0.08245198827363248,0.3517951499674986,False,True,lbfgs,n1,mean ~ PC1,~1 + PC1,True,False,0.05,indep
P3,0.4776174498597959,0.1980671556799483,2.4113914708381325,2.4113914708381325,0.015891780750146006,0.21602170993696873,False,True,lbfgs,n1,mean ~ PC1,~1 + PC1,True,False,0.05,indep
P4,0.27249883128416447,0.2075284659655684,1.3130672460585502,1.3130672460585502,0.1891602895974156,0.5263590667058521,False,True,lbfgs,n1,mean ~ PC1,~1 + PC1,True,False,0.05,indep
P5,0.35847421215689584,0.1719935613816585,2.084230416983061,2.084230416983061,0.03713921323038228,0.26985951543611497,False,False,nm,n1,mean ~ PC1,~1 + PC1,True,False,0.05,indep
P6,0.1545861779350449,0.17853494712508508,0.8658594881524164,0.8658594881524164,0.3865672217079943,0.7463044374754982,False,False,nm,n1,mean ~ PC1,~1 + PC1,True,False,0.05,indep
P7,0.28780339372299507,0.15204696503175646,1.8928585234363906,1.8928585234363906,0.05837668630515461,0.3113423269608246,False,True,lbfgs,n1,mean ~ PC1,~1 + PC1,True,False,0.05,indep
P8,0.10941915832511237,0.1833456999050072,0.5967915166911646,0.5967915166911646,0.5506465825018891,0.8195670065144397,False,True,lbfgs,n1,mean ~ PC1,~1 + PC1,True,False,0.05,indep
PO3,0.0032218754947981204,33145385.826235462,9.720434426947957e-11,9.720434426947957e-11,0.9999999999224422,0.9999999999224422,False,False,nm,n1,mean ~ PC1,~1 + PC1,True,False,0.05,indep
PO4,0.273836527303158,0.18398848500388557,1.4883351384592083,1.4883351384592083,0.1366625326007198,0.45545662892087246,False,False,nm,n1,mean ~ PC1,~1 + PC1,True,False,0.05,indep
PO7,0.30496877819558627,0.16682128527235612,1.8281167040386213,1.8281167040386213,0.0675320385120718,0.33246542036712273,False,True,nm,n1,mean ~ PC1,~1 + PC1,True,False,0.05,indep
PO8,0.13296401834848254,0.1725671978083621,0.7705057510184562,0.7705057510184562,0.44099994490713856,0.7463144227696933,False,True,lbfgs,n1,mean ~ PC1,~1 + PC1,True,False,0.05,indep
POz,0.4891940060900717,0.19170539804445533,2.551800893872746,2.551800893872746,0.010716774242874955,0.21602170993696873,False,True,lbfgs,n1,mean ~ PC1,~1 + PC1,True,False,0.05,indep
Pz,0.4947094849514048,0.20704486248806023,2.389383049675688,2.389383049675688,0.016876696088825683,0.21602170993696873,False,True,lbfgs,n1,mean ~ PC1,~1 + PC1,True,False,0.05,indep
T7,0.20066757629742663,0.1367719949487498,1.4671685996290345,1.4671685996290345,0.14233019653777265,0.45545662892087246,False,False,nm,n1,mean ~ PC1,~1 + PC1,True,False,0.05,indep
T8,-0.011353107630121689,0.15074926477293918,-0.0753111973529152,-0.0753111973529152,0.9399671125858212,0.9999999999224422,False,True,lbfgs,n1,mean ~ PC1,~1 + PC1,True,False,0.05,indep
TP10,-0.11038459755880052,0.13344694396737122,-0.8271796586498855,-0.8271796586498855,0.4081352392444131,0.7463044374754982,False,True,lbfgs,n1,mean ~ PC1,~1 + PC1,True,False,0.05,indep
TP7,0.2685864547487094,0.1327719988578033,2.0229148996721906,2.0229148996721906,0.043081922117324,0.26985951543611497,False,True,lbfgs,n1,mean ~ PC1,~1 + PC1,True,False,0.05,indep
TP8,-0.01909604613635819,0.15967532256194916,-0.11959297047262582,-0.11959297047262582,0.9048055885072517,0.9999999999224422,False,True,lbfgs,n1,mean ~ PC1,~1 + PC1,True,False,0.05,indep
TP9,0.11038459755880052,0.13344694396737122,0.8271796586498855,0.8271796586498855,0.4081352392444131,0.7463044374754982,False,True,lbfgs,n1,mean ~ PC1,~1 + PC1,True,False,0.05,indep
