channel,coefficient,std_err,effect_size,t_statistic,p_value,p_corrected,significant,converged,method_used,marker,formula,random_formula,z_scored_pc1,z_scored_markers,fdr_alpha,fdr_method
AF3,0.18263962609706505,0.24979647465387375,0.7311537376583739,0.7311537376583739,0.46468525395146054,0.5961729455211263,False,True,lbfgs,p2_amp,mean ~ PC1,~1 + PC1,True,False,0.05,indep
AF4,0.35246028866422274,0.2451718516147747,1.4376050363971822,1.4376050363971822,0.1505461511057595,0.5073522664241006,False,True,nm,p2_amp,mean ~ PC1,~1 + PC1,True,False,0.05,indep
AF7,0.13642598346748253,0.21603769203512826,0.6314915799290215,0.6314915799290215,0.5277191530037286,0.6208460623573278,False,True,lbfgs,p2_amp,mean ~ PC1,~1 + PC1,True,False,0.05,indep
AF8,0.23299587091081783,0.23597176830352148,0.9873887566546695,0.9873887566546695,0.3234520940799055,0.5106267699551986,False,False,nm,p2_amp,mean ~ PC1,~1 + PC1,True,False,0.05,indep
AFz,0.33899478090554114,0.2574726051987603,1.3166246585490073,1.3166246585490073,0.18796446911662512,0.5073522664241006,False,True,lbfgs,p2_amp,mean ~ PC1,~1 + PC1,True,False,0.05,indep
C1,,,,,,,False,False,,p2_amp,mean ~ PC1,~1 + PC1,True,False,0.05,indep
C2,,,,,,,False,False,,p2_amp,mean ~ PC1,~1 + PC1,True,False,0.05,indep
C3,,,,,,,False,False,,p2_amp,mean ~ PC1,~1 + PC1,True,False,0.05,indep
C4,0.2741668476524302,0.21533388319820476,1.273217403505757,1.273217403505757,0.20294090656964026,0.5073522664241006,False,True,lbfgs,p2_amp,mean ~ PC1,~1 + PC1,True,False,0.05,indep
C5,0.2789774056018262,0.189135129947042,1.4750163318678031,1.4750163318678031,0.1402081526622319,0.5073522664241006,False,False,nm,p2_amp,mean ~ PC1,~1 + PC1,True,False,0.05,indep
C6,0.20009502421789668,0.1663573787136151,1.2028022187243108,1.2028022187243108,0.22905286601514163,0.5106267699551986,False,False,nm,p2_amp,mean ~ PC1,~1 + PC1,True,False,0.05,indep
CP1,,,,,,,False,False,,p2_amp,mean ~ PC1,~1 + PC1,True,False,0.05,indep
CP2,,,,,,,False,False,,p2_amp,mean ~ PC1,~1 + PC1,True,False,0.05,indep
CP3,,,,,,,False,False,,p2_amp,mean ~ PC1,~1 + PC1,True,False,0.05,indep
CP4,0.18583808793253997,0.20198106810973426,0.9200767659648974,0.9200767659648974,0.35753264485527225,0.5106267699551986,False,True,lbfgs,p2_amp,mean ~ PC1,~1 + PC1,True,False,0.05,indep
CP5,,,,,,,False,False,,p2_amp,mean ~ PC1,~1 + PC1,True,False,0.05,indep
CP6,,,,,,,False,False,,p2_amp,mean ~ PC1,~1 + PC1,True,False,0.05,indep
CPz,,,,,,,False,False,,p2_amp,mean ~ PC1,~1 + PC1,True,False,0.05,indep
Cz,,,,,,,False,False,,p2_amp,mean ~ PC1,~1 + PC1,True,False,0.05,indep
F1,0.4136999777855964,0.2664874600293385,1.5524181803528423,1.5524181803528423,0.12056219612963592,0.5073522664241006,False,True,lbfgs,p2_amp,mean ~ PC1,~1 + PC1,True,False,0.05,indep
F2,0.43843698162092387,0.269172841046396,1.6288306796351444,1.6288306796351444,0.10334886805614407,0.5073522664241006,False,True,lbfgs,p2_amp,mean ~ PC1,~1 + PC1,True,False,0.05,indep
F3,0.3230639258878349,0.24750378050026467,1.3052888535069849,1.3052888535069849,0.19179450813572207,0.5073522664241006,False,True,lbfgs,p2_amp,mean ~ PC1,~1 + PC1,True,False,0.05,indep
F4,0.4371522915145079,0.2638326965483459,1.6569299303447105,1.6569299303447105,0.09753364233006272,0.5073522664241006,False,True,lbfgs,p2_amp,mean ~ PC1,~1 + PC1,True,False,0.05,indep
