channel,coefficient,std_err,effect_size,t_statistic,p_value,p_corrected,significant,converged,method_used,marker,formula,random_formula,z_scored_pc1,z_scored_markers,fdr_alpha,fdr_method
AF3,0.00011240561418061623,0.0004473832629360957,0.25125127266254543,0.25125127266254543,0.8016198457327038,0.9578069433176057,False,True,lbfgs,p2_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
AF4,-0.0002909453210448663,0.0005211428451870753,-0.5582832494619114,-0.5582832494619114,0.5766509812642316,0.9578069433176057,False,True,lbfgs,p2_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
AF7,0.00040225870724561966,0.0004580515853203359,0.8781952080010862,0.8781952080010862,0.37983779209623336,0.9578069433176057,False,True,lbfgs,p2_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
AF8,-0.00016710270604649332,0.00047000169580503994,-0.3555363896299828,-0.3555363896299828,0.7221877883163601,0.9578069433176057,False,True,lbfgs,p2_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
AFz,0.000160307993192344,0.00041958223776536533,0.3820657281540833,0.3820657281540833,0.7024126118919755,0.9578069433176057,False,True,nm,p2_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
C1,,,,,,,False,False,,p2_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
C2,,,,,,,False,False,,p2_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
C3,,,,,,,False,False,,p2_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
C4,-0.0007679238876759964,0.0004219750424522844,-1.8198324792225853,-1.8198324792225853,0.06878451994188593,0.8013199786881022,False,False,nm,p2_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
C5,2.2720044511090915e-05,0.00042944315798724503,0.0529058248769811,0.0529058248769811,0.9578069433176057,0.9578069433176057,False,False,nm,p2_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
C6,-0.0008201527317442716,0.00045907726285571534,-1.7865244003644756,-1.7865244003644756,0.07401439007805677,0.8013199786881022,False,True,lbfgs,p2_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
CP1,,,,,,,False,False,,p2_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
CP2,,,,,,,False,False,,p2_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
CP3,,,,,,,False,False,,p2_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
CP4,-0.0006434761736347505,0.00044271337724034846,-1.4534825616651927,-1.4534825616651927,0.1460898179793218,0.9578069433176057,False,True,nm,p2_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
CP5,,,,,,,False,False,,p2_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
CP6,,,,,,,False,False,,p2_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
CPz,,,,,,,False,False,,p2_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
Cz,,,,,,,False,False,,p2_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
F1,-0.0006746065488432,0.0004899857165965517,-1.376788191968181,-1.376788191968181,0.16857774261214065,0.9578069433176057,False,True,lbfgs,p2_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
F2,-0.0003479154880590419,0.00046358201588003024,-0.7504939280239,-0.7504939280239,0.45295727942567354,0.9578069433176057,False,True,nm,p2_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
F3,-0.0002417576631803284,0.00044669906124255416,-0.541209248364764,-0.541209248364764,0.5883633636458715,0.9578069433176057,False,False,nm,p2_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
F4,-0.00073139444650209,0.0004179586226706918,-1.7499207022661503,-1.7499207022661503,0.08013199786881023,0.8013199786881022,False,True,lbfgs,p2_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
F5,0.0003256867876173384,0.00047097908941812276,0.6915100796082314,0.6915100796082314,0.48924504860828566,0.9578069433176057,False,True,lbfgs,p2_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
F6,-0.0003632079418555679,0.000455227436552957,-0.7978603939293005,-0.7978603939293005,0.42495150938161863,0.9578069433176057,False,True,lbfgs,p2_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
F7,0.00043622138711071857,0.0004267518967160307,1.0221896855469375,1.0221896855469375,0.3066911316165425,0.9578069433176057,False,False,nm,p2_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
F8,-0.00016229551338286678,0.00047201891246385756,-0.3438326497040386,-0.3438326497040386,0.7309721446374626,0.9578069433176057,False,True,lbfgs,p2_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FC1,-0.0003580041489010398,0.0005288944219479598,-0.6768915194501056,-0.6768915194501056,0.4984747851968223,0.9578069433176057,False,True,nm,p2_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FC2,-0.0002273489643655659,0.00045180330238548966,-0.5032034143291547,-0.5032034143291547,0.6148212645391121,0.9578069433176057,False,False,nm,p2_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FC3,0.00015400223421524692,0.0005840931330245146,0.26366040877385793,0.26366040877385793,0.7920416054736963,0.9578069433176057,False,False,nm,p2_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FC4,-9.088532436855199e-05,0.0004785782829638298,-0.18990691304607518,-0.18990691304607518,0.8493820752241446,0.9578069433176057,False,True,lbfgs,p2_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FC5,0.00044778879450780765,0.0005744158523720386,0.7795550778389435,0.7795550778389435,0.4356528062701135,0.9578069433176057,False,False,nm,p2_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FC6,8.82055340724307e-05,0.00045039520687942275,0.1958403036381437,0.1958403036381437,0.8447351631005193,0.9578069433176057,False,True,lbfgs,p2_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FCz,-8.113987999648011e-05,0.00048281971838644153,-0.1680541968493859,-0.1680541968493859,0.8665406424007063,0.9578069433176057,False,True,lbfgs,p2_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FT10,0.00011784164245175015,0.0004439766401622769,0.2654230691251641,0.2654230691251641,0.7906835666845495,0.9578069433176057,False,True,nm,p2_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FT7,0.00032364810941732535,0.0004672654956582706,0.6926428602680772,0.6926428602680772,0.4885337058809506,0.9578069433176057,False,False,nm,p2_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FT8,0.00025785109457656204,0.00046605236853203784,0.5532663537120005,0.5532663537120005,0.5800810368727752,0.9578069433176057,False,False,nm,p2_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
