channel,coefficient,std_err,effect_size,t_statistic,p_value,p_corrected,significant,converged,method_used,marker,formula,random_formula,z_scored_pc1,z_scored_markers,fdr_alpha,fdr_method
AF3,-0.04298073189495603,204152848.44229105,-2.1053211955112944e-10,-2.1053211955112944e-10,0.9999999998320197,0.99999999993936,False,False,nm,p2p_amp,mean ~ PC1,~1 + PC1,True,False,0.05,indep
AF4,-0.04341520189785189,,,,,,False,False,nm,p2p_amp,mean ~ PC1,~1 + PC1,True,False,0.05,indep
AF7,5.80780029296875,34047253.46325145,1.7058058146268214e-07,1.7058058146268214e-07,0.9999998638963877,0.99999999993936,False,False,nm,p2p_amp,mean ~ PC1,~1 + PC1,True,False,0.05,indep
AF8,1.76171875,35099592.19257924,5.01920005319168e-08,5.01920005319168e-08,0.9999999599525777,0.99999999993936,False,False,nm,p2p_amp,mean ~ PC1,~1 + PC1,True,False,0.05,indep
AFz,-0.04431168479910812,98939822.83813809,-4.47865010548891e-10,-4.47865010548891e-10,0.9999999996426554,0.99999999993936,False,False,nm,p2p_amp,mean ~ PC1,~1 + PC1,True,False,0.05,indep
C1,-15.375,,,,,,False,False,nm,p2p_amp,mean ~ PC1,~1 + PC1,True,False,0.05,indep
C2,3.13671875,,,,,,False,False,nm,p2p_amp,mean ~ PC1,~1 + PC1,True,False,0.05,indep
C3,-0.039349857552702754,86129210.4891085,-4.5687005986985973e-10,-4.5687005986985973e-10,0.9999999996354705,0.99999999993936,False,False,nm,p2p_amp,mean ~ PC1,~1 + PC1,True,False,0.05,indep
C4,0.1199073589545411,0.7160040897433657,0.16746742186559155,0.16746742186559155,0.8670022790935624,0.99999999993936,False,True,lbfgs,p2p_amp,mean ~ PC1,~1 + PC1,True,False,0.05,indep
C5,65.078125,63931323.26872901,1.0179380258789659e-06,1.0179380258789659e-06,0.9999991878029653,0.99999999993936,False,False,nm,p2p_amp,mean ~ PC1,~1 + PC1,True,False,0.05,indep
C6,-0.3616943359375,27395594.179666977,-1.3202646146873854e-08,-1.3202646146873854e-08,0.9999999894658125,0.99999999993936,False,False,nm,p2p_amp,mean ~ PC1,~1 + PC1,True,False,0.05,indep
CP1,13.3359375,107406109.94822855,1.241636765955692e-07,1.241636765955692e-07,0.9999999009317194,0.99999999993936,False,False,nm,p2p_amp,mean ~ PC1,~1 + PC1,True,False,0.05,indep
CP2,-0.08345232222070906,1.1666473858618345,-0.07153174406597632,-0.07153174406597632,0.9429745611472592,0.99999999993936,False,True,lbfgs,p2p_amp,mean ~ PC1,~1 + PC1,True,False,0.05,indep
CP3,-3.0115966796875,,,,,,False,False,nm,p2p_amp,mean ~ PC1,~1 + PC1,True,False,0.05,indep
CP4,-36.34765625,,,,,,False,False,nm,p2p_amp,mean ~ PC1,~1 + PC1,True,False,0.05,indep
CP5,4.2177734375,37420309.3250459,1.1271348402983375e-07,1.1271348402983375e-07,0.9999999100676513,0.99999999993936,False,False,nm,p2p_amp,mean ~ PC1,~1 + PC1,True,False,0.05,indep
CP6,-1.183197021484375,20802330.060469046,-5.687810058032011e-08,-5.687810058032011e-08,0.9999999546178417,0.99999999993936,False,False,nm,p2p_amp,mean ~ PC1,~1 + PC1,True,False,0.05,indep
CPz,0.25209379638306595,0.46331165252630063,0.5441127910521427,0.5441127910521427,0.5863638589133917,0.99999999993936,False,True,lbfgs,p2p_amp,mean ~ PC1,~1 + PC1,True,False,0.05,indep
Cz,0.7536510014120265,0.4358032157360818,1.7293378621336981,1.7293378621336981,0.0837486440266559,0.99999999993936,False,True,lbfgs,p2p_amp,mean ~ PC1,~1 + PC1,True,False,0.05,indep
F1,0.5073447245796541,0.87484924566421,0.5799224576052115,0.5799224576052115,0.561966910453625,0.99999999993936,False,True,lbfgs,p2p_amp,mean ~ PC1,~1 + PC1,True,False,0.05,indep
F2,-0.00416312096161697,0.6871791744708836,-0.006058275798044234,-0.006058275798044234,0.9951662248444441,0.99999999993936,False,True,lbfgs,p2p_amp,mean ~ PC1,~1 + PC1,True,False,0.05,indep
F3,1.5576171875,85831480.91916889,1.8147388007517584e-08,1.8147388007517584e-08,0.9999999855204793,0.99999999993936,False,False,nm,p2p_amp,mean ~ PC1,~1 + PC1,True,False,0.05,indep
F4,0.14156255250926852,0.6202683822631435,0.22822790352904337,0.22822790352904337,0.8194690699274579,0.99999999993936,False,True,lbfgs,p2p_amp,mean ~ PC1,~1 + PC1,True,False,0.05,indep
F5,0.23045945338096868,0.4879368986794097,0.47231405127323234,0.47231405127323234,0.6367026423307914,0.99999999993936,False,True,lbfgs,p2p_amp,mean ~ PC1,~1 + PC1,True,False,0.05,indep
F6,0.0492875343040671,0.5280875475570465,0.09333212747029002,0.09333212747029002,0.9256397094381139,0.99999999993936,False,True,lbfgs,p2p_amp,mean ~ PC1,~1 + PC1,True,False,0.05,indep
F7,-11.2958984375,41491474.18510431,-2.72246254425814e-07,-2.72246254425814e-07,0.9999997827789169,0.99999999993936,False,False,nm,p2p_amp,mean ~ PC1,~1 + PC1,True,False,0.05,indep
F8,-2.630859375,35829923.738906175,-7.342631801762009e-08,-7.342631801762009e-08,0.9999999414142745,0.99999999993936,False,False,nm,p2p_amp,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FC1,-0.04369279681418092,381844100.50136733,-1.144257479867087e-10,-1.144257479867087e-10,0.9999999999087015,0.99999999993936,False,False,nm,p2p_amp,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FC2,0.015213817853867915,0.8126664970215729,0.018720862628921753,0.018720862628921753,0.9850637851995043,0.99999999993936,False,True,lbfgs,p2p_amp,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FC3,-4.94140625,75380763.06955276,-6.555261646052368e-08,-6.555261646052368e-08,0.9999999476965794,0.99999999993936,False,False,nm,p2p_amp,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FC4,34.75390625,,,,,,False,False,nm,p2p_amp,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FC5,-0.16307446888503385,0.4316635888452899,-0.37778138601233857,-0.37778138601233857,0.7055930025978806,0.99999999993936,False,True,lbfgs,p2p_amp,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FC6,-0.03321612010325507,223150975.54532698,-1.488504364459215e-10,-1.488504364459215e-10,0.9999999998812346,0.99999999993936,False,False,nm,p2p_amp,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FCz,-0.044788748708317526,589317841.0290357,-7.600100589201538e-11,-7.600100589201538e-11,0.99999999993936,0.99999999993936,False,False,nm,p2p_amp,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FT10,-0.05639205217655841,0.3764836661899798,-0.14978618527397697,-0.14978618527397697,0.8809333089435243,0.99999999993936,False,True,lbfgs,p2p_amp,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FT7,0.11738082054756914,0.591864797844873,0.19832370665561108,0.19832370665561108,0.8427918048256056,0.99999999993936,False,True,lbfgs,p2p_amp,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FT8,-0.028622358554483324,85863228.08271241,-3.333482701921163e-10,-3.333482701921163e-10,0.9999999997340265,0.99999999993936,False,False,nm,p2p_amp,mean ~ PC1,~1 + PC1,True,False,0.05,indep
