channel,coefficient,std_err,effect_size,t_statistic,p_value,p_corrected,significant,converged,method_used,marker,formula,random_formula,z_scored_pc1,z_scored_markers,fdr_alpha,fdr_method
AF3,-9.011985554224144e-05,0.0005202066628845058,-0.17323856453997302,-0.17323856453997302,0.8624639117709864,0.9800434328779251,False,False,nm,p3a_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
AF4,0.00041363753864041353,0.0005018184084702641,0.8242773315178694,0.8242773315178694,0.40978199581143115,0.9602022371091461,False,False,nm,p3a_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
AF7,0.00010010874675310477,0.0006254983827943991,0.16004637183212422,0.16004637183212422,0.8728445455575763,0.9800434328779251,False,True,lbfgs,p3a_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
AF8,0.00037947622096865614,0.0005349546754638301,0.7093614438263073,0.7093614438263073,0.4781002077489207,0.9602022371091461,False,False,nm,p3a_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
AFz,5.5423486473595864e-05,0.00055626718594822,0.09963465017106896,0.09963465017106896,0.920634383828725,0.9800434328779251,False,True,nm,p3a_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
C1,0.00040951382790519375,0.0006433641695406603,0.6365194819561873,0.6365194819561873,0.5244378870288349,0.9602022371091461,False,True,lbfgs,p3a_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
C2,9.464935096701045e-05,0.0005469017359424592,0.1730646380266175,0.1730646380266175,0.8626006202516877,0.9800434328779251,False,True,lbfgs,p3a_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
C3,9.860470422181637e-05,0.0005812129302864601,0.16965332167200317,0.16965332167200317,0.8652827856997691,0.9800434328779251,False,True,nm,p3a_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
C4,0.0005626543070426412,0.0007738579354904726,0.7270770011372046,0.7270770011372046,0.4671787867714575,0.9602022371091461,False,True,lbfgs,p3a_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
C5,-0.001000223325760123,0.0006706670634593069,-1.4913857862662314,-1.4913857862662314,0.13586023768593064,0.9602022371091461,False,True,lbfgs,p3a_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
C6,0.00022884794539632631,0.000586389661512342,0.39026599617413216,0.39026599617413216,0.6963398648333957,0.96372576171137,False,True,lbfgs,p3a_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
CP1,0.00019030419166393803,0.0005674134339502575,0.335388942660496,0.335388942660496,0.737331707916727,0.9800434328779251,False,True,lbfgs,p3a_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
CP2,-0.00025654854390394076,0.0006585275949005969,-0.3895790334232936,-0.3895790334232936,0.6968478584682214,0.96372576171137,False,False,nm,p3a_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
CP3,-0.0005769984466905357,0.0005309491064078481,-1.0867302340788099,-1.0867302340788099,0.27715604815738215,0.9602022371091461,False,False,nm,p3a_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
CP4,0.0004269770574949179,0.0005399500233479174,0.7907714400075037,0.7907714400075037,0.42907737883229935,0.9602022371091461,False,True,nm,p3a_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
CP5,-0.0003004567414435016,0.0005987888337384582,-0.5017741222187462,-0.5017741222187462,0.615826418170244,0.9602022371091461,False,False,nm,p3a_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
CP6,-0.00011987223644053429,0.0005586082094752585,-0.21459089645878826,-0.21459089645878826,0.8300862921719447,0.9800434328779251,False,False,nm,p3a_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
CPz,0.00026596969518267473,0.0006198735747893025,0.42907087186783033,0.42907087186783033,0.667871649202072,0.96372576171137,False,True,lbfgs,p3a_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
Cz,0.0005270095784211638,0.0005723298173480945,0.9208144717377765,0.9208144717377765,0.3571472980820233,0.9602022371091461,False,False,nm,p3a_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
F1,3.7756465829892464e-05,0.0005691573173201691,0.06633748645746261,0.06633748645746261,0.9471091390629955,0.9800434328779251,False,True,lbfgs,p3a_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
F2,0.0008159323054621478,0.0005220294513296257,1.5630005230240211,1.5630005230240211,0.11805247180192134,0.9602022371091461,False,False,nm,p3a_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
F3,-0.00014576771804905678,0.0006051034491781534,-0.24089718583993747,-0.24089718583993747,0.8096348032976741,0.9800434328779251,False,False,nm,p3a_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
F4,0.00041738478131683656,0.0009280554843592999,0.44974119365824966,0.44974119365824966,0.652897064769453,0.96372576171137,False,True,lbfgs,p3a_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
F5,-0.0003498650615913118,0.0007064710425358447,-0.4952291608945323,-0.4952291608945323,0.6204383685936021,0.9602022371091461,False,True,lbfgs,p3a_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
F6,0.0004731914809322786,0.0005746455289824611,0.8234493388823027,0.8234493388823027,0.41025251535721274,0.9602022371091461,False,False,nm,p3a_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
F7,-0.0004757444191921706,0.0005512089966336286,-0.863092623846238,-0.863092623846238,0.38808654312744995,0.9602022371091461,False,False,nm,p3a_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
F8,0.00029816641572648665,0.0005205250916624544,0.5728185259507893,0.5728185259507893,0.5667675740431664,0.9602022371091461,False,False,nm,p3a_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FC1,-0.00044006433402816997,0.0005535026676981586,-0.795053682140788,-0.795053682140788,0.426582276023583,0.9602022371091461,False,False,nm,p3a_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FC2,0.000520323315970043,0.0006483819070237341,0.8024951195175725,0.8024951195175725,0.42226661041822755,0.9602022371091461,False,True,lbfgs,p3a_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FC3,0.000578696031844588,0.0004876844628388266,1.1866197837757229,1.1866197837757229,0.23537762869732248,0.9602022371091461,False,False,nm,p3a_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FC4,0.0008027890735682675,0.0007279806424000829,1.1027615664635646,1.1027615664635646,0.2701307225718307,0.9602022371091461,False,True,lbfgs,p3a_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FC5,-0.0005818289652565337,0.0005921872366011701,-0.9825084522184451,-0.9825084522184451,0.32584942102412684,0.9602022371091461,False,False,nm,p3a_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FC6,0.0006119329639876087,0.0005528866270094469,1.1067964643991162,1.1067964643991162,0.2683819372115579,0.9602022371091461,False,True,lbfgs,p3a_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FCz,0.0007054414439404964,0.0006244005395932283,1.1297899332375063,1.1297899332375063,0.2585647510495004,0.9602022371091461,False,True,lbfgs,p3a_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FT10,0.0006619221795542459,0.0006835749023034791,0.9683242865174412,0.9683242865174412,0.3328824392187145,0.9602022371091461,False,True,lbfgs,p3a_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FT7,-0.0006558862720880794,0.0005798011568434499,-1.1312262218634603,-1.1312262218634603,0.25795988795825053,0.9602022371091461,False,True,nm,p3a_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FT8,0.0006437632622810034,0.0005202531716949458,1.237403820496992,1.237403820496992,0.21593720114994064,0.9602022371091461,False,False,nm,p3a_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FT9,-0.00044994430259316637,0.0005473524652019249,-0.8220375922252885,-0.8220375922252885,0.4110555020934481,0.9602022371091461,False,True,nm,p3a_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
Fp1,7.412630466604421e-05,0.0006387398278718039,0.1160508573780708,0.1160508573780708,0.9076122356928519,0.9800434328779251,False,True,lbfgs,p3a_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
Fp2,0.00020831770837268708,0.0005337187165297204,0.39031366508408144,0.39031366508408144,0.6963046197876315,0.96372576171137,False,False,nm,p3a_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
Fz,0.00034931719909524943,0.0005487115106872922,0.6366135797984444,0.6366135797984444,0.524376577499249,0.9602022371091461,False,True,nm,p3a_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
Iz,4.0879043687619805e-05,0.000536929145426281,0.07613489421432867,0.07613489421432867,0.9393117791260311,0.9800434328779251,False,False,nm,p3a_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
O1,0.00032446726603444095,0.0006150199007605133,0.5275719787818498,0.5275719787818498,0.5977964459290122,0.9602022371091461,False,True,lbfgs,p3a_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
O2,-1.3983334309525505e-05,0.0005590101270473432,-0.02501445614837894,-0.02501445614837894,0.9800434328779251,0.9800434328779251,False,True,nm,p3a_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
Oz,7.802177779622729e-05,0.0006132488269986353,0.1272269499121291,0.1272269499121291,0.898760775754633,0.9800434328779251,False,True,lbfgs,p3a_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
P1,-0.0007701341839783641,0.0006282924481521475,-1.2257575055109817,-1.2257575055109817,0.22028994285241754,0.9602022371091461,False,True,lbfgs,p3a_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
P2,-0.0005433669745441655,0.0006012243276791071,-0.9037674450761382,-0.9037674450761382,0.36611872750373053,0.9602022371091461,False,True,lbfgs,p3a_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
P3,-0.00056319189168969,0.0005502086179481832,-1.023597001788019,-1.023597001788019,0.3060256619549212,0.9602022371091461,False,True,nm,p3a_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
P4,0.0001462270983816852,0.0005696824064360375,0.2566817874831162,0.2566817874831162,0.7974244320912193,0.9800434328779251,False,False,nm,p3a_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
P5,0.0004668531046396218,0.0007138062738623817,0.6540333445284747,0.6540333445284747,0.513090323226355,0.9602022371091461,False,True,lbfgs,p3a_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
P6,8.128392035261369e-05,0.0005551266499077007,0.14642410045730742,0.14642410045730742,0.8835866029323304,0.9800434328779251,False,True,nm,p3a_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
P7,-0.00039413818881362753,0.0005859530431669981,-0.672644665660175,-0.672644665660175,0.5011733785925893,0.9602022371091461,False,True,nm,p3a_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
P8,0.0003354310927087472,0.0005574414467052569,0.6017333204972539,0.6017333204972539,0.5473516664851708,0.9602022371091461,False,False,nm,p3a_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
PO3,-8.291481981977882e-05,0.0006100960827516333,-0.13590452744069326,-0.13590452744069326,0.8918967563066944,0.9800434328779251,False,True,lbfgs,p3a_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
PO4,-0.0003694113345782773,0.0007346242241724195,-0.5028575459711152,-0.5028575459711152,0.615064431197736,0.9602022371091461,False,True,lbfgs,p3a_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
PO7,0.0007479616070437055,0.000757747753759694,0.9870852184418457,0.9870852184418457,0.3236008635194948,0.9602022371091461,False,True,lbfgs,p3a_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
PO8,-0.0003609155737926979,0.0006080333313656234,-0.5935786003410258,-0.5935786003410258,0.5527939974899899,0.9602022371091461,False,True,lbfgs,p3a_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
POz,2.4287585803857855e-05,0.0007495344760277325,0.032403560584128785,0.032403560584128785,0.9741502230450911,0.9800434328779251,False,True,lbfgs,p3a_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
Pz,2.5331761039737345e-05,0.0005364836039376982,0.04721814581807634,0.04721814581807634,0.9623393653804007,0.9800434328779251,False,True,nm,p3a_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
T7,-0.0005857692441269326,0.0005305020836797895,-1.1041789695976054,-1.1041789695976054,0.2695155104961592,0.9602022371091461,False,False,nm,p3a_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
T8,0.0008042448721140495,0.0005773019939681656,1.3931094652661087,1.3931094652661087,0.16358669127942693,0.9602022371091461,False,True,lbfgs,p3a_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
TP10,0.00044326546800140475,0.0005849488138209222,0.7577850532014366,0.7577850532014366,0.4485796717347954,0.9602022371091461,False,True,nm,p3a_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
TP7,-0.0007714227225176657,0.0005751494640543611,-1.3412560920768826,-1.3412560920768826,0.17983732028479216,0.9602022371091461,False,False,nm,p3a_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
TP8,-0.0005521564860988475,0.0006162416405500586,-0.8960064522838662,-0.8960064522838662,0.37024931716932985,0.9602022371091461,False,True,lbfgs,p3a_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
TP9,0.0004070396521307962,0.0006097244932237201,0.6675796308898571,0.6675796308898571,0.5044019634457981,0.9602022371091461,False,False,nm,p3a_lat,mean ~ PC1,~1 + PC1,True,False,0.05,indep
