channel,coefficient,std_err,effect_size,t_statistic,p_value,p_corrected,significant,converged,method_used,marker,formula,random_formula,z_scored_pc1,z_scored_markers,fdr_alpha,fdr_method
AF3,0.23227451676534175,0.1644005276792548,1.4128574892320844,1.4128574892320844,0.15769763066120912,0.7407327504130539,False,True,lbfgs,rms,mean ~ PC1,~1 + PC1,True,False,0.05,indep
AF4,0.18972648793467303,0.1554164618982393,1.220761852492168,1.220761852492168,0.2221762012449635,0.7407327504130539,False,True,lbfgs,rms,mean ~ PC1,~1 + PC1,True,False,0.05,indep
AF7,0.1892377386987434,0.14570716748142193,1.2987538085446053,1.2987538085446053,0.19402843137223136,0.7407327504130539,False,True,lbfgs,rms,mean ~ PC1,~1 + PC1,True,False,0.05,indep
AF8,0.1935613323688938,0.13840919440899715,1.3984716347450363,1.3984716347450363,0.1619714847986954,0.7407327504130539,False,True,lbfgs,rms,mean ~ PC1,~1 + PC1,True,False,0.05,indep
AFz,0.21284804698953974,0.14793888507118605,1.4387565979500274,1.4387565979500274,0.15021949732117754,0.7407327504130539,False,True,lbfgs,rms,mean ~ PC1,~1 + PC1,True,False,0.05,indep
C1,0.24250334624657285,0.12759232901511763,1.9006107037817306,1.9006107037817306,0.05735302246338378,0.7341186875313124,False,True,lbfgs,rms,mean ~ PC1,~1 + PC1,True,False,0.05,indep
C2,0.15159313909641078,0.11653989750027917,1.3007831853983538,1.3007831853983538,0.19333267904236684,0.7407327504130539,False,False,nm,rms,mean ~ PC1,~1 + PC1,True,False,0.05,indep
C3,0.19600864113910768,0.11697746326951566,1.6756102898855352,1.6756102898855352,0.09381455195311496,0.7407327504130539,False,False,nm,rms,mean ~ PC1,~1 + PC1,True,False,0.05,indep
C4,0.10002175682320809,0.10700475787262397,0.9347412097532309,0.9347412097532309,0.3499216838015693,0.7732135037586064,False,True,lbfgs,rms,mean ~ PC1,~1 + PC1,True,False,0.05,indep
C5,0.11447911364131887,0.1323289220353129,0.865110301516469,0.865110301516469,0.3869782510988514,0.7732135037586064,False,True,lbfgs,rms,mean ~ PC1,~1 + PC1,True,False,0.05,indep
C6,0.0725600527975189,0.08821462720284826,0.8225399244806432,0.8225399244806432,0.41076967387175967,0.7732135037586064,False,True,lbfgs,rms,mean ~ PC1,~1 + PC1,True,False,0.05,indep
CP1,0.19733453613825394,0.5519648319447072,0.35751287893287703,0.35751287893287703,0.7207078864346397,0.9077026054287823,False,True,lbfgs,rms,mean ~ PC1,~1 + PC1,True,False,0.05,indep
CP2,0.09992783427699146,0.11772012354635013,0.8488594070974341,0.8488594070974341,0.39595952878172125,0.7732135037586064,False,True,lbfgs,rms,mean ~ PC1,~1 + PC1,True,False,0.05,indep
CP3,0.06433084106918067,0.11909895562633457,0.5401461392408394,0.5401461392408394,0.5890962535263841,0.8776926016229535,False,False,nm,rms,mean ~ PC1,~1 + PC1,True,False,0.05,indep
CP4,0.07910577776617828,0.10513170413239863,0.7524445496151727,0.7524445496151727,0.45178376426380806,0.8261188832252491,False,False,nm,rms,mean ~ PC1,~1 + PC1,True,False,0.05,indep
CP5,0.1551778601861152,0.12492842304977583,1.242134146880946,1.242134146880946,0.21418707165088668,0.7407327504130539,False,True,lbfgs,rms,mean ~ PC1,~1 + PC1,True,False,0.05,indep
CP6,0.038294690256839146,0.0782830404720213,0.4891824592649265,0.4891824592649265,0.6247125267112084,0.8776926016229535,False,True,lbfgs,rms,mean ~ PC1,~1 + PC1,True,False,0.05,indep
CPz,0.18542762774111243,0.15233500109490014,1.2172358709972146,1.2172358709972146,0.22351448581525224,0.7407327504130539,False,True,lbfgs,rms,mean ~ PC1,~1 + PC1,True,False,0.05,indep
Cz,0.28540620870057837,0.12911588203728352,2.210465546122083,2.210465546122083,0.027072869134250152,0.5807994533473159,False,False,nm,rms,mean ~ PC1,~1 + PC1,True,False,0.05,indep
F1,0.19880814316711212,0.1309944875302929,1.517683277482475,1.517683277482475,0.1290942616983085,0.7407327504130539,False,True,lbfgs,rms,mean ~ PC1,~1 + PC1,True,False,0.05,indep
F2,0.012395728560062607,0.16004692438351278,0.07745058899325873,0.07745058899325873,0.9382650974114147,0.9999999823086978,False,True,lbfgs,rms,mean ~ PC1,~1 + PC1,True,False,0.05,indep
F3,0.1355274280406281,0.1632355847707438,0.8302566393900545,0.8302566393900545,0.4063936980317804,0.7732135037586064,False,True,lbfgs,rms,mean ~ PC1,~1 + PC1,True,False,0.05,indep
F4,0.13650923692697334,0.13869071652228152,0.9842709039940845,0.9842709039940845,0.32498233153662937,0.7732135037586064,False,True,lbfgs,rms,mean ~ PC1,~1 + PC1,True,False,0.05,indep
F5,0.10916315966286241,0.12879814210088922,0.8475522851669205,0.8475522851669205,0.39668735699408264,0.7732135037586064,False,True,lbfgs,rms,mean ~ PC1,~1 + PC1,True,False,0.05,indep
F6,-0.009101256934001012,,,,,,False,False,nm,rms,mean ~ PC1,~1 + PC1,True,False,0.05,indep
F7,0.12258314650667987,0.1275588243444047,0.9609930723076386,0.9609930723076386,0.33655565113003594,0.7732135037586064,False,True,lbfgs,rms,mean ~ PC1,~1 + PC1,True,False,0.05,indep
F8,0.11939819601066283,0.11433001586044816,1.0443293925227906,1.0443293925227906,0.2963330185598615,0.7732135037586064,False,True,lbfgs,rms,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FC1,0.29087708115629396,0.12097609175124957,2.4044179056006696,2.4044179056006696,0.01619824397389962,0.5807994533473159,False,True,lbfgs,rms,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FC2,0.045380824796713626,0.1364292901208667,0.3326325656060325,0.3326325656060325,0.7394116580731649,0.9100451176285106,False,True,lbfgs,rms,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FC3,0.22653598636766736,0.11303200371371395,2.0041756221665756,2.0041756221665756,0.04505125096873038,0.7208200154996861,False,True,lbfgs,rms,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FC4,0.1783623186743135,0.10516433957472299,1.696034220303174,1.696034220303174,0.08987939960746906,0.7407327504130539,False,True,lbfgs,rms,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FC5,0.05380109701615012,0.10797787682939565,0.49826037143845225,0.49826037143845225,0.6183005355131439,0.8776926016229535,False,True,lbfgs,rms,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FC6,0.18994140625,8566430.754973527,2.217275919025239e-08,2.217275919025239e-08,0.9999999823086978,0.9999999823086978,False,False,nm,rms,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FCz,0.28401351693912724,0.12861317928179755,2.2082769318441327,2.2082769318441327,0.027224974375655433,0.5807994533473159,False,True,lbfgs,rms,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FT10,0.10110930460693823,0.0995062640319904,1.0161099463490306,1.0161099463490306,0.30957703312728824,0.7732135037586064,False,True,lbfgs,rms,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FT7,2.580078125,4579146.1528760865,5.634408771555577e-07,5.634408771555577e-07,0.9999995504392232,0.9999999823086978,False,False,nm,rms,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FT8,0.07653983362685494,0.09181947387436495,0.8335904182110988,0.8335904182110988,0.40451182689462817,0.7732135037586064,False,True,lbfgs,rms,mean ~ PC1,~1 + PC1,True,False,0.05,indep
