channel,coefficient,std_err,effect_size,t_statistic,p_value,p_corrected,significant,converged,method_used,marker,formula,random_formula,z_scored_pc1,z_scored_markers,fdr_alpha,fdr_method
AF3,0.42357966848940465,3.0747333964788908,0.13776142964930804,0.13776142964930804,0.8904289683231263,0.999999978520862,False,True,lbfgs,var,mean ~ PC1,~1 + PC1,True,False,0.05,indep
AF4,-0.7533121156613736,3.2949055424970206,-0.2286293509617521,-0.2286293509617521,0.8191570099453487,0.999999978520862,False,True,lbfgs,var,mean ~ PC1,~1 + PC1,True,False,0.05,indep
AF7,1.031982883545135,2.778521267331753,0.37141442668753094,0.37141442668753094,0.7103288819003633,0.999999978520862,False,True,nm,var,mean ~ PC1,~1 + PC1,True,False,0.05,indep
AF8,0.6142865946934772,2.821179429665064,0.21774105830851267,0.21774105830851267,0.8276308712029231,0.999999978520862,False,True,lbfgs,var,mean ~ PC1,~1 + PC1,True,False,0.05,indep
AFz,-0.4508399599253722,3.886720458732003,-0.11599495376944434,-0.11599495376944434,0.9076565411086798,0.999999978520862,False,True,lbfgs,var,mean ~ PC1,~1 + PC1,True,False,0.05,indep
C1,1.189835663852489,2.323215121504637,0.5121504473859866,0.5121504473859866,0.6085457202920832,0.999999978520862,False,True,nm,var,mean ~ PC1,~1 + PC1,True,False,0.05,indep
C2,-0.4927131634428621,2.4234006301546756,-0.20331477895646757,-0.20331477895646757,0.8388890048275522,0.999999978520862,False,True,lbfgs,var,mean ~ PC1,~1 + PC1,True,False,0.05,indep
C3,1.2603650470899526,2.7968140358915496,0.4506431356949987,0.4506431356949987,0.652246772189286,0.999999978520862,False,True,lbfgs,var,mean ~ PC1,~1 + PC1,True,False,0.05,indep
C4,-0.0978152159932825,2.1790801351928257,-0.04488830603956971,-0.04488830603956971,0.964196337878631,0.999999978520862,False,True,lbfgs,var,mean ~ PC1,~1 + PC1,True,False,0.05,indep
C5,-0.057364430551331745,1.9126140032062007,-0.02999268564131036,-0.02999268564131036,0.9760728865606698,0.999999978520862,False,True,lbfgs,var,mean ~ PC1,~1 + PC1,True,False,0.05,indep
