subject,task,raw_mean_abs_uv,raw_std_uv,raw_peak_to_peak_uv,raw_n_channels,ica_mean_abs_uv,ica_std_uv,ica_peak_to_peak_uv,ica_n_channels,evoked_mean_abs_uv,evoked_std_uv,evoked_peak_to_peak_uv,evoked_n_epochs,state_mean_abs_uv,state_std_uv,state_peak_to_peak_uv,state_n_epochs
02,Sart1,,,,,,,,,,,,,,,,
02,Sart2,,,,,,,,,,,,,,,,
02,Sart3,,,,,,,,,,,,,,,,
02,Sart4,,,,,,,,,,,,,,,,
03,Sart1,,,,,,,,,,,,,,,,
03,Sart2,,,,,,,,,,,,,,,,
03,Sart3,,,,,,,,,,,,,,,,
03,Sart4,,,,,,,,,,,,,,,,
04,Sart1,,,,,,,,,,,,,,,,
04,Sart2,,,,,,,,,,,,,,,,
04,Sart3,,,,,,,,,,,,,,,,
04,Sart4,,,,,,,,,,,,,,,,
05,Sart1,,,,,,,,,,,,,,,,
05,Sart2,,,,,,,,,,,,,,,,
05,Sart3,,,,,,,,,,,,,,,,
05,Sart4,,,,,,,,,,,,,,,,
06,Sart1,,,,,,,,,,,,,,,,
06,Sart2,,,,,,,,,,,,,,,,
06,Sart3,,,,,,,,,,,,,,,,
06,Sart4,,,,,,,,,,,,,,,,
07,Sart1,,,,,,,,,,,,,,,,
07,Sart2,,,,,,,,,,,,,,,,
07,Sart3,,,,,,,,,,,,,,,,
07,Sart4,,,,,,,,,,,,,,,,
08,Sart1,,,,,,,,,,,,,,,,
08,Sart2,,,,,,,,,,,,,,,,
08,Sart3,,,,,,,,,,,,,,,,
08,Sart4,,,,,,,,,,,,,,,,
09,Sart1,,,,,,,,,,,,,,,,
09,Sart2,,,,,,,,,,,,,,,,
09,Sart3,,,,,,,,,,,,,,,,
09,Sart4,,,,,,,,,,,,,,,,
10,Sart1,,,,,,,,,,,,,,,,
10,Sart2,,,,,,,,,,,,,,,,
10,Sart3,,,,,,,,,,,,,,,,
10,Sart4,,,,,,,,,,,,,,,,
11,Sart1,,,,,,,,,,,,,,,,
11,Sart2,,,,,,,,,,,,,,,,
11,Sart3,,,,,,,,,,,,,,,,
11,Sart4,,,,,,,,,,,,,,,,
12,Sart1,,,,,,,,,,,,,,,,
12,Sart2,,,,,,,,,,,,,,,,
12,Sart3,,,,,,,,,,,,,,,,
12,Sart4,,,,,,,,,,,,,,,,
13,Sart1,,,,,,,,,,,,,,,,
13,Sart2,,,,,,,,,,,,,,,,
13,Sart3,,,,,,,,,,,,,,,,
13,Sart4,,,,,,,,,,,,,,,,
14,Sart1,,,,,,,,,,,,,,,,
14,Sart2,,,,,,,,,,,,,,,,
14,Sart3,,,,,,,,,,,,,,,,
14,Sart4,,,,,,,,,,,,,,,,
15,Sart1,,,,,,,,,,,,,,,,
15,Sart2,,,,,,,,,,,,,,,,
15,Sart3,,,,,,,,,,,,,,,,
15,Sart4,,,,,,,,,,,,,,,,
16,Sart1,,,,,,,,,,,,,,,,
16,Sart2,,,,,,,,,,,,,,,,
16,Sart3,,,,,,,,,,,,,,,,
16,Sart4,,,,,,,,,,,,,,,,
17,Sart1,,,,,,,,,,,,,,,,
17,Sart2,,,,,,,,,,,,,,,,
17,Sart3,,,,,,,,,,,,,,,,
17,Sart4,,,,,,,,,,,,,,,,
18,Sart1,,,,,,,,,,,,,,,,
18,Sart2,,,,,,,,,,,,,,,,
18,Sart3,,,,,,,,,,,,,,,,
18,Sart4,,,,,,,,,,,,,,,,
19,Sart1,,,,,,,,,,,,,,,,
19,Sart2,,,,,,,,,,,,,,,,
19,Sart3,,,,,,,,,,,,,,,,
19,Sart4,,,,,,,,,,,,,,,,
20,Sart1,,,,,,,,,,,,,,,,
20,Sart2,,,,,,,,,,,,,,,,
20,Sart3,,,,,,,,,,,,,,,,
20,Sart4,,,,,,,,,,,,,,,,
21,Sart1,,,,,,,,,,,,,,,,
21,Sart2,,,,,,,,,,,,,,,,
21,Sart3,,,,,,,,,,,,,,,,
21,Sart4,,,,,,,,,,,,,,,,
22,Sart1,,,,,,,,,,,,,,,,
22,Sart2,,,,,,,,,,,,,,,,
22,Sart3,,,,,,,,,,,,,,,,
22,Sart4,,,,,,,,,,,,,,,,
23,Sart1,,,,,,,,,,,,,,,,
23,Sart2,,,,,,,,,,,,,,,,
23,Sart3,,,,,,,,,,,,,,,,
23,Sart4,,,,,,,,,,,,,,,,
24,Sart1,,,,,,,,,,,,,,,,
24,Sart2,,,,,,,,,,,,,,,,
24,Sart3,,,,,,,,,,,,,,,,
24,Sart4,,,,,,,,,,,,,,,,
25,Sart1,,,,,,,,,,,,,,,,
25,Sart2,,,,,,,,,,,,,,,,
25,Sart3,,,,,,,,,,,,,,,,
25,Sart4,,,,,,,,,,,,,,,,
26,Sart1,,,,,,,,,,,,,,,,
26,Sart2,,,,,,,,,,,,,,,,
26,Sart3,,,,,,,,,,,,,,,,
26,Sart4,,,,,,,,,,,,,,,,
27,Sart1,,,,,,,,,,,,,,,,
27,Sart2,,,,,,,,,,,,,,,,
27,Sart3,,,,,,,,,,,,,,,,
27,Sart4,,,,,,,,,,,,,,,,
28,Sart1,,,,,,,,,,,,,,,,
28,Sart2,,,,,,,,,,,,,,,,
28,Sart3,,,,,,,,,,,,,,,,
28,Sart4,,,,,,,,,,,,,,,,
29,Sart1,,,,,,,,,,,,,,,,
29,Sart2,,,,,,,,,,,,,,,,
29,Sart3,,,,,,,,,,,,,,,,
29,Sart4,,,,,,,,,,,,,,,,
30,Sart1,,,,,,,,,,,,,,,,
30,Sart2,,,,,,,,,,,,,,,,
30,Sart3,,,,,,,,,,,,,,,,
30,Sart4,,,,,,,,,,,,,,,,
31,Sart1,,,,,,,,,,,,,,,,
31,Sart2,,,,,,,,,,,,,,,,
31,Sart3,,,,,,,,,,,,,,,,
31,Sart4,,,,,,,,,,,,,,,,
32,Sart1,,,,,,,,,,,,,,,,
32,Sart2,,,,,,,,,,,,,,,,
32,Sart3,,,,,,,,,,,,,,,,
32,Sart4,,,,,,,,,,,,,,,,
33,Sart1,,,,,,,,,,,,,,,,
33,Sart2,,,,,,,,,,,,,,,,
33,Sart3,,,,,,,,,,,,,,,,
33,Sart4,,,,,,,,,,,,,,,,
34,Sart1,,,,,,,,,,,,,,,,
34,Sart2,,,,,,,,,,,,,,,,
34,Sart3,,,,,,,,,,,,,,,,
34,Sart4,,,,,,,,,,,,,,,,
35,Sart1,,,,,,,,,,,,,,,,
35,Sart2,,,,,,,,,,,,,,,,
35,Sart3,,,,,,,,,,,,,,,,
35,Sart4,,,,,,,,,,,,,,,,
36,Sart1,,,,,,,,,,,,,,,,
36,Sart2,,,,,,,,,,,,,,,,
36,Sart3,,,,,,,,,,,,,,,,
36,Sart4,,,,,,,,,,,,,,,,
37,Sart1,,,,,,,,,,,,,,,,
37,Sart2,,,,,,,,,,,,,,,,
37,Sart3,,,,,,,,,,,,,,,,
37,Sart4,,,,,,,,,,,,,,,,
38,Sart1,,,,,,,,,,,,,,,,
38,Sart2,,,,,,,,,,,,,,,,
38,Sart3,,,,,,,,,,,,,,,,
38,Sart4,,,,,,,,,,,,,,,,
39,Sart1,,,,,,,,,,,,,,,,
39,Sart2,,,,,,,,,,,,,,,,
39,Sart3,,,,,,,,,,,,,,,,
39,Sart4,,,,,,,,,,,,,,,,
40,Sart1,,,,,,,,,,,,,,,,
40,Sart2,,,,,,,,,,,,,,,,
40,Sart3,,,,,,,,,,,,,,,,
40,Sart4,,,,,,,,,,,,,,,,
41,Sart1,,,,,,,,,,,,,,,,
41,Sart2,,,,,,,,,,,,,,,,
41,Sart3,,,,,,,,,,,,,,,,
41,Sart4,,,,,,,,,,,,,,,,
42,Sart1,,,,,,,,,,,,,,,,
42,Sart2,,,,,,,,,,,,,,,,
42,Sart3,,,,,,,,,,,,,,,,
42,Sart4,,,,,,,,,,,,,,,,
43,Sart1,,,,,,,,,,,,,,,,
43,Sart2,,,,,,,,,,,,,,,,
43,Sart3,,,,,,,,,,,,,,,,
43,Sart4,,,,,,,,,,,,,,,,
