Marker Type,Marker Name,Total Clusters,est_sig_channels,pct_sig_channels,T-stat Mean (abs),T-stat Min,T-stat Max
evoked,PE_theta,4,32,50.0,1.8060271127661292,-1.3702836304809072,4.524076191435812
evoked,kolmogorov_complexity,4,32,50.0,1.623126266912448,-3.8475728739284394,0.5842877009909222
evoked,power_alpha,4,32,50.0,1.6752370658640658,-3.702580646248209,0.0563971896503844
state,power_iota,3,24,37.5,2.426947106641875,-4.56006592643444,-0.1954129137207634
state,PE_theta,3,24,37.5,2.2909769321149307,-1.1577729962109375,6.1041029185446
evoked,power_theta,3,24,37.5,1.496914788647097,-3.654529631572121,0.3617622984088488
evoked,power_normalized_gamma,3,24,37.5,1.9430641164255649,-4.257598924572108,0.9559102539003912
evoked,power_gamma,2,16,25.0,3.2047021719412285,-5.398088607902349,-0.7926629324762362
state,power_normalized_gamma,2,16,25.0,1.7498977169892522,-4.141678433821477,1.142889439164228
evoked,power_normalized_delta,2,16,25.0,1.654864540840272,-0.8030270255814307,3.565254962922153
state,power_beta,2,16,25.0,1.3982475675512736,-4.065059749281256,1.7916406383450771
evoked,power_normalized_iota,1,8,12.5,1.3153837870839742,-3.448409167133968,0.7396693163895395
evoked,power_normalized_beta,1,8,12.5,1.3448117370481605,-3.7856797626314633,0.9272486159460308
state,power_normalized_iota,1,8,12.5,1.2711682875266457,-4.324085140919469,1.183014257606297
state,power_gamma,1,8,12.5,2.8979518484940465,-5.2352326788106,0.203035092614483
state,power_delta,1,8,12.5,1.3758600353828538,-4.097589180427694,2.252504812945916
state,PE_alpha,1,8,12.5,1.3173212817350437,-3.576019818426221,3.9728328251025777
evoked,P3b,1,8,12.5,1.3625069967639083,-3.4113181838352515,3.255167191847204
evoked,power_beta,1,8,12.5,3.091203911839795,-6.018043964598509,-0.8399128435412592
evoked,power_iota,1,8,12.5,2.699598612863661,-4.601009292852187,-0.4908453641511198
state,kolmogorov_complexity,1,8,12.5,1.1615969292254371,-3.3102358231649776,1.5679194446771287
evoked,power_normalized_theta,0,0,0.0,0.8862771079729584,-2.3795522599031727,2.468562179150918
state,P2,0,0,0.0,0.758609871955169,-2.549215758781464,2.206461631229289
state,wsmi_gamma,0,0,0.0,0.7011264676641132,-2.50748952753634,2.139166305054941
state,wsmi_beta,0,0,0.0,0.7010591622060285,-2.303474992600436,2.1009339350800937
state,wsmi_alpha,0,0,0.0,0.7536757875455016,-1.9472477116757183,2.4387349157050875
state,power_theta,0,0,0.0,0.9496398291179702,-2.524568991957642,1.7149949243706468
state,power_normalized_theta,0,0,0.0,0.995820009195177,-1.7410386229798138,2.866945108513911
state,power_normalized_delta,0,0,0.0,0.8466137532757796,-2.813923291241807,2.4319218505601525
state,power_normalized_beta,0,0,0.0,0.922213042863445,-2.426141485309628,3.289987129825372
state,power_normalized_alpha,0,0,0.0,0.883501067923203,-2.867854997469501,3.132584018534267
state,power_alpha,0,0,0.0,0.9791134998286836,-2.824669930636292,1.150974387007071
state,PE_gamma,0,0,0.0,1.154919758163213,-3.636176835370612,3.405363153945742
state,PE_beta,0,0,0.0,1.153156438451387,-3.554679676722159,3.130272695413616
state,P3b,0,0,0.0,0.7572801383207193,-2.329717812673756,2.3231968008339017
state,P3a,0,0,0.0,0.7391677842280606,-2.255105338145781,2.440537484856782
state,P1,0,0,0.0,0.7652532811849138,-2.1871584697827937,2.0377349007393923
evoked,wsmi_alpha,0,0,0.0,0.8625515506461423,-1.7938650496229522,2.904612653342939
state,N1,0,0,0.0,0.7551911506344398,-2.271714022548554,2.248592271920393
evoked,P1,0,0,0.0,1.0544102921672014,-2.5118910020855543,1.7373640321121342
evoked,P2,0,0,0.0,0.6850150008769134,-1.7967840570755518,2.5090184660564345
evoked,P3a,0,0,0.0,0.9614262218574228,-3.154592621816835,2.340211242442597
evoked,N1,0,0,0.0,0.735628336586051,-2.0657634243172964,2.069363606575915
evoked,PE_alpha,0,0,0.0,1.1084498846568898,-2.964450252491164,2.9060782164665677
evoked,PE_beta,0,0,0.0,1.0452880710729044,-2.964769234712329,2.664722526869627
evoked,PE_gamma,0,0,0.0,1.0268351685979835,-3.0563811763836504,2.7099773403189054
evoked,power_delta,0,0,0.0,0.8377708158090449,-3.868885570857587,1.4473335061355417
evoked,power_normalized_alpha,0,0,0.0,0.7498567194512638,-2.242444534399349,2.6788649962302205
evoked,wsmi_theta,0,0,0.0,0.7224596598871225,-1.9584743231659143,2.086857488496481
evoked,wsmi_gamma,0,0,0.0,0.7370345366906967,-1.9947607444720237,1.5804808403915285
evoked,wsmi_beta,0,0,0.0,0.733185022926164,-1.911520775628376,1.9535145102905904
state,wsmi_theta,0,0,0.0,0.8530132834280679,-1.9752392727706207,2.464966957894139
