subject,task,desc
sub-02,Sart1,state
sub-02,Sart2,state
sub-02,Sart3,state
sub-02,Sart4,state
sub-03,Sart1,state
sub-03,Sart2,state
sub-03,Sart3,state
sub-03,Sart4,state
sub-04,Sart1,state
sub-04,Sart2,state
sub-04,Sart3,state
sub-04,Sart4,state
sub-05,Sart1,state
sub-05,Sart2,state
sub-05,Sart3,state
sub-05,Sart4,state
sub-06,Sart1,state
sub-06,Sart2,state
sub-06,Sart3,state
sub-06,Sart4,state
sub-07,Sart1,state
sub-07,Sart2,state
sub-07,Sart3,state
sub-07,Sart4,state
sub-08,Sart1,state
sub-08,Sart2,state
sub-08,Sart3,state
sub-08,Sart4,state
sub-09,Sart1,state
sub-09,Sart2,state
sub-09,Sart3,state
sub-09,Sart4,state
sub-10,Sart1,state
sub-10,Sart2,state
sub-10,Sart3,state
sub-10,Sart4,state
sub-11,Sart1,state
sub-11,Sart2,state
sub-11,Sart3,state
sub-11,Sart4,state
sub-12,Sart1,state
sub-12,Sart2,state
sub-12,Sart3,state
sub-12,Sart4,state
sub-13,Sart1,state
sub-13,Sart2,state
sub-13,Sart3,state
sub-13,Sart4,state
sub-14,Sart1,state
sub-14,Sart2,state
sub-14,Sart3,state
sub-14,Sart4,state
sub-15,Sart1,state
sub-15,Sart2,state
sub-15,Sart3,state
sub-15,Sart4,state
sub-16,Sart1,state
sub-16,Sart2,state
sub-16,Sart3,state
sub-17,Sart1,state
sub-17,Sart2,state
sub-17,Sart3,state
sub-17,Sart4,state
sub-18,Sart1,state
sub-18,Sart2,state
sub-18,Sart3,state
sub-18,Sart4,state
sub-19,Sart1,state
sub-19,Sart2,state
sub-19,Sart3,state
sub-19,Sart4,state
sub-20,Sart1,state
sub-20,Sart2,state
sub-20,Sart3,state
sub-20,Sart4,state
sub-21,Sart1,state
sub-21,Sart2,state
sub-21,Sart3,state
sub-21,Sart4,state
sub-22,Sart1,state
sub-22,Sart2,state
sub-22,Sart3,state
sub-22,Sart4,state
sub-23,Sart1,state
sub-23,Sart2,state
sub-23,Sart3,state
sub-23,Sart4,state
sub-24,Sart1,state
sub-24,Sart2,state
sub-24,Sart3,state
sub-24,Sart4,state
sub-25,Sart1,state
sub-25,Sart2,state
sub-25,Sart3,state
sub-25,Sart4,state
sub-26,Sart1,state
sub-26,Sart2,state
sub-26,Sart3,state
sub-26,Sart4,state
sub-27,Sart1,state
sub-27,Sart2,state
sub-27,Sart3,state
sub-27,Sart4,state
sub-28,Sart1,state
sub-28,Sart2,state
sub-28,Sart3,state
sub-28,Sart4,state
sub-29,Sart1,state
sub-29,Sart2,state
sub-29,Sart3,state
sub-29,Sart4,state
sub-30,Sart1,state
sub-30,Sart2,state
sub-30,Sart3,state
sub-30,Sart4,state
sub-31,Sart1,state
sub-31,Sart2,state
sub-31,Sart3,state
sub-31,Sart4,state
sub-32,Sart1,state
sub-32,Sart2,state
sub-32,Sart3,state
sub-32,Sart4,state
sub-33,Sart1,state
sub-33,Sart2,state
sub-33,Sart3,state
sub-33,Sart4,state
sub-34,Sart1,state
sub-34,Sart2,state
sub-34,Sart3,state
sub-34,Sart4,state
sub-35,Sart1,state
sub-35,Sart2,state
sub-35,Sart3,state
sub-35,Sart4,state
sub-36,Sart1,state
sub-36,Sart2,state
sub-36,Sart3,state
sub-36,Sart4,state
sub-37,Sart1,state
sub-37,Sart2,state
sub-37,Sart3,state
sub-37,Sart4,state
sub-38,Sart1,state
sub-38,Sart2,state
sub-38,Sart3,state
sub-38,Sart4,state
sub-39,Sart1,state
sub-39,Sart2,state
sub-39,Sart3,state
sub-39,Sart4,state
sub-40,Sart1,state
sub-40,Sart2,state
sub-40,Sart3,state
sub-40,Sart4,state
sub-41,Sart1,state
sub-41,Sart2,state
sub-41,Sart3,state
sub-41,Sart4,state
sub-42,Sart1,state
sub-42,Sart2,state
sub-42,Sart3,state
sub-42,Sart4,state
sub-43,Sart1,state
sub-43,Sart2,state
sub-43,Sart3,state
sub-43,Sart4,state
