subject,true_mean,true_median,perm_mean,perm_median,empirical_p,significant,stars
3,0.6432142857142858,0.6428571428571428,0.5057142857142857,0.5,0.22,0,
5,0.6900790513833993,0.6897233201581028,0.49973913043478263,0.492094861660079,0.016,1,*
6,0.4147402597402598,0.4134199134199134,0.4985151515151515,0.502164502164502,0.838,0,
8,0.6067142857142858,0.6095238095238096,0.4976952380952381,0.4952380952380952,0.13,0,
10,0.9263636363636363,0.9220779220779222,0.4945974025974026,0.4935064935064935,0.002,1,**
12,0.7190972222222222,0.7222222222222222,0.4968263888888889,0.4930555555555556,0.012,1,*
14,0.5059595959595959,0.5050505050505051,0.4951313131313131,0.494949494949495,0.452,0,
15,0.9260869565217389,0.927536231884058,0.5001062801932367,0.4975845410628019,0.0,1,***
19,0.2836094674556213,0.2781065088757396,0.49840236686390527,0.4970414201183432,0.966,0,
22,0.5510256410256409,0.5487179487179488,0.49321025641025634,0.48205128205128206,0.316,0,
23,0.6716666666666665,0.6666666666666667,0.49226666666666663,0.5,0.166,0,
24,0.8608928571428572,0.8660714285714285,0.49939285714285725,0.5,0.0,1,***
25,0.5474948240165632,0.5486542443064182,0.5009026915113871,0.49482401656314695,0.312,0,
28,0.602979797979798,0.601010101010101,0.4987878787878788,0.494949494949495,0.178,0,
29,0.49802083333333336,0.5,0.5002083333333334,0.503125,0.518,0,
30,0.8583901515151517,0.8570075757575757,0.5027272727272727,0.5,0.0,1,***
31,0.46138461538461534,0.4615384615384615,0.5007769230769231,0.5,0.658,0,
32,0.8090249433106577,0.8095238095238095,0.5022040816326532,0.5011337868480725,0.0,1,***
35,0.6080303030303031,0.6060606060606061,0.5073030303030304,0.5075757575757576,0.19,0,
37,0.5732936507936508,0.5744047619047619,0.5009920634920635,0.503968253968254,0.2,0,
38,0.44614958448753456,0.4445983379501385,0.49896398891966753,0.5013850415512465,0.702,0,
40,0.5170303030303031,0.5212121212121212,0.5012606060606061,0.503030303030303,0.448,0,
41,0.5437890625,0.544921875,0.4994375,0.5,0.33,0,
42,0.6188235294117648,0.6176470588235294,0.5055,0.5,0.168,0,
