subject,true_mean,true_median,perm_mean,perm_median,empirical_p,significant,stars
3,0.1359046064878167,0.0690065559342354,0.0073477185420409855,-0.0385758374905229,0.344,0,
5,0.27127925273493103,0.2882755050267347,-0.000523380908221092,-0.020810099873485602,0.048,1,*
6,-0.06369757615463206,-0.0745678587621071,-0.0016567589491454891,0.0179071769783417,0.618,0,
8,0.1605259328257089,0.1714285714285714,-0.004824183739021797,-0.0250313087160879,0.19,0,
10,0.7147384357814366,0.7181465802471281,-0.01459235052179761,-0.0141350698548043,0.002,1,**
12,0.37875883885349476,0.3692668746196414,-0.003632670602234762,0.0,0.014,1,*
14,0.1576424310991121,0.1791062033516206,-0.011035442287013718,0.0,0.244,0,
15,0.6574850405889461,0.6640043458717375,0.002258485104220773,0.0087567822915455,0.0,1,***
19,-0.2762763796076669,-0.23804265414239495,-0.005391314711846418,0.0,0.894,0,
22,0.0806906197460589,0.0716114874039432,-0.011137765388563597,-0.0157102517967693,0.302,0,
23,0.32019656241763433,0.3105295017040594,-0.004770432523122287,0.0690065559342354,0.128,0,
24,0.5941075228423977,0.6313453403451318,-0.0004916184256418043,0.0082874193016474,0.0,1,***
25,-0.08111554605542609,-0.08731244465107375,-0.0017088288047020157,-0.0062632664040201,0.632,0,
28,0.0486440676410398,0.0504608392349581,-0.0009808902008194016,0.0018651178778574503,0.406,0,
29,0.01878850799423639,0.0083333333333333,-0.0014818862373875712,0.0,0.44,0,
30,0.5521848565637961,0.5649019553110248,0.001430542380124206,-0.0037986858819879,0.0,1,***
31,-0.05212819140110256,-0.0438529009653514,0.0035075586602947,0.0081786082010953,0.634,0,
32,0.45879191447438716,0.461972445061377,0.004878431922076821,0.0,0.0,1,***
35,0.21503474965563385,0.2326210525996177,0.010230855165646025,0.0381690510345287,0.172,0,
37,0.11586758455727447,0.1195228609334393,-0.00024157836322053616,0.012024651756097,0.204,0,
38,-0.04588344408101338,-0.0529256124024963,0.0015857249596190153,0.0,0.574,0,
40,-0.03175534602523732,-0.0314689546687233,0.0024091488559245715,0.0120124995026074,0.562,0,
41,0.1214497026380474,0.125,-0.004518454037982148,0.0,0.294,0,
42,0.10707457744095113,0.1080339539253607,0.004778500558678649,0.0049019607843137,0.298,0,
