feature_name,mean_abs_shap_value
N1_mean_occipitoparietal_lateral_trimmean,0.0015230836936258494
P1_mean_occipitoparietal_lateral_trimmean,0.0011059137831520877
P3a_mean_frontocentral_midline_trimmean,0.001153692086799617
P3b_mean_centroparietal_midline_trimmean,0.0011218845681194218
PE_alpha_mean_central_left_trimmean,0.0021254212456737033
PE_alpha_mean_central_mid_trimmean,0.0020144999535140202
PE_alpha_mean_central_right_trimmean,0.005677338393203557
PE_alpha_mean_frontal_left_trimmean,0.0016924436452851212
PE_alpha_mean_frontal_mid_trimmean,0.002095335777274575
PE_alpha_mean_frontal_right_trimmean,0.0017685535354239608
PE_alpha_mean_posterior_left_trimmean,0.0016633387208925894
PE_alpha_mean_posterior_mid_trimmean,0.0022671773916618505
PE_alpha_mean_posterior_right_trimmean,0.008983057186720734
PE_beta_mean_central_left_trimmean,0.002343307185142264
PE_beta_mean_central_mid_trimmean,0.001817575617736623
PE_beta_mean_central_right_trimmean,0.0037242285330712746
PE_beta_mean_frontal_left_trimmean,0.001219164301302362
PE_beta_mean_frontal_mid_trimmean,0.0010826244991134488
PE_beta_mean_frontal_right_trimmean,0.0010476452835040252
PE_beta_mean_posterior_left_trimmean,0.0018980461493283108
PE_beta_mean_posterior_mid_trimmean,0.0037165256574451344
PE_beta_mean_posterior_right_trimmean,0.002315405747697612
PE_gamma_mean_central_left_trimmean,0.0024589692550656657
PE_gamma_mean_central_mid_trimmean,0.002729553479244277
PE_gamma_mean_central_right_trimmean,0.0024944288819708877
PE_gamma_mean_frontal_left_trimmean,0.001233596949719207
PE_gamma_mean_frontal_mid_trimmean,0.0011670373905618365
PE_gamma_mean_frontal_right_trimmean,0.0011270777612761103
PE_gamma_mean_posterior_left_trimmean,0.0011634142560907885
PE_gamma_mean_posterior_mid_trimmean,0.0063520071409154085
PE_gamma_mean_posterior_right_trimmean,0.0030148327558007803
PE_theta_mean_central_left_trimmean,0.0020160919824806804
PE_theta_mean_central_mid_trimmean,0.005127759786653147
PE_theta_mean_central_right_trimmean,0.0011307424948939968
PE_theta_mean_frontal_left_trimmean,0.0019502935120810693
PE_theta_mean_frontal_mid_trimmean,0.002876332054545594
PE_theta_mean_frontal_right_trimmean,0.0013210605038082635
PE_theta_mean_posterior_left_trimmean,0.0012649318043132895
PE_theta_mean_posterior_mid_trimmean,0.0011242171184973828
PE_theta_mean_posterior_right_trimmean,0.0013318502367181309
kolmogorov_complexity_mean_central_left_trimmean,0.0008511908036345644
kolmogorov_complexity_mean_central_mid_trimmean,0.0009594982950207831
kolmogorov_complexity_mean_central_right_trimmean,0.004203669424156587
kolmogorov_complexity_mean_frontal_left_trimmean,0.0009082035406907364
