subject,auc,minority_ratio,n_trials
03,0.3333333333333333,0.46153846153846156,13
05,0.5674603174603174,0.4666666666666667,45
06,0.3630434782608696,0.46511627906976744,43
08,0.46153846153846156,0.38095238095238093,21
10,0.6136363636363635,0.42105263157894735,19
12,0.7076023391812866,0.4864864864864865,37
14,0.25,0.38095238095238093,21
15,0.6,0.375,16
19,0.3626373626373627,0.48148148148148145,27
20,0.2222222222222222,0.5,12
22,0.640625,0.5,32
23,0.5833333333333333,0.2727272727272727,11
24,0.7291666666666667,0.42857142857142855,14
25,0.4359504132231405,0.5,44
26,0.5222222222222221,0.2857142857142857,21
28,0.5833333333333333,0.47368421052631576,38
29,0.5208333333333334,0.48,50
30,0.5984,0.5,50
31,0.3668478260869565,0.41025641025641024,39
32,0.4975,0.5,40
33,0.564327485380117,0.4864864864864865,37
35,0.4923076923076923,0.4642857142857143,28
36,0.8095238095238095,0.3,10
37,0.505,0.4897959183673469,49
38,0.5027777777777778,0.47368421052631576,38
39,0.5277777777777778,0.3076923076923077,13
40,0.5909090909090909,0.44,25
41,0.44375,0.4444444444444444,36
42,0.6294642857142858,0.4666666666666667,30
43,0.35,0.29411764705882354,17
