subject,auc,minority_ratio,n_trials
03,0.7261904761904762,0.46153846153846156,26
05,0.43892339544513453,0.4772727272727273,44
06,0.43447293447293445,0.49056603773584906,53
08,0.5759637188208617,0.5,42
10,0.608173076923077,0.38095238095238093,42
12,0.640625,0.4444444444444444,36
14,0.7012987012987013,0.44,25
15,0.5178571428571428,0.36363636363636365,22
17,0.6785714285714286,0.36363636363636365,22
18,0.4555555555555556,0.47368421052631576,19
19,0.44642857142857145,0.4666666666666667,15
21,0.7947368421052632,0.48717948717948717,39
22,0.6052631578947368,0.45714285714285713,35
23,0.6527777777777778,0.4,30
24,0.6256410256410256,0.4642857142857143,28
25,0.5694444444444444,0.5,48
26,0.5657894736842106,0.45714285714285713,35
27,0.375,0.375,32
28,0.6177685950413223,0.5,44
29,0.385989010989011,0.48148148148148145,54
30,0.8083735909822866,0.46,50
31,0.5161904761904761,0.45652173913043476,46
32,0.7649572649572649,0.49056603773584906,53
33,0.653061224489796,0.3333333333333333,21
34,0.6604278074866311,0.4358974358974359,39
35,0.6766666666666666,0.42857142857142855,35
36,0.7916666666666666,0.2727272727272727,22
37,0.63671875,0.5,32
38,0.49318181818181817,0.47619047619047616,42
39,0.6111111111111112,0.4,30
40,0.5152941176470588,0.40476190476190477,42
41,0.5675057208237987,0.4523809523809524,42
42,0.6885714285714286,0.4716981132075472,53
43,0.4086956521739131,0.4791666666666667,48
