feature_name,mean_importance,std_importance,rank
wsmi_beta_mean_posterior_mid_trimmean,0.011541925684441182,,1
PE_alpha_mean_central_mid_trimmean,0.011536738667060918,,2
psd_relative_theta_mean_frontal_right_trimmean,0.01099368102026577,,3
psd_relative_gamma_mean_frontal_right_trimmean,0.01094264275004394,,4
slowwaves_Slope_mean_central_right_trimmean,0.01078870026083487,,5
wsmi_theta_mean_central_left_trimmean,0.010460568058450954,,6
P3b_mean_centroparietal_midline_trimmean,0.009949187821652388,,7
PE_alpha_mean_central_right_trimmean,0.009166006992443253,,8
psd_relative_gamma_mean_frontal_left_trimmean,0.00908685063353153,,9
PE_alpha_mean_posterior_left_trimmean,0.009052526851689939,,10
slowwaves_Frequency_mean_central_right_trimmean,0.00857761347209332,,11
PE_alpha_mean_posterior_mid_trimmean,0.008467083667220553,,12
psd_relative_theta_mean_frontal_mid_trimmean,0.00843728898640038,,13
PE_beta_mean_frontal_left_trimmean,0.008393173357508188,,14
wsmi_gamma_mean_posterior_mid_trimmean,0.008320814402843456,,15
psd_relative_theta_mean_frontal_left_trimmean,0.008318534475190691,,16
slowwaves_Duration_mean_frontal_mid_trimmean,0.008263536947052622,,17
PE_gamma_mean_frontal_left_trimmean,0.008154898094174233,,18
PE_gamma_mean_frontal_right_trimmean,0.008105986685855021,,19
slowwaves_Density_mean_frontal_right_trimmean,0.007558852062865627,,20
PE_alpha_mean_posterior_right_trimmean,0.007532230175986138,,21
PE_beta_mean_frontal_right_trimmean,0.007480028473766748,,22
slowwaves_PTP_mean_frontal_mid_trimmean,0.007450379566078658,,23
psd_relative_beta_mean_central_right_trimmean,0.007429153863162694,,24
psd_relative_delta_mean_frontal_left_trimmean,0.007388647344174239,,25
slowwaves_PTP_mean_frontal_left_trimmean,0.007368359001311616,,26
psd_relative_delta_mean_central_mid_trimmean,0.007348451956434238,,27
PE_alpha_mean_central_left_trimmean,0.007325377513777872,,28
psd_relative_alpha_mean_central_right_trimmean,0.007274729631397316,,29
slowwaves_PTP_mean_frontal_right_trimmean,0.00711463405281147,,30
N1_mean_occipitoparietal_lateral_trimmean,0.007011089257697764,,31
slowwaves_Slope_mean_frontal_right_trimmean,0.0067486975171061015,,32
PE_theta_mean_central_right_trimmean,0.006612807408579028,,33
wsmi_theta_mean_frontal_mid_trimmean,0.0065833499020381695,,34
wsmi_theta_mean_posterior_right_trimmean,0.006550907381685198,,35
slowwaves_Density_mean_central_mid_trimmean,0.0065001985168900555,,36
slowwaves_Slope_mean_frontal_left_trimmean,0.006490435617819706,,37
slowwaves_Density_mean_frontal_mid_trimmean,0.006366567017306637,,38
slowwaves_Density_mean_posterior_left_trimmean,0.006358659466376578,,39
slowwaves_Frequency_mean_posterior_right_trimmean,0.0063520485010920774,,40
wsmi_beta_mean_posterior_right_trimmean,0.006345972761583053,,41
kolmogorov_complexity_mean_central_mid_trimmean,0.006313350985805769,,42
kolmogorov_complexity_mean_posterior_right_trimmean,0.006290616078389146,,43
psd_relative_beta_mean_frontal_right_trimmean,0.006285619969618772,,44
slowwaves_Slope_mean_central_left_trimmean,0.006283941368611471,,45
kolmogorov_complexity_mean_frontal_right_trimmean,0.006261455565714319,,46
psd_relative_delta_mean_frontal_right_trimmean,0.006221871109264891,,47
wsmi_alpha_mean_posterior_mid_trimmean,0.006133728317496923,,48
psd_relative_alpha_mean_frontal_left_trimmean,0.006118302159724816,,49
wsmi_theta_mean_central_mid_trimmean,0.006019928293440386,,50
psd_relative_alpha_mean_posterior_right_trimmean,0.006019135805963825,,51
kolmogorov_complexity_mean_frontal_left_trimmean,0.005995518944157974,,52
psd_relative_beta_mean_central_mid_trimmean,0.005964836688321378,,53
wsmi_alpha_mean_central_mid_trimmean,0.005921419819070365,,54
wsmi_theta_mean_posterior_mid_trimmean,0.005851598176143576,,55
psd_relative_beta_mean_posterior_right_trimmean,0.005835679972745407,,56
kolmogorov_complexity_mean_posterior_mid_trimmean,0.005820745796810088,,57
psd_relative_alpha_mean_central_mid_trimmean,0.005790372650849105,,58
slowwaves_Duration_mean_frontal_right_trimmean,0.0057865864161996535,,59
psd_relative_alpha_mean_central_left_trimmean,0.005679794900394518,,60
wsmi_alpha_mean_central_left_trimmean,0.005667656951145301,,61
slowwaves_Density_mean_central_right_trimmean,0.00565177711886996,,62
wsmi_beta_mean_frontal_mid_trimmean,0.005633113339644252,,63
slowwaves_Frequency_mean_central_left_trimmean,0.005632404799858935,,64
slowwaves_Duration_mean_central_right_trimmean,0.005620452478560581,,65
slowwaves_Frequency_mean_frontal_mid_trimmean,0.005616514556326565,,66
wsmi_theta_mean_frontal_left_trimmean,0.00560543397441332,,67
PE_gamma_mean_posterior_left_trimmean,0.005553778577860049,,68
psd_relative_gamma_mean_central_left_trimmean,0.005552730263710992,,69
psd_relative_gamma_mean_frontal_mid_trimmean,0.005535466036741852,,70
kolmogorov_complexity_mean_central_left_trimmean,0.005529649151704096,,71
wsmi_alpha_mean_posterior_left_trimmean,0.005514299361827431,,72
psd_relative_beta_mean_posterior_left_trimmean,0.005496499034711132,,73
PE_gamma_mean_central_mid_trimmean,0.005469092640473192,,74
slowwaves_Density_mean_frontal_left_trimmean,0.005467281351673381,,75
wsmi_beta_mean_central_right_trimmean,0.005452474361001499,,76
PE_beta_mean_posterior_left_trimmean,0.00545064380696469,,77
wsmi_theta_mean_frontal_right_trimmean,0.005422382761792565,,78
P1_mean_occipitoparietal_lateral_trimmean,0.005417060759203243,,79
psd_relative_beta_mean_frontal_mid_trimmean,0.005412445956683344,,80
slowwaves_PTP_mean_central_right_trimmean,0.005389130488096356,,81
wsmi_beta_mean_posterior_left_trimmean,0.005369150027741431,,82
psd_relative_alpha_mean_frontal_mid_trimmean,0.005352142771398199,,83
slowwaves_PTP_mean_central_mid_trimmean,0.0053395426305391765,,84
psd_relative_delta_mean_central_left_trimmean,0.005337413141646332,,85
PE_beta_mean_posterior_right_trimmean,0.005324936094705952,,86
PE_beta_mean_posterior_mid_trimmean,0.005310964821306868,,87
psd_relative_alpha_mean_posterior_left_trimmean,0.005296612022289522,,88
kolmogorov_complexity_mean_frontal_mid_trimmean,0.005290177722306482,,89
psd_relative_beta_mean_posterior_mid_trimmean,0.005255310163492129,,90
wsmi_alpha_mean_frontal_left_trimmean,0.005223738418089907,,91
wsmi_alpha_mean_posterior_right_trimmean,0.005165214558644668,,92
psd_relative_delta_mean_central_right_trimmean,0.005161353974523534,,93
PE_gamma_mean_posterior_right_trimmean,0.005155376587191614,,94
PE_beta_mean_frontal_mid_trimmean,0.005140032222347761,,95
psd_relative_beta_mean_frontal_left_trimmean,0.005136786317396801,,96
PE_beta_mean_central_mid_trimmean,0.005135110820403317,,97
