metric,type,value
auc,true,0.5240269002624687
auc,true,0.5166870011660226
auc,true,0.5233614521655181
auc,true,0.525004475946468
auc,true,0.5074358921000905
auc,true,0.5077010339980488
auc,true,0.516766115866399
auc,true,0.5234327130695147
auc,true,0.5106352879411178
auc,true,0.53124176131886
auc,true,0.5120309534798868
auc,true,0.5163608615459634
auc,true,0.5002402922011224
auc,true,0.515134151067189
auc,true,0.5206977995909428
auc,true,0.5193657320310656
auc,true,0.5200886882251464
auc,true,0.5111872932738177
auc,true,0.515693175160709
auc,true,0.502870152127507
auc,true,0.5200526228236797
auc,true,0.5157986909326995
auc,true,0.5119007383357194
auc,true,0.5270411742770211
auc,true,0.514987173023919
auc,true,0.5179230510595165
auc,true,0.5062620782564599
auc,true,0.5258358059039803
auc,true,0.5191327079226145
auc,true,0.5027849842302956
auc,true,0.5227986769032039
auc,true,0.5162052448029418
auc,true,0.5117385482876659
auc,true,0.5205904752294037
auc,true,0.5116657081721454
auc,true,0.5157445513397202
auc,true,0.5113214769191836
auc,true,0.5119918266201865
auc,true,0.5130195910833875
auc,true,0.5116125913516887
auc,true,0.5038608908977746
auc,true,0.5130690504191056
auc,true,0.5231317012770154
auc,true,0.5174153906855665
auc,true,0.5188612533592419
auc,true,0.5093664661955694
auc,true,0.5115736420429448
auc,true,0.5273302808965206
auc,true,0.5175884590479941
auc,true,0.5151210101352977
auc,true,0.5261404116596617
auc,true,0.508520676982727
auc,true,0.5199205943046525
auc,true,0.5210678376865343
auc,true,0.526445665497202
auc,true,0.516093777013565
auc,true,0.5106654160266553
auc,true,0.5071215480126798
auc,true,0.5159828511401152
auc,true,0.5145739760302332
auc,true,0.5156835691874198
auc,true,0.5197740546679994
auc,true,0.5221675485487396
auc,true,0.5204880308449458
auc,true,0.513331389000798
auc,true,0.5124545564533913
auc,true,0.5077034327169891
auc,true,0.5186943367923128
auc,true,0.5107834340453195
auc,true,0.5173656762182552
auc,true,0.5291772876450351
auc,true,0.5345009354313981
auc,true,0.5163916478510204
auc,true,0.5183387185018946
auc,true,0.5243800203181307
auc,true,0.515300505773794
auc,true,0.5214396260743993
auc,true,0.5114333935483371
auc,true,0.5260087531787986
auc,true,0.510076598363157
auc,true,0.5144977248099997
auc,true,0.5163496422893996
auc,true,0.5123247728012015
auc,true,0.5280468665677439
auc,true,0.5140526012286957
auc,true,0.5080854764829715
auc,true,0.5359652298503582
auc,true,0.5249874096880345
auc,true,0.5119988967011913
auc,true,0.5262149239762411
auc,true,0.5236836089901562
auc,true,0.5252177715265558
auc,true,0.5096221156101015
auc,true,0.5247212799916735
auc,true,0.5137204703425108
auc,true,0.5113446537215036
auc,true,0.5062269700543889
auc,true,0.5103110506141009
auc,true,0.4998198999913408
auc,true,0.5126748708952454
auc,permuted,0.5075243984338109
auc,permuted,0.5002234103060358
auc,permuted,0.4815726858145522
auc,permuted,0.5370487706264025
auc,permuted,0.5122460417715458
auc,permuted,0.5029474425682758
auc,permuted,0.5129009919923684
auc,permuted,0.4984751171172278
auc,permuted,0.4823752871554417
auc,permuted,0.5059786587238766
auc,permuted,0.4742554411146998
auc,permuted,0.5159202232845548
auc,permuted,0.5290300711782518
auc,permuted,0.521949472814881
auc,permuted,0.519767974877966
auc,permuted,0.4948566729603851
auc,permuted,0.4896638507262001
auc,permuted,0.5008825053924603
auc,permuted,0.477658573149783
auc,permuted,0.5174293929109192
auc,permuted,0.4967097091550194
auc,permuted,0.4976840821244485
auc,permuted,0.4972496009669578
auc,permuted,0.5275980585268814
auc,permuted,0.4990647023827018
auc,permuted,0.50363132866672
auc,permuted,0.5147600591588002
auc,permuted,0.4852505896459116
auc,permuted,0.532680918232304
auc,permuted,0.5064592252249935
auc,permuted,0.5088749209882055
auc,permuted,0.4849789162296736
auc,permuted,0.5313070979664876
auc,permuted,0.5022302618638573
auc,permuted,0.5166000736858356
auc,permuted,0.484535458122487
auc,permuted,0.5379698465559093
auc,permuted,0.5343301237288902
auc,permuted,0.5103175090109107
auc,permuted,0.4668714109998869
auc,permuted,0.4671904068465574
auc,permuted,0.5312386401176299
auc,permuted,0.4892039626622875
auc,permuted,0.5022129640033524
auc,permuted,0.5123112012725664
auc,permuted,0.4844162096940679
auc,permuted,0.4509802047765339
auc,permuted,0.5282889216773685
auc,permuted,0.4797542609074993
auc,permuted,0.5305335458755654
auc,permuted,0.5299389439876996
auc,permuted,0.5204488921680186
auc,permuted,0.473263878222374
auc,permuted,0.4918350125222401
auc,permuted,0.4497517101374143
auc,permuted,0.5199297996112646
auc,permuted,0.5203753318284663
auc,permuted,0.4677467619311382
auc,permuted,0.5102009817578812
auc,permuted,0.522058951464543
auc,permuted,0.4968602977253532
auc,permuted,0.4956350735640174
auc,permuted,0.4619306706791508
auc,permuted,0.4865839312149773
auc,permuted,0.5489552641591343
auc,permuted,0.5002590440229849
auc,permuted,0.5220655589997878
auc,permuted,0.5043242229031984
auc,permuted,0.4895872397035927
auc,permuted,0.5180164856981486
auc,permuted,0.500670571245027
auc,permuted,0.4898627955713554
auc,permuted,0.4976436978555542
auc,permuted,0.4980283475351774
auc,permuted,0.5202608996476075
auc,permuted,0.5030477779388883
auc,permuted,0.4922900441777649
auc,permuted,0.4747542971985698
auc,permuted,0.4675629247854253
auc,permuted,0.4902612197154244
auc,permuted,0.5022363515833406
auc,permuted,0.5381882435740442
auc,permuted,0.5541248260588336
auc,permuted,0.4932964323875565
auc,permuted,0.535163618374568
auc,permuted,0.5242280284789542
auc,permuted,0.5339982846307318
auc,permuted,0.5272020854237949
auc,permuted,0.5163894683884369
auc,permuted,0.4566654494514469
auc,permuted,0.5226005674697651
auc,permuted,0.4734862953390898
auc,permuted,0.5023441566608022
auc,permuted,0.5018498663333033
auc,permuted,0.5263691118295991
auc,permuted,0.4684971908105028
auc,permuted,0.5079595285122049
auc,permuted,0.4986553187138668
auc,permuted,0.4633365892788814
auc,permuted,0.4592085552514947
auc,permuted,0.5182981844339757
auc,permuted,0.5430607962894198
auc,permuted,0.5443365366651822
auc,permuted,0.4812261842219022
auc,permuted,0.5038875419501713
auc,permuted,0.5284622312583274
auc,permuted,0.474463303898853
auc,permuted,0.4590237654899221
auc,permuted,0.4747332186909758
auc,permuted,0.5176166046260935
auc,permuted,0.5344019453381631
auc,permuted,0.4921816152295305
auc,permuted,0.5241560982783673
auc,permuted,0.47306121848093
auc,permuted,0.4864620018035646
