feature,true_rank,true_mean,true_std,perm_mean_same_feature,perm_std_same_feature,perm_mean_same_rank,perm_std_same_rank
kolmogorov_complexity_mean_central_mid_trimmean,1,0.005258084611364463,0.0009071474814383188,0.0015227443623114904,0.0009031175435559054,0.006305845556574805,0.0015979067311638101
psd_relative_gamma_mean_posterior_mid_trimmean,2,0.00521578051425365,0.0008829321261799853,0.001323964987911412,0.0006991866515471693,0.005029767671868999,0.0009722014200866542
PE_beta_mean_frontal_right_trimmean,3,0.005012042619989582,0.0007654245030675771,0.0012824861202025994,0.0006241518636824944,0.004405594900494183,0.0007184898258882945
PE_gamma_mean_frontal_right_trimmean,4,0.004759543115427694,0.0006731021572978624,0.0012992323135680446,0.0006407144104906288,0.004038333831828391,0.0005976025704950427
slowwaves_Density_mean_frontal_left_trimmean,5,0.0047449991114530896,0.000830103498939265,0.0013906241210556631,0.0008443041261022264,0.003767183875892103,0.0005268672492713097
wsmi_gamma_mean_central_right_trimmean,6,0.004098441752716246,0.0006630583687974259,0.0015653620353557065,0.0010295763949676048,0.003546766972372584,0.00044543613560273397
PE_gamma_mean_posterior_right_trimmean,7,0.0040080620304132,0.000896709037576514,0.0013260213429731017,0.000685931465940924,0.0033646566904387276,0.00039337438126246137
psd_relative_gamma_mean_posterior_right_trimmean,8,0.00393272900541576,0.0008020574106279056,0.0013847986377796444,0.0007948717967701284,0.003214185196975662,0.00034216621316092275
PE_beta_mean_posterior_right_trimmean,9,0.0037904875029636507,0.0006882561787089325,0.0013268931676777152,0.0006957279925829047,0.0030835174900329153,0.00030927443955715186
psd_relative_delta_mean_posterior_right_trimmean,10,0.003730834361830247,0.000685800997867452,0.0013742471126630509,0.0007152537154317576,0.0029806879109539903,0.0002989861774588664
wsmi_theta_mean_central_right_trimmean,11,0.0036483887647371306,0.0006289478406428015,0.0015419810160647196,0.000856173678224433,0.0028793193367874278,0.0002710131064489639
slowwaves_PTP_mean_posterior_left_trimmean,12,0.0035803120650973485,0.0005884170654992907,0.001459718371412868,0.0009763416895628724,0.0027859591743504093,0.0002479626397278387
P3b_mean_centroparietal_midline_trimmean,13,0.0034261440639668478,0.0006497433798350036,0.0016862472757625101,0.0011219181532956155,0.0027089489748436746,0.00023100258531557255
PE_alpha_mean_posterior_mid_trimmean,14,0.0031576994144273322,0.0005750029500671733,0.0014778661186420686,0.000789446502145529,0.002632099987535589,0.0002205530078555008
PE_gamma_mean_frontal_left_trimmean,15,0.003116227400109928,0.0004798614785978091,0.0013018213511735602,0.0006145908173144272,0.002568225177320156,0.00020743820544232936
kolmogorov_complexity_mean_central_right_trimmean,16,0.0030829392200235396,0.0006338540954129962,0.0015206879079286658,0.0009378236517744338,0.0025034754427660628,0.00019668463429141486
wsmi_gamma_mean_posterior_left_trimmean,17,0.0030807754916221874,0.0006669130115453652,0.0015496501456456254,0.0008919433422558569,0.0024494285754658547,0.00018651924578189615
slowwaves_Slope_mean_frontal_left_trimmean,18,0.003051231967781531,0.0004789914659956506,0.0014867692920078764,0.0007979098951713487,0.00239275049202731,0.00017334724879525994
PE_beta_mean_posterior_mid_trimmean,19,0.002838583448747666,0.0003863402316770691,0.0012747795389034505,0.0006170484454699072,0.002340607158667656,0.0001677311239493587
wsmi_beta_mean_frontal_mid_trimmean,20,0.002769373062812061,0.0004939215903095494,0.0015976528197138456,0.0010062146124291326,0.002293196480930642,0.00016069226566709242
