subject,auc,minority_ratio,n_trials
03,0.3984962406015038,0.42424242424242425,33
04,0.5402298850574713,0.48214285714285715,56
05,0.37,0.5,60
06,0.44642857142857145,0.48148148148148145,54
07,0.5164835164835164,0.35,20
08,0.5088757396449705,0.5,52
10,0.650974025974026,0.44,50
12,0.44285714285714284,0.4878048780487805,41
14,0.797979797979798,0.2903225806451613,31
18,0.5232,0.5,50
19,0.4393939393939394,0.35294117647058826,17
20,0.4772727272727273,0.42105263157894735,19
21,0.6274509803921569,0.41379310344827586,29
22,0.21064814814814814,0.42857142857142855,42
23,0.6666666666666667,0.2,15
24,0.47,0.42857142857142855,35
25,0.5134680134680134,0.4489795918367347,49
26,0.4886363636363636,0.47619047619047616,42
27,0.5518394648829432,0.46938775510204084,49
28,0.5184304399524375,0.5,58
29,0.4766505636070853,0.46,50
30,0.29090909090909095,0.47619047619047616,42
31,0.26666666666666666,0.375,32
32,0.5410225921521997,0.5,58
34,0.40705128205128205,0.48,50
35,0.5425330812854443,0.5,46
37,0.734472049689441,0.45098039215686275,51
38,0.6439393939393939,0.4782608695652174,23
40,0.476608187134503,0.4864864864864865,37
41,0.6319875776397516,0.45098039215686275,51
42,0.3840579710144928,0.43902439024390244,41
43,0.6440329218106996,0.4,45
