subject,auc,minority_ratio,n_trials
03,0.5263157894736842,0.45714285714285713,35
04,0.5559006211180124,0.45098039215686275,51
05,0.4975369458128079,0.49122807017543857,57
06,0.413265306122449,0.5,56
07,0.5708333333333333,0.375,32
08,0.6266233766233766,0.44,50
10,0.5201465201465202,0.44680851063829785,47
12,0.7226890756302521,0.45161290322580644,31
14,0.3333333333333333,0.42857142857142855,14
15,0.5961538461538461,0.23529411764705882,17
17,0.5588235294117647,0.32,25
18,0.5502645502645503,0.4909090909090909,55
19,0.5555555555555556,0.47368421052631576,19
20,0.2962962962962963,0.4,15
21,0.5333333333333333,0.4,25
22,0.3305785123966942,0.5,44
24,0.2756410256410256,0.48,25
25,0.4565217391304348,0.46511627906976744,43
26,0.5142857142857143,0.4878048780487805,41
27,0.4038461538461538,0.43478260869565216,46
28,0.556923076923077,0.49019607843137253,51
29,0.5231999999999999,0.5,50
30,0.45913461538461536,0.38095238095238093,42
31,0.4801587301587301,0.36363636363636365,33
32,0.5683709869203329,0.5,58
33,0.41486068111455104,0.4722222222222222,36
34,0.4919908466819222,0.4523809523809524,42
35,0.5,0.5,36
36,0.6,0.5,20
37,0.6111111111111112,0.3103448275862069,29
38,0.3461538461538462,0.48148148148148145,27
39,0.44949494949494945,0.3793103448275862,29
40,0.5124653739612188,0.5,38
41,0.582010582010582,0.46153846153846156,39
42,0.5473145780051151,0.425,40
43,0.5597826086956521,0.48936170212765956,47
