subject,auc,subject_median,dist_from_50
03,0.5263157894736842,55.0,5.0
04,0.5559006211180124,73.0,23.0
05,0.4975369458128079,49.0,1.0
06,0.413265306122449,53.0,3.0
07,0.5708333333333333,9.5,40.5
08,0.6266233766233766,43.0,7.0
10,0.5201465201465202,48.0,2.0
12,0.7226890756302521,30.0,20.0
14,0.3333333333333333,68.0,18.0
15,0.5961538461538461,66.0,16.0
17,0.5588235294117647,81.0,31.0
18,0.5502645502645503,69.0,19.0
19,0.5555555555555556,56.0,6.0
20,0.2962962962962963,91.0,41.0
21,0.5333333333333333,42.0,8.0
22,0.3305785123966942,57.0,7.0
24,0.2756410256410256,69.0,19.0
25,0.4565217391304348,47.0,3.0
26,0.5142857142857143,40.0,10.0
27,0.4038461538461538,51.5,1.5
28,0.556923076923077,52.0,2.0
29,0.5231999999999999,66.5,16.5
30,0.45913461538461536,31.0,19.0
31,0.4801587301587301,35.0,15.0
32,0.5683709869203329,58.5,8.5
33,0.41486068111455104,99.0,49.0
34,0.4919908466819222,49.0,1.0
35,0.5,29.5,20.5
36,0.6,72.5,22.5
37,0.6111111111111112,48.0,2.0
38,0.3461538461538462,80.0,30.0
39,0.44949494949494945,98.0,48.0
40,0.5124653739612188,27.5,22.5
41,0.582010582010582,62.0,12.0
42,0.5473145780051151,55.5,5.5
43,0.5597826086956521,68.0,18.0
