subject,true_mean,true_median,perm_mean,perm_median,empirical_p,significant,stars
5,0.49529230769230764,0.4907692307692308,0.50328,0.5084615384615384,0.51,0,
6,0.43297222222222226,0.4287037037037037,0.5034388888888889,0.5027777777777778,0.834,0,
8,0.5210736842105262,0.5221052631578947,0.5057452631578948,0.503157894736842,0.412,0,
9,0.5295714285714286,0.5285714285714286,0.4947904761904761,0.4952380952380952,0.32,0,
12,0.5213304093567251,0.5175438596491228,0.5007514619883041,0.4919590643274854,0.388,0,
13,0.44199999999999995,0.4666666666666667,0.49879999999999997,0.5,0.662,0,
14,0.5231006864988559,0.5263157894736842,0.49845308924485127,0.4977116704805492,0.374,0,
18,0.45601190476190473,0.4494047619047618,0.49890476190476185,0.4970238095238095,0.71,0,
22,0.5677555555555555,0.5711111111111111,0.5038681481481482,0.5022222222222222,0.162,0,
32,0.47195512820512825,0.4775641025641025,0.49756410256410255,0.4983974358974359,0.658,0,
34,0.6131142857142857,0.61,0.49900714285714287,0.4964285714285714,0.038,1,*
38,0.5074166666666667,0.513095238095238,0.4987047619047619,0.4904761904761904,0.488,0,
43,0.5102106227106227,0.5141941391941391,0.5032619047619047,0.5073260073260073,0.492,0,
