feature_name,mean_abs_shap_value
N1_mean_occipitoparietal_lateral_trimmean,0.009308888409752716
P1_mean_occipitoparietal_lateral_trimmean,0.01236787251978826
P3a_mean_frontocentral_midline_trimmean,0.0028114810712937493
P3b_mean_centroparietal_midline_trimmean,0.0027569868374882752
PE_alpha_mean_central_left_trimmean,0.0026990096837148795
PE_alpha_mean_central_mid_trimmean,0.002392916365377486
PE_alpha_mean_central_right_trimmean,0.004410642650817309
PE_alpha_mean_frontal_left_trimmean,0.00092745199845809
PE_alpha_mean_frontal_mid_trimmean,0.0016506561533521438
PE_alpha_mean_frontal_right_trimmean,0.0012117944013278733
PE_alpha_mean_posterior_left_trimmean,0.0012264482844153647
PE_alpha_mean_posterior_mid_trimmean,0.0009057263378790684
PE_alpha_mean_posterior_right_trimmean,0.0012090514314471784
PE_beta_mean_central_left_trimmean,0.0015730893613193407
PE_beta_mean_central_mid_trimmean,0.0022234322637477797
PE_beta_mean_central_right_trimmean,0.0016024277514460456
PE_beta_mean_frontal_left_trimmean,0.0013026360643407283
PE_beta_mean_frontal_mid_trimmean,0.003733756001995666
PE_beta_mean_frontal_right_trimmean,0.0016928005495053327
PE_beta_mean_posterior_left_trimmean,0.001651152829618026
PE_beta_mean_posterior_mid_trimmean,0.0011404019512325106
PE_beta_mean_posterior_right_trimmean,0.0008248496675161053
PE_gamma_mean_central_left_trimmean,0.0013652298361749276
PE_gamma_mean_central_mid_trimmean,0.0009357677370239076
PE_gamma_mean_central_right_trimmean,0.001356770873813371
PE_gamma_mean_frontal_left_trimmean,0.0017249255210413622
PE_gamma_mean_frontal_mid_trimmean,0.003828923986389704
PE_gamma_mean_frontal_right_trimmean,0.0014846809180672847
PE_gamma_mean_posterior_left_trimmean,0.0018970854178381002
PE_gamma_mean_posterior_mid_trimmean,0.0008986408176429727
PE_gamma_mean_posterior_right_trimmean,0.0009028023785175683
PE_theta_mean_central_left_trimmean,0.0010674995771083823
PE_theta_mean_central_mid_trimmean,0.0013809859700827478
PE_theta_mean_central_right_trimmean,0.0010279975695198528
PE_theta_mean_frontal_left_trimmean,0.0011507063139357112
PE_theta_mean_frontal_mid_trimmean,0.0022432575720709117
PE_theta_mean_frontal_right_trimmean,0.0016245825944736722
PE_theta_mean_posterior_left_trimmean,0.0019274016739697568
PE_theta_mean_posterior_mid_trimmean,0.007328063877945554
PE_theta_mean_posterior_right_trimmean,0.006079522098593108
kolmogorov_complexity_mean_central_left_trimmean,0.0011543320507991246
kolmogorov_complexity_mean_central_mid_trimmean,0.0014641665773889032
kolmogorov_complexity_mean_central_right_trimmean,0.0016677413243872546
kolmogorov_complexity_mean_frontal_left_trimmean,0.0012959768586516657
kolmogorov_complexity_mean_frontal_mid_trimmean,0.007739595944689097
kolmogorov_complexity_mean_frontal_right_trimmean,0.0011275951160393078
kolmogorov_complexity_mean_posterior_left_trimmean,0.0015389666458178984
kolmogorov_complexity_mean_posterior_mid_trimmean,0.0009202766852692481
kolmogorov_complexity_mean_posterior_right_trimmean,0.0011060985815742783
psd_relative_alpha_mean_central_left_trimmean,0.001912917737875172
psd_relative_alpha_mean_central_mid_trimmean,0.003223970981077378
psd_relative_alpha_mean_central_right_trimmean,0.0009368724235240404
psd_relative_alpha_mean_frontal_left_trimmean,0.0013725278533788445
psd_relative_alpha_mean_frontal_mid_trimmean,0.0023283771548250603
psd_relative_alpha_mean_frontal_right_trimmean,0.004091029068034699
psd_relative_alpha_mean_posterior_left_trimmean,0.0018212103420755365
psd_relative_alpha_mean_posterior_mid_trimmean,0.0062073013791925594
psd_relative_alpha_mean_posterior_right_trimmean,0.0020194598966914823
psd_relative_beta_mean_central_left_trimmean,0.0029244546371100704
psd_relative_beta_mean_central_mid_trimmean,0.005360206845302003
psd_relative_beta_mean_central_right_trimmean,0.006227049032192283
psd_relative_beta_mean_frontal_left_trimmean,0.0024201143331907433
psd_relative_beta_mean_frontal_mid_trimmean,0.001670486892213946
psd_relative_beta_mean_frontal_right_trimmean,0.002061260595591033
psd_relative_beta_mean_posterior_left_trimmean,0.003234580466485712
psd_relative_beta_mean_posterior_mid_trimmean,0.0013699365433983103
psd_relative_beta_mean_posterior_right_trimmean,0.003010259376404204
psd_relative_delta_mean_central_left_trimmean,0.0016005259467102068
psd_relative_delta_mean_central_mid_trimmean,0.0024653484390230805
psd_relative_delta_mean_central_right_trimmean,0.002262919531987809
psd_relative_delta_mean_frontal_left_trimmean,0.002848942787315058
psd_relative_delta_mean_frontal_mid_trimmean,0.0013922157835181874
psd_relative_delta_mean_frontal_right_trimmean,0.0015576373594541916
psd_relative_delta_mean_posterior_left_trimmean,0.0015855632058848037
psd_relative_delta_mean_posterior_mid_trimmean,0.0012862063590189186
psd_relative_delta_mean_posterior_right_trimmean,0.0017461826983379745
psd_relative_gamma_mean_central_left_trimmean,0.0010528166261701269
psd_relative_gamma_mean_central_mid_trimmean,0.0046762619720554345
psd_relative_gamma_mean_central_right_trimmean,0.0014061887566061183
psd_relative_gamma_mean_frontal_left_trimmean,0.0010418581437718997
