subject,auc,minority_ratio,n_trials
03,0.2777777777777778,0.3076923076923077,13
05,0.41666666666666663,0.4782608695652174,46
06,0.5486111111111112,0.5,48
08,0.41555555555555557,0.4186046511627907,43
11,0.5214285714285715,0.25925925925925924,27
12,0.46875,0.4444444444444444,36
18,0.6804347826086957,0.46511627906976744,43
21,0.33928571428571425,0.2222222222222222,18
22,0.44666666666666666,0.42857142857142855,35
25,0.503030303030303,0.4230769230769231,26
26,0.3910256410256411,0.48,25
27,0.39560439560439564,0.48148148148148145,27
28,0.607843137254902,0.46875,32
29,0.4247619047619048,0.45652173913043476,46
30,0.6333333333333333,0.21052631578947367,19
31,0.6565656565656566,0.45,20
32,0.35743801652892565,0.5,44
34,0.5555555555555555,0.46,50
35,0.8666666666666667,0.45454545454545453,11
37,0.48409090909090907,0.47619047619047616,42
38,0.5249999999999999,0.4444444444444444,36
39,0.24242424242424246,0.21428571428571427,14
42,0.5555555555555556,0.5,12
43,0.41148325358851673,0.4634146341463415,41
