feature_name,mean_importance,std_importance,rank
kolmogorov_complexity_mean_frontal_right_trimmean,0.013148344854362884,,1
wsmi_alpha_mean_central_mid_trimmean,0.012884112736321547,,2
PE_theta_mean_posterior_mid_trimmean,0.009380442703793936,,3
wsmi_gamma_mean_central_mid_trimmean,0.009331723892284621,,4
slowwaves_Slope_mean_central_mid_trimmean,0.00921816993463781,,5
wsmi_alpha_mean_frontal_left_trimmean,0.009177242972634144,,6
kolmogorov_complexity_mean_posterior_mid_trimmean,0.008628156147049797,,7
slowwaves_Density_mean_central_mid_trimmean,0.008612433809591721,,8
psd_relative_delta_mean_central_mid_trimmean,0.008432979591833284,,9
wsmi_beta_mean_frontal_mid_trimmean,0.00837862050995987,,10
kolmogorov_complexity_mean_frontal_left_trimmean,0.008298101796156641,,11
wsmi_theta_mean_frontal_right_trimmean,0.00829382296174424,,12
kolmogorov_complexity_mean_frontal_mid_trimmean,0.00823753183050808,,13
PE_gamma_mean_central_mid_trimmean,0.008210590304949106,,14
slowwaves_Density_mean_posterior_mid_trimmean,0.008121088117776563,,15
wsmi_beta_mean_posterior_left_trimmean,0.00811770905422266,,16
slowwaves_PTP_mean_frontal_left_trimmean,0.007849166217122377,,17
slowwaves_Slope_mean_central_right_trimmean,0.007687466311101878,,18
P3b_mean_centroparietal_midline_trimmean,0.007636940990647566,,19
wsmi_alpha_mean_central_right_trimmean,0.007632858351211413,,20
wsmi_theta_mean_central_left_trimmean,0.007417120749965935,,21
slowwaves_PTP_mean_posterior_right_trimmean,0.007380107265498935,,22
wsmi_alpha_mean_posterior_mid_trimmean,0.007195335201050795,,23
wsmi_beta_mean_central_mid_trimmean,0.0071795116246267275,,24
wsmi_alpha_mean_frontal_mid_trimmean,0.007051776318414408,,25
psd_relative_beta_mean_posterior_mid_trimmean,0.0069895997312944685,,26
psd_relative_delta_mean_central_right_trimmean,0.006921470994164683,,27
wsmi_beta_mean_posterior_right_trimmean,0.006886927130213895,,28
PE_alpha_mean_posterior_right_trimmean,0.006865414830320361,,29
P1_mean_occipitoparietal_lateral_trimmean,0.006850702025497538,,30
slowwaves_Slope_mean_posterior_mid_trimmean,0.006796191877330544,,31
slowwaves_PTP_mean_posterior_mid_trimmean,0.006708409449307423,,32
psd_relative_theta_mean_central_mid_trimmean,0.006592068909478326,,33
wsmi_theta_mean_central_mid_trimmean,0.006588268420924681,,34
PE_beta_mean_central_mid_trimmean,0.006572997138869812,,35
psd_relative_gamma_mean_frontal_right_trimmean,0.006557800603037966,,36
