subject,fold_idx,auc,auprc,mcc,balanced_accuracy,precision,recall,f1,n_samples,n_positive,n_negative,run_idx
03,0,0.2777777777777778,0.662048137048137,-0.4444444444444444,0.2777777777777778,0.5555555555555556,0.5555555555555556,0.5555555555555556,13,9,4,0
05,1,0.41666666666666663,0.49782062387594056,-0.13740858372430334,0.4318181818181818,0.46153846153846156,0.5,0.48,46,24,22,0
06,2,0.5486111111111112,0.545840682266092,-0.08451542547285165,0.4583333333333333,0.4642857142857143,0.5416666666666666,0.5,48,24,24,0
08,3,0.41555555555555557,0.5712354094048484,-0.16887426837300737,0.41444444444444445,0.5,0.44,0.46808510638297873,43,25,18,0
11,4,0.5214285714285715,0.3521108521108521,0.01889822365046136,0.5107142857142857,0.26666666666666666,0.5714285714285714,0.36363636363636365,27,7,20,0
12,5,0.46875,0.4196700860591525,0.15811388300841897,0.575,0.5,0.75,0.6,36,16,20,0
18,6,0.6804347826086957,0.7534941213976781,0.148094197041135,0.5695652173913044,0.5862068965517241,0.7391304347826086,0.6538461538461539,43,23,20,0
21,7,0.33928571428571425,0.7763410026015067,-0.05976143046671968,0.4642857142857143,0.75,0.42857142857142855,0.5454545454545454,18,14,4,0
22,8,0.44666666666666666,0.4523299613137144,-0.05120915564991892,0.475,0.4090909090909091,0.6,0.4864864864864865,35,15,20,0
25,9,0.503030303030303,0.5751623714922948,0.05454545454545454,0.5272727272727272,0.6,0.6,0.6,26,15,11,0
26,10,0.3910256410256411,0.4813063623372496,-0.11613144917081457,0.4423076923076923,0.45454545454545453,0.38461538461538464,0.4166666666666667,25,13,12,0
27,11,0.39560439560439564,0.5506252589424566,0.02842561369430512,0.5137362637362638,0.5,0.38461538461538464,0.43478260869565216,27,13,14,0
28,12,0.607843137254902,0.56006845043797,0.30903173899329384,0.6392156862745098,0.5652173913043478,0.8666666666666667,0.6842105263157895,32,15,17,0
29,13,0.4247619047619048,0.5116826214422122,-0.08357108940373449,0.4580952380952381,0.5,0.44,0.46808510638297873,46,25,21,0
30,14,0.6333333333333333,0.8169189582347476,0.2857738033247041,0.675,0.9,0.6,0.72,19,15,4,0
31,15,0.6565656565656566,0.7244482649351774,0.08206099398622181,0.5404040404040404,0.5833333333333334,0.6363636363636364,0.6086956521739131,20,11,9,0
32,16,0.35743801652892565,0.4441944804448923,-0.22941573387056177,0.38636363636363635,0.4,0.45454545454545453,0.425531914893617,44,22,22,0
34,17,0.5555555555555555,0.5744901845590653,-0.016382439572766347,0.49194847020933974,0.5333333333333333,0.5925925925925926,0.5614035087719298,50,27,23,0
35,18,0.8666666666666667,0.8734126984126983,0.6333333333333333,0.8166666666666667,0.8333333333333334,0.8333333333333334,0.8333333333333334,11,6,5,0
37,19,0.48409090909090907,0.5277876063991628,0.05,0.525,0.55,0.5,0.5238095238095238,42,22,20,0
38,20,0.5249999999999999,0.4596472945583477,0.11180339887498948,0.55625,0.5,0.5625,0.5294117647058824,36,16,20,0
39,21,0.24242424242424246,0.677000777000777,-0.025949964805384102,0.48484848484848486,0.7777777777777778,0.6363636363636364,0.7,14,11,3,0
42,22,0.5555555555555556,0.5652777777777778,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,12,6,6,0
43,23,0.41148325358851673,0.48836317565743026,-0.12410536538736426,0.43779904306220097,0.4,0.42105263157894735,0.41025641025641024,41,19,22,0
