feature,true_rank,true_mean,true_std,perm_mean_same_feature,perm_std_same_feature,perm_mean_same_rank,perm_std_same_rank
kolmogorov_complexity_mean_central_left_trimmean,1,0.008196026876106342,0.0012018007569286346,0.0018066837519247964,0.0011232260643704289,0.008114329225936823,0.0020722493344862347
slowwaves_PTP_mean_central_right_trimmean,2,0.006565292328917448,0.0011844875286863709,0.001820762099158354,0.0011861514880864557,0.0065067525131135544,0.0012558650347327428
psd_relative_alpha_mean_posterior_right_trimmean,3,0.005261340855212161,0.0012677457086924379,0.001525980888294071,0.0007635167171255047,0.0057163149151848265,0.0009593556104728778
slowwaves_Slope_mean_central_right_trimmean,4,0.00522949255469129,0.0008061492130816522,0.0016576475647420551,0.00098661115405742,0.00520710418722707,0.0007758904552027765
psd_relative_gamma_mean_frontal_mid_trimmean,5,0.0051788458784971896,0.0012124929978829298,0.0015540325852003876,0.0009011922221569173,0.004841322543297412,0.0006707747529402475
kolmogorov_complexity_mean_central_right_trimmean,6,0.004903163663837289,0.0006852283716108262,0.0017300629363077853,0.001128596790193306,0.0045451596476702135,0.0005769663842015123
wsmi_alpha_mean_posterior_left_trimmean,7,0.004623058621090104,0.0010302241703604449,0.001946972928911296,0.0014644413642789546,0.004304267290179151,0.000501568072778034
wsmi_alpha_mean_central_right_trimmean,8,0.004445473365086696,0.0009365413484176172,0.0017957273811773941,0.0011580125345783314,0.004100562181981875,0.000460375176424532
kolmogorov_complexity_mean_frontal_left_trimmean,9,0.004250592103850215,0.0011085820300125455,0.0017038816390583236,0.0010633791435692645,0.003926628391886117,0.00040661023523887743
slowwaves_Frequency_mean_central_right_trimmean,10,0.004167245048683277,0.000960125987884115,0.0015525553298203689,0.0008411655783066196,0.003774158822132197,0.0003752212721300997
kolmogorov_complexity_mean_posterior_mid_trimmean,11,0.00396062711169497,0.00101273196247641,0.001835967083277747,0.001173331232875743,0.003639077424048396,0.0003559827716801011
P3b_mean_centroparietal_midline_trimmean,12,0.003829988190817212,0.0009796661485715272,0.0019948218824590593,0.0014432196455886584,0.0035161351077847955,0.0003264614638744203
wsmi_theta_mean_posterior_mid_trimmean,13,0.0036523429737019587,0.0009243759767543418,0.0018909238196742493,0.001273553074747597,0.0034024665065552316,0.00029875516078992136
slowwaves_Slope_mean_posterior_left_trimmean,14,0.0036178975729771164,0.0007368053322066873,0.0017699413964857818,0.0012190042529388128,0.0033038539518129616,0.0002782162410041155
PE_beta_mean_frontal_mid_trimmean,15,0.003442765975993819,0.0009249323332809243,0.0015244259519719841,0.000852844573231538,0.0032124351597297577,0.00026423853634187204
wsmi_theta_mean_central_left_trimmean,16,0.0033898222337467284,0.000601792008928462,0.0019241078718475648,0.0012944598403256654,0.003130442890430407,0.0002529008432592984
kolmogorov_complexity_mean_posterior_left_trimmean,17,0.003380095457793969,0.0005987986583795902,0.0017864449310176103,0.0010620425316259236,0.003051704024505888,0.00024674677034053523
psd_relative_delta_mean_frontal_left_trimmean,18,0.003311009816023608,0.0008357618512721427,0.0016421605415651655,0.0012025854824422118,0.0029778271290102688,0.00023553690798107856
kolmogorov_complexity_mean_posterior_right_trimmean,19,0.0032268930301303633,0.0005130041562060335,0.0017127517574155586,0.0010269675069020437,0.0029083917813257144,0.00022539757778996947
slowwaves_Duration_mean_central_right_trimmean,20,0.003072127183416498,0.0006912887403203126,0.0015909907128843742,0.0009090665122995068,0.0028506556633243994,0.00022080526315927898
