subject,true_mean,true_median,perm_mean,perm_median,empirical_p,significant,stars
3,0.5531424148606812,0.5572755417956656,0.5022167182662538,0.5015479876160991,0.298,0,
4,0.5912820512820514,0.5961538461538461,0.5004230769230769,0.4871794871794871,0.252,0,
5,0.5976,0.595,0.5017,0.5,0.108,0,
6,0.5055113636363636,0.5104166666666667,0.4998787878787878,0.4981060606060605,0.454,0,
8,0.5817965367965369,0.5833333333333333,0.4983138528138528,0.4924242424242424,0.162,0,
9,0.5181372549019607,0.5318627450980392,0.5027254901960785,0.5024509803921569,0.45,0,
10,0.5617857142857143,0.5571428571428572,0.4947714285714286,0.4928571428571429,0.232,0,
12,0.5420238095238095,0.5571428571428572,0.5026952380952381,0.5119047619047619,0.358,0,
18,0.4629166666666667,0.4672619047619047,0.49995833333333334,0.494047619047619,0.682,0,
21,0.3950961538461539,0.3942307692307692,0.5034423076923077,0.5192307692307692,0.794,0,
22,0.4492642140468227,0.4431438127090301,0.5043478260869565,0.5058528428093645,0.762,0,
24,0.4134523809523809,0.4047619047619047,0.500595238095238,0.5,0.838,0,
25,0.45375,0.4583333333333333,0.49295833333333333,0.5,0.672,0,
26,0.531344537815126,0.5210084033613445,0.5002268907563026,0.5084033613445378,0.406,0,
27,0.48892857142857143,0.5,0.498,0.5,0.562,0,
28,0.5316666666666667,0.5350877192982456,0.4976140350877193,0.5087719298245614,0.408,0,
29,0.5005952380952382,0.4988095238095238,0.49381904761904766,0.4833333333333333,0.448,0,
30,0.48315384615384616,0.4807692307692308,0.49767692307692313,0.4923076923076923,0.566,0,
31,0.5229761904761905,0.5238095238095238,0.5006190476190476,0.49404761904761907,0.468,0,
32,0.6275271739130436,0.6290760869565217,0.5043315217391304,0.5108695652173914,0.052,0,
34,0.5369391304347826,0.5278260869565217,0.5018713043478261,0.5026086956521739,0.308,0,
37,0.4504523809523809,0.44880952380952377,0.4979047619047619,0.4880952380952381,0.694,0,
38,0.5507777777777778,0.5444444444444445,0.49911111111111106,0.5,0.32,0,
39,0.41138888888888886,0.4166666666666666,0.49661111111111106,0.5,0.87,0,
40,0.6599107142857144,0.6607142857142857,0.4984642857142857,0.4970238095238095,0.062,0,
41,0.5242142857142857,0.5214285714285715,0.5053571428571428,0.4928571428571429,0.388,0,
42,0.7108235294117649,0.723529411764706,0.5021764705882352,0.4941176470588235,0.04,1,*
43,0.5159230769230768,0.5192307692307692,0.5059384615384616,0.5,0.454,0,
