subject,auc,minority_ratio,n_trials
03,0.47777777777777775,0.4444444444444444,27
04,0.6349206349206349,0.391304347826087,23
05,0.5454545454545454,0.3888888888888889,36
06,0.5670289855072463,0.48936170212765956,47
08,0.6689342403628118,0.5,42
09,0.5066666666666667,0.4,25
10,0.5555555555555556,0.42857142857142855,21
11,0.5714285714285714,0.3,10
12,0.53125,0.47058823529411764,34
15,0.5535714285714286,0.4666666666666667,15
18,0.44347826086956527,0.46511627906976744,43
21,0.5909090909090908,0.42105263157894735,19
22,0.528,0.4444444444444444,45
24,0.4285714285714286,0.2692307692307692,26
25,0.36410256410256414,0.4642857142857143,28
26,0.40166204986149584,0.5,38
27,0.43137254901960786,0.46875,32
28,0.6555023923444976,0.36666666666666664,30
29,0.4074074074074074,0.5,36
30,0.33613445378151263,0.45161290322580644,31
31,0.4375,0.36363636363636365,22
32,0.5072727272727273,0.46808510638297873,47
34,0.41927083333333337,0.4,40
37,0.4074074074074074,0.46153846153846156,39
38,0.5481481481481482,0.375,24
39,0.3359375,0.5,32
40,0.576923076923077,0.5,52
41,0.37662337662337664,0.3888888888888889,18
42,0.6416666666666667,0.34782608695652173,23
43,0.49885583524027466,0.4523809523809524,42
