subject,auc,subject_median,dist_from_50
03,0.47777777777777775,51.0,1.0
04,0.6349206349206349,55.0,5.0
05,0.5454545454545454,72.5,22.5
06,0.5670289855072463,51.0,1.0
08,0.6689342403628118,47.5,2.5
09,0.5066666666666667,78.0,28.0
10,0.5555555555555556,34.0,16.0
11,0.5714285714285714,52.0,2.0
12,0.53125,50.0,0.0
15,0.5535714285714286,50.0,0.0
18,0.44347826086956527,69.0,19.0
21,0.5909090909090908,47.0,3.0
22,0.528,68.0,18.0
24,0.4285714285714286,63.5,13.5
25,0.36410256410256414,49.5,0.5
26,0.40166204986149584,50.0,0.0
27,0.43137254901960786,54.0,4.0
28,0.6555023923444976,58.5,8.5
29,0.4074074074074074,51.5,1.5
30,0.33613445378151263,46.0,4.0
31,0.4375,60.0,10.0
32,0.5072727272727273,51.0,1.0
34,0.41927083333333337,67.5,17.5
37,0.4074074074074074,53.0,3.0
38,0.5481481481481482,32.5,17.5
39,0.3359375,59.5,9.5
40,0.576923076923077,51.5,1.5
41,0.37662337662337664,60.0,10.0
42,0.6416666666666667,63.0,13.0
43,0.49885583524027466,61.5,11.5
