feature_name,mean_importance,std_importance,rank
slowwaves_Slope_mean_central_right_trimmean,0.015512277989258083,,1
wsmi_gamma_mean_central_mid_trimmean,0.009277823197318975,,2
wsmi_gamma_mean_posterior_right_trimmean,0.00924012057299241,,3
wsmi_alpha_mean_central_right_trimmean,0.009152721278310717,,4
PE_alpha_mean_frontal_left_trimmean,0.008981880452396597,,5
wsmi_alpha_mean_posterior_mid_trimmean,0.008831352768398556,,6
kolmogorov_complexity_mean_posterior_left_trimmean,0.008750649556715617,,7
wsmi_theta_mean_central_left_trimmean,0.008508629098680713,,8
psd_relative_beta_mean_frontal_left_trimmean,0.00836003783029755,,9
PE_beta_mean_frontal_mid_trimmean,0.008330452187307357,,10
wsmi_beta_mean_central_right_trimmean,0.00830148090251994,,11
wsmi_beta_mean_posterior_right_trimmean,0.008245994318648602,,12
PE_alpha_mean_posterior_right_trimmean,0.008224743355622087,,13
wsmi_theta_mean_frontal_mid_trimmean,0.008186966933682965,,14
PE_alpha_mean_central_right_trimmean,0.007824962010607919,,15
kolmogorov_complexity_mean_central_left_trimmean,0.007641916514740973,,16
kolmogorov_complexity_mean_central_mid_trimmean,0.007569315393082529,,17
psd_relative_delta_mean_central_left_trimmean,0.007547559519896047,,18
wsmi_alpha_mean_central_left_trimmean,0.007547463258104293,,19
kolmogorov_complexity_mean_central_right_trimmean,0.007516982194803579,,20
psd_relative_beta_mean_central_left_trimmean,0.0075053962475262305,,21
slowwaves_Duration_mean_frontal_right_trimmean,0.007503295281179086,,22
P3a_mean_frontocentral_midline_trimmean,0.007447321647917973,,23
slowwaves_Frequency_mean_frontal_right_trimmean,0.00725110360384807,,24
PE_gamma_mean_frontal_mid_trimmean,0.007247147984522558,,25
wsmi_alpha_mean_posterior_right_trimmean,0.007181553649974559,,26
kolmogorov_complexity_mean_frontal_left_trimmean,0.007124477811076753,,27
P1_mean_occipitoparietal_lateral_trimmean,0.007111806350026236,,28
psd_relative_theta_mean_posterior_left_trimmean,0.007088706921485725,,29
psd_relative_alpha_mean_frontal_left_trimmean,0.006939674324973275,,30
psd_relative_gamma_mean_frontal_mid_trimmean,0.006905935981810233,,31
wsmi_gamma_mean_frontal_left_trimmean,0.006725522030972629,,32
psd_relative_beta_mean_central_right_trimmean,0.006675729414249614,,33
N1_mean_occipitoparietal_lateral_trimmean,0.006653967354278594,,34
psd_relative_alpha_mean_central_left_trimmean,0.006607530309595767,,35
