subject,fold_idx,auc,auprc,mcc,balanced_accuracy,precision,recall,f1,n_samples,n_positive,n_negative,run_idx
03,0,0.47777777777777775,0.48781383037675935,0.05,0.525,0.4666666666666667,0.5833333333333334,0.5185185185185185,27,12,15,0
04,1,0.6349206349206349,0.7031168890481093,0.33519554521581,0.6507936507936507,0.7058823529411765,0.8571428571428571,0.7741935483870968,23,14,9,0
05,2,0.5454545454545454,0.6231502808459907,-0.06975029703385761,0.4642857142857143,0.35294117647058826,0.42857142857142855,0.3870967741935484,36,14,22,0
06,3,0.5670289855072463,0.5402289241235562,0.023679770670181934,0.5117753623188406,0.5,0.5652173913043478,0.5306122448979592,47,23,24,0
08,4,0.6689342403628118,0.6445572396549489,0.28603877677367767,0.6428571428571428,0.6363636363636364,0.6666666666666666,0.6511627906976745,42,21,21,0
09,5,0.5066666666666667,0.699913949463687,0.03268602252303067,0.5166666666666666,0.6153846153846154,0.5333333333333333,0.5714285714285714,25,15,10,0
10,6,0.5555555555555556,0.45822510822510826,0.24771684715343112,0.625,0.5454545454545454,0.6666666666666666,0.6,21,9,12,0
11,7,0.5714285714285714,0.5777777777777777,-0.0890870806374748,0.45238095238095233,0.25,0.3333333333333333,0.2857142857142857,10,3,7,0
12,8,0.53125,0.5203792328270507,0.18055555555555555,0.5902777777777778,0.5555555555555556,0.625,0.5882352941176471,34,16,18,0
15,9,0.5535714285714286,0.7256933542647828,0.472455591261534,0.7232142857142857,0.8,0.5714285714285714,0.6666666666666666,15,7,8,0
18,10,0.44347826086956527,0.46192437878545045,-0.10917134657869827,0.44565217391304346,0.4166666666666667,0.5,0.45454545454545453,43,20,23,0
21,11,0.5909090909090908,0.5235911749069644,0.29545454545454547,0.6477272727272727,0.5454545454545454,0.75,0.631578947368421,19,8,11,0
22,12,0.528,0.5877836464923742,0.04099600308453939,0.52,0.5714285714285714,0.64,0.6037735849056604,45,25,20,0
24,13,0.4285714285714286,0.7269964317468232,-0.13379797308309913,0.424812030075188,0.6666666666666666,0.42105263157894735,0.5161290322580645,26,19,7,0
25,14,0.36410256410256414,0.4240467497323685,-0.28205128205128205,0.358974358974359,0.3333333333333333,0.38461538461538464,0.35714285714285715,28,13,15,0
26,15,0.40166204986149584,0.4410283464917332,-0.11322770341445958,0.4473684210526315,0.46153846153846156,0.631578947368421,0.5333333333333333,38,19,19,0
27,16,0.43137254901960786,0.4915074679148123,-0.020601266687222692,0.4901960784313726,0.5238095238095238,0.6470588235294118,0.5789473684210527,32,17,15,0
28,17,0.6555023923444976,0.8191387495560329,0.29578954665861423,0.65311004784689,0.7857142857142857,0.5789473684210527,0.6666666666666666,30,19,11,0
29,18,0.4074074074074074,0.4520667007513767,-0.11396057645963795,0.4444444444444444,0.45454545454545453,0.5555555555555556,0.5,36,18,18,0
30,19,0.33613445378151263,0.4225646331210484,-0.15899720766358738,0.4201680672268907,0.375,0.42857142857142855,0.4,31,14,17,0
31,20,0.4375,0.6558654163419755,-0.12076147288491199,0.4375,0.5833333333333334,0.5,0.5384615384615384,22,14,8,0
32,21,0.5072727272727273,0.5252351257419741,0.07764475599788624,0.5381818181818182,0.5,0.6363636363636364,0.56,47,22,25,0
34,22,0.41927083333333337,0.4152170482854768,-0.10540925533894599,0.44791666666666663,0.36,0.5625,0.43902439024390244,40,16,24,0
37,23,0.4074074074074074,0.4838844854122354,0.008132500607904443,0.503968253968254,0.5416666666666666,0.6190476190476191,0.5777777777777777,39,21,18,0
38,24,0.5481481481481482,0.42092399249261997,0.04364357804719848,0.5222222222222221,0.4,0.4444444444444444,0.42105263157894735,24,9,15,0
39,25,0.3359375,0.505226050792305,-0.375,0.3125,0.3125,0.3125,0.3125,32,16,16,0
40,26,0.576923076923077,0.626678364275984,0.19596545041740515,0.5961538461538461,0.5806451612903226,0.6923076923076923,0.631578947368421,52,26,26,0
41,27,0.37662337662337664,0.5581770428027113,-0.08058229640253803,0.461038961038961,0.5833333333333334,0.6363636363636364,0.6086956521739131,18,11,7,0
42,28,0.6416666666666667,0.7061777873542578,0.349697526139891,0.6791666666666667,0.7857142857142857,0.7333333333333333,0.7586206896551724,23,15,8,0
43,29,0.49885583524027466,0.5573430326053369,0.10034266234051957,0.5503432494279177,0.6,0.5217391304347826,0.5581395348837209,42,23,19,0
