subject,true_mean,true_median,perm_mean,perm_median,empirical_p,significant,stars
2,0.10603279210171447,0.1256846240156639,0.0002967088143695087,-0.0237467845072988,0.258,0,
4,-0.01825774734893481,0.0,-0.006128560250241439,0.0,0.502,0,
6,-0.013383636211299083,0.0109178286685286,0.00035398106654203865,0.0035298905920306,0.54,0,
8,0.2293481675604317,0.2132822477650063,-0.0059415371844148,-0.0012771392081736,0.044,1,*
13,-0.07810741387258145,-0.0975900072948533,0.005877474052389673,0.0,0.63,0,
14,0.3084600911083067,0.3055050463303893,-0.0011123803370946784,0.0037986858819879,0.018,1,*
18,0.2901435915556435,0.2805142064006167,-0.0010713710855444162,-0.01602766870314495,0.034,1,*
24,0.3727238988896776,0.3595462477533374,-0.0004035108885584386,-0.00160643036657285,0.006,1,**
26,0.1271317289876208,0.1172413793103448,-0.0074754171533591195,-0.005528739417995849,0.134,0,
27,0.04029077769711434,0.0377964473009227,-0.010403226147252044,-0.0125,0.368,0,
34,-0.1446763605228158,-0.15407475190412284,0.0031157787519733517,0.0,0.846,0,
35,0.06379243838394041,0.0741249316661101,-0.005214105218841645,0.0,0.35,0,
40,0.0948564756383901,0.0820609939862218,-0.005370809874916802,-0.0101010101010101,0.268,0,
43,0.04961913895289162,0.0515761429555127,-0.012308427728525539,-0.0199714896505092,0.344,0,
