subject,true_mean,true_median,perm_mean,perm_median,empirical_p,significant,stars
2,0.656909090909091,0.6545454545454545,0.4898727272727273,0.5,0.09,0,
3,0.7830000000000001,0.7818181818181819,0.5075272727272727,0.5090909090909091,0.012,1,*
4,0.5246254458977408,0.5249702734839476,0.4998192627824019,0.4988109393579072,0.368,0,
5,0.4989935064935064,0.5,0.4936168831168831,0.4918831168831168,0.478,0,
6,0.5890782608695653,0.5895652173913044,0.5010191304347826,0.4982608695652173,0.16,0,
8,0.5117701863354037,0.514751552795031,0.49798447204968943,0.4968944099378882,0.45,0,
10,0.5592857142857143,0.5357142857142858,0.4966428571428571,0.5,0.386,0,
12,0.617953216374269,0.6140350877192983,0.5000701754385964,0.4970760233918129,0.17,0,
19,0.1904761904761904,0.1904761904761904,0.5107619047619048,0.5238095238095237,0.95,0,
21,0.5404166666666668,0.5416666666666667,0.5016999999999999,0.5,0.38,0,
22,0.4393333333333333,0.4393939393939394,0.4995757575757576,0.496969696969697,0.686,0,
24,0.6908985507246379,0.6956521739130435,0.49755362318840585,0.4985507246376811,0.016,1,*
25,0.8151944444444446,0.8180555555555555,0.49854444444444435,0.5027777777777778,0.0,1,***
26,0.527991452991453,0.532051282051282,0.49704273504273505,0.4957264957264957,0.358,0,
28,0.332,0.3428571428571428,0.5088571428571428,0.5142857142857142,0.84,0,
29,0.3329365079365079,0.3346560846560846,0.49297354497354495,0.4907407407407407,0.956,0,
30,0.6159090909090909,0.6233766233766234,0.49581818181818177,0.5,0.144,0,
31,0.58,0.5833333333333334,0.49525,0.5,0.35,0,
32,0.5493452380952382,0.5535714285714286,0.48971428571428566,0.494047619047619,0.29,0,
34,0.5557342657342658,0.5541958041958042,0.4923496503496503,0.4965034965034965,0.258,0,
35,0.6671652421652421,0.6702279202279202,0.5007692307692307,0.5,0.024,1,*
36,0.5069082125603864,0.5024154589371981,0.5135265700483091,0.5217391304347826,0.558,0,
37,0.3840625,0.375,0.4939375,0.5,0.722,0,
38,0.36466666666666675,0.3666666666666667,0.5011333333333333,0.5083333333333333,0.842,0,
40,0.5273321234119781,0.5281306715063521,0.49866787658802175,0.499092558983666,0.352,0,
42,0.5164835164835165,0.5164835164835165,0.501978021978022,0.5054945054945055,0.466,0,
43,0.5995343137254902,0.5968137254901961,0.4976519607843137,0.4975490196078431,0.15,0,
