subject,true_mean,true_median,perm_mean,perm_median,empirical_p,significant,stars
2,0.6837147453037159,0.6862247010815121,0.5390379600095466,0.5309928715075773,0.1,0,
3,0.7738301035350956,0.7798779651720829,0.547807756478987,0.5392132173382174,0.02,1,*
4,0.5961482600756848,0.5960676443764734,0.5323485142863715,0.5279015352337282,0.178,0,
5,0.6213694706197704,0.6228141142862644,0.6436958080784559,0.6366436513098932,0.564,0,
6,0.5441004129999976,0.5429079325922822,0.5195561550914931,0.509605704609108,0.35,0,
8,0.47684014284702536,0.4769937183449606,0.48773252267837,0.4859196296789551,0.554,0,
10,0.5244678932178932,0.5325757575757576,0.4927680375180375,0.4611111111111111,0.364,0,
12,0.5141734747375293,0.5126889192678666,0.39508158232133284,0.37971949074890243,0.126,0,
19,0.25809788359788355,0.25,0.45568439153439144,0.4111111111111111,0.92,0,
21,0.7704572963423011,0.7717270244898458,0.6960385329660392,0.6881140662406646,0.23,0,
22,0.5808574948574605,0.5781237127315334,0.6258286651506014,0.6192512479643317,0.654,0,
24,0.6729762147069731,0.6764006077578115,0.44616295252407984,0.4360054024539069,0.006,1,**
25,0.891084482541414,0.8912339086811193,0.6443446657566082,0.6437762466226062,0.0,1,***
26,0.4907045640818123,0.48871493628320495,0.4533108722215896,0.440078110120829,0.288,0,
28,0.38655577200577196,0.38462121212121214,0.5349221212121211,0.5142857142857142,0.846,0,
29,0.46360430686635434,0.4671131416986196,0.5724408447546222,0.5655963121830163,0.938,0,
30,0.5374789267747078,0.5309345960825573,0.5000735525924901,0.48456122928454937,0.31,0,
31,0.7554682539682538,0.7661706349206349,0.6828443121693122,0.6731150793650793,0.292,0,
32,0.835335448419476,0.8368944047115028,0.7926715174486492,0.7937250442072981,0.238,0,
34,0.5373614433531669,0.537409855020182,0.49382012612407833,0.48989582378530916,0.29,0,
35,0.6722990951969475,0.6731976256978092,0.5456355584972711,0.5435400785587473,0.034,1,*
36,0.7762698494079696,0.7777246832118252,0.7541074473752097,0.7557963094514359,0.366,0,
37,0.20135208596228332,0.19475290791080258,0.30644769528072546,0.26164154472977996,0.754,0,
38,0.7229513024429953,0.7255211028249879,0.7965271162794781,0.7985949214912906,0.842,0,
40,0.4060401010437746,0.40396497636350004,0.43875544933536376,0.43370805012727637,0.636,0,
42,0.6714286953057793,0.6730966233496598,0.6987024532114969,0.697390920284764,0.612,0,
43,0.6068557755836376,0.6085378681548902,0.4628729085282994,0.4537028322928477,0.042,1,*
