subject,true_mean,true_median,perm_mean,perm_median,empirical_p,significant,stars
2,0.6,0.6181818181818182,0.4930636363636363,0.4818181818181818,0.176,0,
3,0.6884545454545458,0.6681818181818182,0.5097181818181818,0.5227272727272727,0.042,1,*
4,0.5120689655172413,0.5172413793103449,0.5013793103448275,0.5,0.46,0,
5,0.5011688311688313,0.4967532467532467,0.4970649350649351,0.4967532467532467,0.456,0,
6,0.5543217391304347,0.5591304347826087,0.5004382608695652,0.5008695652173913,0.25,0,
8,0.511972049689441,0.5108695652173914,0.4971506211180124,0.49417701863354035,0.408,0,
10,0.5344642857142857,0.5357142857142857,0.49685714285714283,0.49107142857142855,0.452,0,
12,0.557280701754386,0.5526315789473685,0.503719298245614,0.5087719298245614,0.294,0,
19,0.2657142857142857,0.238095238095238,0.5107619047619048,0.5238095238095238,0.926,0,
21,0.5339166666666665,0.55,0.5016166666666667,0.5125,0.392,0,
22,0.49869696969696975,0.5060606060606061,0.5000666666666667,0.5060606060606061,0.508,0,
24,0.6296376811594202,0.6326086956521739,0.4962637681159421,0.4956521739130435,0.036,1,*
25,0.7553750000000001,0.7604166666666666,0.5020583333333333,0.5041666666666667,0.0,1,***
26,0.516111111111111,0.5106837606837606,0.4975854700854701,0.5,0.422,0,
28,0.4389999999999999,0.4142857142857142,0.5092857142857142,0.5142857142857142,0.696,0,
29,0.3553174603174603,0.35119047619047616,0.49419841269841264,0.4900793650793651,0.958,0,
30,0.5933441558441559,0.5941558441558441,0.49743506493506495,0.4967532467532467,0.21,0,
31,0.5579166666666666,0.5416666666666667,0.4865833333333333,0.5,0.334,0,
32,0.4627083333333333,0.4642857142857143,0.49734523809523806,0.494047619047619,0.642,0,
34,0.5418531468531469,0.5472027972027972,0.4929755244755244,0.49388111888111885,0.278,0,
35,0.6424358974358975,0.6431623931623931,0.49887606837606835,0.4932336182336182,0.022,1,*
36,0.4923671497584541,0.4951690821256038,0.5088115942028986,0.5144927536231884,0.604,0,
37,0.41625,0.40625,0.4923125,0.5,0.684,0,
38,0.40074999999999994,0.3916666666666666,0.498,0.5,0.776,0,
40,0.5198820326678767,0.5217785843920145,0.4986914700544464,0.5004537205081669,0.402,0,
42,0.5103846153846154,0.5164835164835164,0.5009560439560439,0.510989010989011,0.502,0,
43,0.5704656862745099,0.5735294117647058,0.49771568627450985,0.4975490196078431,0.168,0,
