subject,true_mean,true_median,perm_mean,perm_median,empirical_p,significant,stars
5,0.7477992857142857,0.7483035714285714,0.606022134920635,0.6038730158730159,0.05,0,
6,0.5701882936507937,0.5783789682539684,0.610335873015873,0.6077539682539683,0.642,0,
8,0.7297333333333333,0.7288888888888889,0.5619044444444444,0.5566666666666666,0.082,0,
10,0.9282222222222223,0.9166666666666666,0.6947333333333333,0.7,0.012,1,*
12,0.8639027777777778,0.866388888888889,0.6216377777777777,0.6171428571428571,0.008,1,**
14,0.578111111111111,0.5777777777777777,0.5825333333333333,0.5833333333333333,0.508,0,
15,0.8705857142857141,0.8666666666666666,0.6285780952380954,0.6257936507936508,0.002,1,**
19,0.9117555555555557,0.9233333333333336,0.6578788888888889,0.6533333333333333,0.016,1,*
22,0.6523277777777778,0.6588888888888889,0.6192733333333333,0.6194444444444445,0.386,0,
23,0.4816666666666667,0.4666666666666666,0.47306666666666675,0.4666666666666666,0.036,1,*
24,0.9671555555555555,0.9666666666666666,0.5921966666666667,0.5825,0.0,1,***
25,0.6692773412698411,0.6742023809523809,0.6015609365079365,0.5961031746031746,0.25,0,
28,0.5921309523809524,0.5900000000000001,0.6294193650793651,0.6244444444444445,0.612,0,
29,0.7105990476190476,0.7091428571428571,0.6171800873015872,0.6099325396825397,0.168,0,
30,0.9251227777777778,0.9261190476190477,0.6121282063492063,0.6121071428571428,0.0,1,***
31,0.5420182539682539,0.5349603174603175,0.6255184920634922,0.6224603174603174,0.78,0,
32,0.8287630158730158,0.8342857142857143,0.6146461587301587,0.6057440476190477,0.006,1,**
35,0.6866666666666665,0.685,0.5667133333333334,0.5549999999999999,0.234,0,
37,0.723619880952381,0.7216527777777778,0.6053068015873017,0.6025694444444445,0.094,0,
38,0.5757337301587301,0.5820238095238095,0.6204098412698413,0.6142261904761905,0.684,0,
40,0.7276777777777776,0.7324999999999999,0.5919033333333333,0.585,0.136,0,
41,0.5351119047619047,0.5291071428571429,0.6431925396825398,0.646626984126984,0.848,0,
42,0.6212944444444445,0.6269444444444443,0.6288233333333333,0.6263888888888889,0.528,0,
