subject,true_mean,true_median,perm_mean,perm_median,empirical_p,significant,stars
5,0.6398499999999999,0.635,0.49516,0.505,0.064,0,
6,0.48594999999999994,0.485,0.50019,0.5,0.538,0,
8,0.5654999999999999,0.5666666666666667,0.49595,0.4916666666666666,0.284,0,
10,0.7883333333333333,0.8,0.5022,0.5,0.022,1,*
12,0.8705833333333333,0.875,0.5077166666666666,0.5083333333333333,0.0,1,***
14,0.33299999999999996,0.3333333333333333,0.5015666666666666,0.5,0.908,0,
15,0.8275,0.8300000000000001,0.5074833333333334,0.5083333333333333,0.0,1,***
19,0.7765,0.7749999999999999,0.5013,0.5,0.014,1,*
22,0.5413333333333332,0.5499999999999999,0.49596666666666656,0.5,0.368,0,
23,0.505,0.5,0.5002,0.5,0.022,1,*
24,0.7669166666666665,0.7666666666666666,0.49889999999999995,0.5,0.016,1,*
25,0.56605,0.5650000000000001,0.50195,0.5050000000000001,0.264,0,
28,0.5404999999999999,0.54,0.49688333333333334,0.5,0.394,0,
29,0.5674500000000001,0.5700000000000001,0.50333,0.5050000000000001,0.256,0,
30,0.8105499999999998,0.8125000000000001,0.5014700000000001,0.5075000000000001,0.0,1,***
31,0.47416666666666657,0.47916666666666663,0.49731666666666663,0.5,0.61,0,
32,0.7282500000000001,0.735,0.49289,0.495,0.012,1,*
35,0.5403333333333332,0.55,0.5046999999999999,0.5,0.39,0,
37,0.6363499999999999,0.64,0.49933,0.5,0.06,0,
38,0.4461666666666666,0.45,0.49411666666666665,0.4916666666666666,0.688,0,
40,0.6244999999999998,0.6333333333333332,0.49026666666666663,0.4833333333333333,0.144,0,
41,0.381,0.3833333333333333,0.5071,0.5083333333333333,0.88,0,
42,0.5344166666666667,0.5416666666666666,0.49603333333333327,0.5,0.332,0,
