subject,true_mean,true_median,perm_mean,perm_median,empirical_p,significant,stars
5,0.29688663373899926,0.2947697441609842,-0.011257300835726642,0.00702610088079415,0.056,0,
6,-0.028637224050464805,-0.034852246601918296,0.0005974237853152041,0.005339859052946601,0.548,0,
8,0.1406217347750763,0.13929193645290855,-0.010065905508359896,-0.02244760564807005,0.272,0,
10,0.5934572285802805,0.6,0.003255216015993542,0.0,0.022,1,*
12,0.7603694591924088,0.7737653710019838,0.015858302215108606,0.01178511301977575,0.0,1,***
14,-0.35020336249817335,-0.35534180126147963,0.002497606774342521,0.0,0.902,0,
15,0.6761174225534399,0.6738546243082022,0.016782307244151418,0.0150759147498277,0.0,1,***
19,0.5849219507351627,0.5838625133558213,0.0014367916387247061,0.0020620726159657557,0.01,1,*
22,0.09175534598684881,0.1023636379101317,-0.01063675737971691,0.0,0.358,0,
23,0.01,0.0,0.00040000000000000034,0.0,0.022,1,*
24,0.5372594145353561,0.5333333333333333,-0.0013043707134506412,0.0,0.02,1,*
25,0.13890348939734343,0.13955540214027845,0.004879173269124883,0.01496722709326305,0.282,0,
28,0.0800985237892511,0.0685241936533718,-0.0070255420176608754,0.00531400980823875,0.384,0,
29,0.14628251984675325,0.14942772457648068,0.006964809328778612,0.0116227766016837,0.252,0,
30,0.6472962606877846,0.6562463746963574,0.001715713403234985,0.0132321124578231,0.0,1,***
31,-0.056394004067131985,-0.043340757961568596,-0.005396097879073939,0.008139390723093751,0.61,0,
32,0.4768604478889947,0.4854700538379252,-0.014751803383567437,-0.0067544467966324,0.01,1,*
35,0.08995728078425523,0.10797855812487214,0.008841059310583337,-0.0037457478565264503,0.38,0,
37,0.30126149131575064,0.3071321301430816,-0.0005684086144109353,0.00459667572088955,0.06,0,
38,-0.11448677578225035,-0.1146270077204859,-0.012984664820953487,-0.02244648677935205,0.682,0,
40,0.2676353765897845,0.28584445219184373,-0.01973162791519364,-0.0258418376202803,0.154,0,
41,-0.25955739601455885,-0.26218340217508185,0.0151493187011728,0.02185386552455685,0.884,0,
42,0.07593279317627898,0.07832277328899745,-0.009030152632202124,-0.0093226519019923,0.364,0,
