subject,true_mean,true_median,perm_mean,perm_median,empirical_p,significant,stars
3,0.7116666666666667,0.7166666666666666,0.6649333333333333,0.6666666666666666,0.352,0,
5,0.7467861507936507,0.7466507936507938,0.603190253968254,0.6012976190476189,0.048,1,*
6,0.5300573412698413,0.5285416666666667,0.6125630714285715,0.6063253968253968,0.816,0,
8,0.7847222222222223,0.7888888888888889,0.6752266666666666,0.6666666666666666,0.156,0,
10,0.9357222222222222,0.9277777777777778,0.6655666666666666,0.6666666666666666,0.004,1,**
12,0.7904634920634921,0.7896825396825398,0.6138665873015873,0.6176587301587302,0.028,1,*
14,0.8425444444444444,0.8444444444444444,0.6026366666666667,0.6,0.036,1,*
15,0.8134999999999999,0.8333333333333333,0.6962333333333333,0.6833333333333333,0.19,0,
19,0.7842333333333334,0.7961111111111111,0.6357644444444445,0.6338888888888888,0.084,0,
20,0.5076666666666667,0.5,0.5044333333333333,0.5,0.036,1,*
22,0.6849912698412699,0.6855555555555556,0.6397474603174603,0.6414880952380952,0.35,0,
24,0.6688333333333334,0.65,0.7173333333333334,0.7166666666666666,0.62,0,
25,0.6887917063492064,0.6868571428571428,0.6167322936507936,0.6196071428571429,0.212,0,
26,0.5908999999999999,0.5833333333333333,0.66462,0.6666666666666666,0.68,0,
28,0.6491015873015873,0.6443849206349206,0.6214271428571428,0.6193849206349207,0.388,0,
29,0.7151348809523808,0.7164682539682539,0.5863326111111111,0.5875813492063491,0.066,0,
30,0.8343288888888891,0.8376111111111111,0.5954116190476191,0.5898333333333332,0.002,1,**
31,0.7345642857142854,0.7406428571428572,0.5709739682539682,0.5676190476190477,0.046,1,*
32,0.661690476190476,0.6624404761904763,0.6173395238095237,0.6141666666666667,0.33,0,
33,0.5733583333333333,0.5693253968253968,0.5928428571428571,0.5900595238095238,0.568,0,
35,0.5723777777777778,0.5680555555555555,0.65173,0.648611111111111,0.752,0,
37,0.6508359523809523,0.6448650793650794,0.5788577142857143,0.5762797619047619,0.194,0,
38,0.5966924603174604,0.5898412698412698,0.6252661904761905,0.6217261904761904,0.586,0,
40,0.8634777777777778,0.8583333333333333,0.6497711111111112,0.6466666666666666,0.03,1,*
41,0.5731916666666668,0.575595238095238,0.6424819047619047,0.6417261904761905,0.764,0,
42,0.6338083333333334,0.6320833333333333,0.6183677777777777,0.6122222222222222,0.434,0,
43,0.6516666666666666,0.6666666666666666,0.6774333333333332,0.6666666666666667,0.534,0,
