subject,auc,minority_ratio,n_trials
03,0.4,0.46153846153846156,13
05,0.6100000000000001,0.4666666666666667,45
06,0.49250000000000005,0.46511627906976744,43
08,0.8,0.38095238095238093,21
10,1.0,0.42105263157894735,19
12,0.7583333333333334,0.4864864864864865,37
14,0.7499999999999999,0.38095238095238093,21
15,0.55,0.375,16
19,0.6888888888888889,0.48148148148148145,27
20,0.5,0.5,12
22,0.5277777777777778,0.5,32
24,0.3,0.42857142857142855,14
25,0.6599999999999999,0.5,44
26,0.5666666666666668,0.2857142857142857,21
28,0.6291666666666667,0.47368421052631576,38
29,0.6543333333333334,0.48,50
30,0.768,0.5,50
31,0.595,0.41025641025641024,39
32,0.625,0.5,40
33,0.45,0.4864864864864865,37
35,0.3555555555555556,0.4642857142857143,28
37,0.462,0.4897959183673469,49
38,0.4833333333333333,0.47368421052631576,38
40,0.7666666666666666,0.44,25
41,0.3083333333333333,0.4444444444444444,36
42,0.3972222222222223,0.4666666666666667,30
43,0.6333333333333334,0.29411764705882354,17
