subject,run_idx,mean_auc,mean_auprc,mean_mcc,mean_balanced_accuracy,mean_precision,mean_recall,mean_f1,n_samples,n_positive,n_negative
03,98.0,0.35,0.5666666666666667,-0.3,0.35,0.1,0.2,0.13333333333333333,13.0,7.0,6.0
05,98.0,0.67,0.7494047619047619,0.1968206158983953,0.595,0.6209523809523809,0.6699999999999999,0.6321212121212121,45.0,24.0,21.0
06,98.0,0.36,0.49833333333333335,-0.10386427858398979,0.45499999999999996,0.39999999999999997,0.35,0.36571428571428566,43.0,20.0,23.0
08,98.0,0.7333333333333333,0.861111111111111,0.4379445409770841,0.7,0.8166666666666667,0.8,0.7647619047619048,21.0,13.0,8.0
10,98.0,0.95,0.9666666666666666,0.9154700538379252,0.95,0.9333333333333332,1.0,0.96,19.0,11.0,8.0
12,98.0,0.7208333333333333,0.7644444444444445,0.517060805754764,0.7499999999999999,0.7366666666666666,0.8333333333333333,0.7766666666666666,37.0,19.0,18.0
14,98.0,0.6666666666666666,0.8277777777777778,0.31547005383792515,0.65,0.6033333333333333,0.8,0.6814285714285714,21.0,13.0,8.0
15,98.0,0.8,0.85,0.5154700538379251,0.75,0.6,0.5,0.5333333333333333,16.0,6.0,10.0
19,98.0,0.6777777777777778,0.7455555555555555,0.21161564094498447,0.5833333333333333,0.7,0.39999999999999997,0.5066666666666666,27.0,13.0,14.0
20,98.0,0.5,0.5,0.0,0.5,0.1,0.2,0.13333333333333333,12.0,6.0,6.0
22,98.0,0.6444444444444446,0.7019444444444444,0.4253326720885065,0.6916666666666667,0.6933333333333334,0.8166666666666667,0.7266666666666667,32.0,16.0,16.0
24,98.0,0.6,0.7833333333333333,-0.1,0.45,0.2333333333333333,0.4,0.29333333333333333,14.0,8.0,6.0
25,98.0,0.6775,0.6909047619047618,0.12131026845777207,0.5599999999999999,0.5533333333333333,0.52,0.5126984126984127,44.0,22.0,22.0
26,98.0,0.7,0.7066666666666667,0.05119661282874151,0.5166666666666666,0.26666666666666666,0.3,0.27999999999999997,21.0,6.0,15.0
28,98.0,0.5583333333333333,0.6205555555555555,0.08497311128276556,0.5416666666666666,0.5166666666666667,0.4833333333333334,0.4976190476190476,38.0,18.0,20.0
29,98.0,0.6356666666666667,0.6877023809523809,0.1586265694733044,0.5766666666666665,0.5666666666666667,0.54,0.5434343434343434,50.0,24.0,26.0
30,98.0,0.776,0.847984126984127,0.3702422104182889,0.68,0.6976190476190476,0.6400000000000001,0.647041847041847,50.0,25.0,25.0
31,98.0,0.6083333333333334,0.7533333333333333,0.24214328141497177,0.6233333333333333,0.6950000000000001,0.8300000000000001,0.7507148407148407,39.0,23.0,16.0
32,98.0,0.55,0.6573809523809524,0.09672044410113556,0.55,0.5599999999999999,0.65,0.5977777777777777,40.0,20.0,20.0
33,98.0,0.3125,0.5196428571428571,-0.29428090415820635,0.3666666666666666,0.29999999999999993,0.26666666666666666,0.28095238095238095,37.0,19.0,18.0
35,98.0,0.2888888888888889,0.45666666666666667,-0.3975307420039678,0.3166666666666667,0.21666666666666665,0.2333333333333333,0.21714285714285717,28.0,13.0,15.0
37,98.0,0.564,0.6378571428571428,0.06797919855448531,0.5349999999999999,0.5066666666666666,0.63,0.5433333333333333,49.0,24.0,25.0
38,98.0,0.4416666666666666,0.5690873015873016,-0.057904733551600994,0.475,0.3333333333333333,0.25,0.28095238095238095,38.0,18.0,20.0
40,98.0,0.7333333333333333,0.8383333333333333,0.385017008573894,0.7,0.72,0.6666666666666666,0.67,25.0,14.0,11.0
41,98.0,0.3083333333333333,0.5698809523809524,-0.08020085553224895,0.4583333333333333,0.5066666666666666,0.6,0.546031746031746,36.0,20.0,16.0
42,98.0,0.5722222222222223,0.6955555555555556,0.18944271909999158,0.5833333333333333,0.62,0.7666666666666667,0.6452380952380952,30.0,16.0,14.0
43,98.0,0.6666666666666667,0.6666666666666666,-0.015470053837925168,0.4833333333333333,0.1,0.2,0.13333333333333333,17.0,5.0,12.0
