subject,true_mean,true_median,perm_mean,perm_median,empirical_p,significant,stars
3,0.8982000000000002,0.9011111111111112,0.64015,0.6383333333333333,0.008,1,**
5,0.6944198412698412,0.6986031746031747,0.6085804523809524,0.6040297619047619,0.186,0,
6,0.865335428090428,0.8628849206349207,0.5703304978354978,0.5711699134199134,0.0,1,***
10,0.6884166269841269,0.6924087301587301,0.6000158174603174,0.5972261904761905,0.15,0,
12,0.6189757936507937,0.6167460317460318,0.6178251587301586,0.6211111111111112,0.512,0,
14,0.8529527777777776,0.8538492063492064,0.600984126984127,0.596984126984127,0.004,1,**
15,0.7341666666666667,0.7366666666666666,0.6551777777777776,0.6527777777777778,0.26,0,
17,0.6692999999999999,0.6666666666666667,0.6730999999999999,0.6666666666666666,0.496,0,
19,0.4760000000000001,0.4666666666666667,0.6775666666666667,0.6833333333333332,0.954,0,
21,0.680434126984127,0.6781349206349208,0.6104277777777778,0.6122222222222222,0.222,0,
22,0.6432087301587301,0.6394444444444444,0.6042888095238095,0.6005158730158731,0.34,0,
23,0.5317833333333334,0.5125,0.6093777777777777,0.6025,0.75,0,
24,0.9503590476190474,0.9508333333333332,0.6243125396825396,0.6231746031746032,0.0,1,***
25,0.8564585088985087,0.8589854497354497,0.6021690582010581,0.5972349687349687,0.0,1,***
27,0.8517980182780184,0.8535965608465609,0.58583365993266,0.5809314574314575,0.0,1,***
28,0.7934335317460317,0.793313492063492,0.6220926587301587,0.6189246031746032,0.036,1,*
29,0.6594377970177969,0.6690512265512265,0.5979301043771044,0.5958970658970659,0.222,0,
30,0.8539139947089948,0.8535079365079365,0.5991734126984126,0.597359126984127,0.0,1,***
31,0.7499430158730158,0.7499126984126984,0.6010307142857143,0.60121626984127,0.044,1,*
32,0.8471648532948532,0.8481385281385281,0.5852371726791726,0.5802670755170756,0.002,1,**
34,0.8462034944684943,0.8446838624338624,0.5976985454545454,0.5971818181818183,0.002,1,**
35,0.7938761904761905,0.7935396825396825,0.6032348888888888,0.6016111111111111,0.008,1,**
37,0.9450028571428571,0.9460714285714286,0.6154049206349206,0.6194246031746031,0.0,1,***
38,0.865272619047619,0.8676190476190476,0.6119328571428571,0.6056150793650794,0.004,1,**
39,0.9689357142857142,0.97,0.5964863492063492,0.5930555555555556,0.0,1,***
40,0.8029440476190476,0.7989285714285714,0.6076397222222222,0.602920634920635,0.018,1,*
41,0.8389731746031747,0.8408968253968253,0.6098964682539684,0.612470238095238,0.002,1,**
42,0.7364451659451658,0.7385512265512264,0.5940550519480519,0.5905478595478595,0.048,1,*
43,0.7388755158730157,0.7437142857142857,0.6116610158730158,0.6074007936507936,0.084,0,
