subject,auc,minority_ratio,n_trials
03,0.7999999999999999,0.46153846153846156,26
05,0.49000000000000005,0.4186046511627907,43
06,0.7986666666666666,0.4807692307692308,52
10,0.654,0.44680851063829785,47
12,0.4,0.48717948717948717,39
14,0.8111111111111111,0.48484848484848486,33
15,0.75,0.23076923076923078,26
17,0.75,0.23809523809523808,21
19,0.6666666666666667,0.25,20
21,0.595,0.475,40
22,0.6599999999999999,0.4473684210526316,38
23,0.4166666666666667,0.3333333333333333,27
24,0.9375,0.5,42
25,0.7866666666666667,0.48214285714285715,56
27,0.8366666666666667,0.48214285714285715,56
28,0.765,0.47619047619047616,42
29,0.572,0.49056603773584906,53
30,0.8150000000000001,0.46938775510204084,49
31,0.61,0.46808510638297873,47
32,0.8533333333333335,0.48148148148148145,54
34,0.8386666666666667,0.47058823529411764,51
35,0.776,0.5,50
37,0.9141666666666666,0.41025641025641024,39
38,0.7375,0.48717948717948717,39
39,0.95,0.48717948717948717,39
40,0.6816666666666666,0.4418604651162791,43
41,0.7833333333333334,0.4186046511627907,43
42,0.7093333333333334,0.4716981132075472,53
43,0.666,0.5,48
