feature,true_rank,true_mean,true_std,perm_mean_same_feature,perm_std_same_feature,perm_mean_same_rank,perm_std_same_rank
psd_relative_theta_mean_central_mid_trimmean,1,0.007973957566353001,0.0015311625858510692,0.006430419204645664,0.0016495815092298263,0.011126297302728709,0.001082344446073828
PE_theta_mean_central_right_trimmean,2,0.007594060768135142,0.0016416646440472172,0.005752094144699441,0.0013739139212150166,0.01023276736158089,0.0006598290494504451
PE_gamma_mean_central_mid_trimmean,3,0.007538008837454164,0.0015060584962709488,0.005435361973344206,0.0013524468086218821,0.009824572730663476,0.0005587967464572687
PE_theta_mean_posterior_right_trimmean,4,0.007495929511952032,0.0017293176895750275,0.005890514895782419,0.0014520751648196542,0.00949859753940364,0.0004910318859981584
wsmi_theta_mean_frontal_left_trimmean,5,0.007393413001917319,0.0016283940419597783,0.006367562957493528,0.0015103413987523921,0.009250493638198827,0.0004428127008029537
wsmi_alpha_mean_frontal_left_trimmean,6,0.00737292909223804,0.0017239251976352281,0.006545775804469471,0.0016186011907360137,0.009051441959674417,0.0004035502428680954
psd_relative_gamma_mean_frontal_left_trimmean,7,0.007361521205052329,0.0015957817637928741,0.005624237801983968,0.0014901581991208094,0.008892468271845295,0.00037423919308512976
P3a_mean_frontocentral_midline_trimmean,8,0.0073201708839482705,0.0014988011543539896,0.006736170296467367,0.0015936139811550726,0.008747048171102662,0.0003507090289024697
PE_alpha_mean_central_right_trimmean,9,0.00720010651396279,0.0015398169078054288,0.005876326257719586,0.0014248403096074282,0.008618977044309702,0.0003219119595983984
psd_relative_theta_mean_posterior_mid_trimmean,10,0.0071255406143508285,0.0015004100107626273,0.006135103130898914,0.001553526566147068,0.008500274495639129,0.00029702550186411924
wsmi_beta_mean_posterior_right_trimmean,11,0.007089447084892326,0.001383491661073979,0.006451806018346713,0.001511275209701547,0.00839131377731189,0.0002802264308769625
PE_theta_mean_posterior_mid_trimmean,12,0.0070751458627608945,0.0013775240349798595,0.00573988794673162,0.0014225681442420282,0.008290852245598175,0.0002632152975111335
psd_relative_theta_mean_central_right_trimmean,13,0.007055105101879462,0.001332433403254314,0.006083276268675435,0.0015300930860829365,0.008200445801929489,0.00025073010173609487
psd_relative_delta_mean_posterior_left_trimmean,14,0.007019281739464981,0.001314709348319804,0.00553768207757133,0.001416889945303029,0.008118378992937176,0.00023497966693979743
PE_gamma_mean_frontal_left_trimmean,15,0.0069939657652493496,0.001604719192835463,0.005479085459412862,0.001435741678830901,0.008042578488945625,0.00022206535521985025
PE_theta_mean_central_left_trimmean,16,0.006987676459012468,0.0012810146011852704,0.005879398379838012,0.0013821498175881639,0.007965787154959344,0.00021175660370799815
wsmi_gamma_mean_frontal_mid_trimmean,17,0.006978798638145903,0.0017814717549677062,0.00655422380407272,0.0015721164983175896,0.007900503640653015,0.00020817494180598
wsmi_beta_mean_central_left_trimmean,18,0.006945730391824049,0.0014140551748016326,0.006432963832528841,0.00156641992926885,0.007835799397001691,0.00019993397193726636
PE_alpha_mean_frontal_right_trimmean,19,0.006928503034620318,0.0014734552760168073,0.005604257232755581,0.0014220018601540031,0.007772748344618913,0.0001949553668849858
PE_theta_mean_central_mid_trimmean,20,0.006912224887792423,0.0012075609625595016,0.00596957423925863,0.0014831227035507133,0.0077145969948975894,0.00019264111006437375
