feature,true_rank,true_mean,true_std,perm_mean_same_feature,perm_std_same_feature,perm_mean_same_rank,perm_std_same_rank
psd_relative_theta_mean_central_mid_trimmean,1,0.0028762321215324094,0.00047543113530029317,0.002090160178187391,0.0004989177702760266,0.003526825944499914,0.00033432428350970236
wsmi_beta_mean_posterior_right_trimmean,2,0.0028335472314252185,0.0004941794544021846,0.002087166280449094,0.0004715978893585984,0.0032384201792062064,0.00022463123944893606
psd_relative_delta_mean_frontal_right_trimmean,3,0.002783104274289595,0.000528948581502592,0.0018015250698015428,0.0004041404764987022,0.0030991109182910734,0.0001781843615067451
PE_theta_mean_central_right_trimmean,4,0.0027748148478801576,0.000520263407331832,0.0018476899107880591,0.0003998355810136327,0.0030071052304015736,0.00016028269541412885
PE_theta_mean_posterior_right_trimmean,5,0.0027585954487047665,0.000546790339980526,0.0018893630257744846,0.0004218274526798478,0.002931706549574857,0.00014348610236907745
PE_theta_mean_posterior_mid_trimmean,6,0.0027182767723690944,0.0004949823935491096,0.0018442761727139627,0.0004110069481499865,0.0028704162078186297,0.00012857948630605652
wsmi_alpha_mean_frontal_left_trimmean,7,0.0026608390983956028,0.0005372962023850587,0.0021060052498386877,0.0004859819119608722,0.0028184499807330137,0.00011900192137529471
PE_gamma_mean_central_mid_trimmean,8,0.002650605480466923,0.0004823588935032529,0.0017644448924226054,0.00039723443107570226,0.0027744233010351406,0.00010842243996612389
PE_alpha_mean_central_right_trimmean,9,0.002642235079810669,0.0004883958803851942,0.0018830143710549096,0.0004102140661944744,0.002736103238615847,0.00010189878453334787
psd_relative_delta_mean_posterior_left_trimmean,10,0.002637580960653406,0.0004595416535663445,0.0017758686650977144,0.00043471055874404587,0.002698800894474922,9.231984719018778e-05
psd_relative_theta_mean_central_right_trimmean,11,0.002635790436148269,0.00045318350985839,0.001981289805949959,0.00046993644482102404,0.0026650254366264808,8.7167073860969e-05
psd_relative_gamma_mean_frontal_left_trimmean,12,0.0026222359327672147,0.0005066577582044391,0.0018143032775109604,0.0004370065342971498,0.00263649434093591,8.242204373250201e-05
wsmi_theta_mean_frontal_left_trimmean,13,0.002601451883826041,0.0005108541886030527,0.002044854016693854,0.00046404280628472303,0.0026086714411476058,7.770315656015001e-05
P3a_mean_frontocentral_midline_trimmean,14,0.0025964206531014157,0.00047208217283668114,0.0021733343550875655,0.0004799564626451559,0.002582723131423621,7.68365975174497e-05
psd_relative_delta_mean_central_mid_trimmean,15,0.002581032195570281,0.0004807216599697358,0.0018765987481170303,0.0004275940693718687,0.0025598662196519044,7.339879445826571e-05
wsmi_gamma_mean_posterior_right_trimmean,16,0.002536101969112509,0.0004570545517826378,0.0021051226674064787,0.00046875797696973345,0.002536852094068032,7.077832569187922e-05
PE_theta_mean_central_left_trimmean,17,0.002518340563082856,0.0003999476112775342,0.0018813090595977604,0.0004147409120605955,0.002515603326387528,6.946202376262343e-05
wsmi_beta_mean_posterior_left_trimmean,18,0.002509060378661146,0.00043623587770856104,0.002111007822442828,0.0005051507470551368,0.002495045074506473,6.729580729408827e-05
PE_alpha_mean_central_mid_trimmean,19,0.002490375482719184,0.0004277148935277639,0.002020739318560123,0.000450571525757389,0.0024752217148490416,6.53033461985442e-05
PE_theta_mean_central_mid_trimmean,20,0.0024800688024495822,0.00040336252867506937,0.0019002136561254007,0.0004453505345119347,0.002457679144385257,6.280811295679845e-05
