subject,true_mean,true_median,perm_mean,perm_median,empirical_p,significant,stars
3,0.7654444444444445,0.7666666666666667,0.5084222222222222,0.5111111111111111,0.06,0,
5,0.455525,0.44875,0.51154,0.5225,0.714,0,
6,0.8257733333333335,0.8240000000000001,0.49716799999999994,0.5026666666666666,0.0,1,***
8,0.591225,0.5974999999999999,0.49401500000000004,0.49499999999999994,0.212,0,
10,0.5877666666666667,0.5977777777777777,0.496045,0.5075000000000001,0.238,0,
12,0.500875,0.4979166666666667,0.516725,0.525,0.56,0,
14,0.42866666666666675,0.4333333333333334,0.5099333333333333,0.5000000000000001,0.708,0,
15,0.38566666666666677,0.375,0.49883333333333335,0.5,0.722,0,
17,0.3521666666666667,0.3416666666666667,0.49460000000000004,0.5,0.75,0,
18,0.9020000000000001,0.9,0.4854,0.5,0.008,1,**
19,0.5979999999999999,0.6,0.4953,0.5,0.4,0,
21,0.7090833333333333,0.7041666666666667,0.50305,0.5083333333333333,0.042,1,*
22,0.3931666666666666,0.4,0.5028333333333332,0.5,0.772,0,
23,0.5678611111111111,0.5694444444444444,0.5053777777777778,0.5111111111111112,0.368,0,
24,0.6094444444444445,0.6000000000000001,0.4902444444444444,0.4888888888888889,0.252,0,
25,0.4366799999999999,0.442,0.493596,0.5,0.694,0,
26,0.5116666666666666,0.5166666666666666,0.4914133333333333,0.4933333333333333,0.46,0,
27,0.5936666666666667,0.5916666666666666,0.5004222222222222,0.5111111111111111,0.292,0,
28,0.7048750000000001,0.7012499999999999,0.491615,0.49124999999999996,0.042,1,*
29,0.5872933333333333,0.592,0.5128533333333334,0.522,0.26,0,
30,0.7942733333333334,0.7971666666666666,0.500256,0.504,0.0,1,***
31,0.7319199999999999,0.736,0.494384,0.5010000000000001,0.018,1,*
32,0.8027066666666667,0.806,0.4991333333333333,0.5053333333333333,0.002,1,**
33,0.49983333333333335,0.5,0.5045666666666666,0.5083333333333333,0.532,0,
34,0.6376083333333333,0.6458333333333334,0.5015499999999999,0.5083333333333333,0.15,0,
35,0.8028333333333333,0.8,0.5035,0.5,0.006,1,**
36,0.5086666666666667,0.5000000000000001,0.49133333333333334,0.5,0.464,0,
37,0.4848888888888889,0.4888888888888889,0.49660000000000004,0.4972222222222223,0.522,0,
38,0.787,0.7875,0.495455,0.495,0.0,1,***
39,0.8178055555555557,0.8166666666666668,0.5018666666666667,0.5111111111111111,0.016,1,*
40,0.5164666666666669,0.5216666666666667,0.5071749999999999,0.5125,0.492,0,
41,0.6604749999999998,0.6729166666666666,0.497995,0.49499999999999994,0.096,0,
42,0.6202799999999999,0.6153333333333333,0.5050159999999999,0.5106666666666666,0.168,0,
43,0.7082200000000001,0.7090000000000001,0.488112,0.486,0.028,1,*
