subject,true_mean,true_median,perm_mean,perm_median,empirical_p,significant,stars
3,0.8314611111111111,0.8305555555555556,0.6628466666666666,0.6575,0.05,0,
5,0.5496743253968254,0.5411865079365079,0.6222576666666666,0.6262420634920635,0.788,0,
6,0.842645521885522,0.844515873015873,0.5959156786916787,0.5936659451659451,0.0,1,***
8,0.6836874206349206,0.6882579365079364,0.6175192142857143,0.613281746031746,0.228,0,
10,0.6116857142857143,0.6150892857142857,0.6150181984126984,0.6155059523809524,0.518,0,
12,0.6828273809523808,0.6769047619047619,0.6188425396825397,0.6193849206349207,0.264,0,
14,0.5924166666666667,0.5941666666666666,0.6517233333333333,0.6533333333333333,0.688,0,
15,0.5087333333333333,0.49833333333333335,0.6426566666666667,0.6399999999999999,0.862,0,
17,0.4640333333333333,0.45249999999999996,0.64316,0.6333333333333332,0.938,0,
18,0.9505000000000001,0.95,0.6573333333333332,0.65,0.008,1,**
19,0.7771666666666668,0.7833333333333333,0.6823333333333332,0.6833333333333332,0.24,0,
21,0.7746087301587302,0.7721825396825397,0.6147822222222222,0.6139880952380952,0.028,1,*
22,0.5948186507936508,0.597202380952381,0.6035545238095238,0.5978174603174603,0.514,0,
23,0.6386222222222222,0.6322222222222222,0.6470555555555555,0.6477777777777778,0.548,0,
24,0.7550777777777778,0.7527777777777778,0.6466555555555555,0.6466666666666667,0.17,0,
25,0.5964372222222223,0.6028829365079365,0.6055803412698413,0.6070753968253968,0.544,0,
26,0.6622904761904762,0.6604761904761904,0.5519192063492063,0.5422619047619047,0.162,0,
27,0.6041468253968254,0.6026190476190476,0.6404296031746032,0.641904761904762,0.656,0,
28,0.7825207936507935,0.7852142857142856,0.6096066349206349,0.606642857142857,0.026,1,*
29,0.6608698436748436,0.6571248196248196,0.6105902558922559,0.6102512025012026,0.266,0,
30,0.8435040740740739,0.8447857142857143,0.607370984126984,0.6020476190476192,0.0,1,***
31,0.7434388888888889,0.7421825396825397,0.6076699920634921,0.6105952380952382,0.052,0,
32,0.8381159235209235,0.839575036075036,0.5950069658489658,0.592789923039923,0.0,1,***
33,0.7823888888888888,0.7788888888888887,0.6655366666666667,0.6649999999999999,0.18,0,
34,0.6975027777777779,0.6974801587301587,0.6143988095238094,0.6142857142857143,0.196,0,
35,0.8910369047619047,0.8927380952380952,0.6235136507936506,0.6208928571428571,0.004,1,**
36,0.5155333333333333,0.5166666666666666,0.6410333333333333,0.6333333333333333,0.864,0,
37,0.6317277777777778,0.6335714285714287,0.6371903174603175,0.6331349206349206,0.502,0,
38,0.8554403968253969,0.8578888888888889,0.6171137460317461,0.6086309523809523,0.0,1,***
39,0.8320055555555554,0.8366666666666667,0.6439022222222223,0.635,0.028,1,*
40,0.6907649206349206,0.6931031746031746,0.6233046507936508,0.6219186507936507,0.246,0,
41,0.7532362698412698,0.7633134920634921,0.6177563730158729,0.6140218253968255,0.068,0,
42,0.7174262722462723,0.7174258056758056,0.601190035113035,0.6007627465127465,0.104,0,
43,0.7667541269841271,0.7637857142857142,0.6017548968253968,0.5953015873015872,0.028,1,*
